P48774," Direct protein sequencing,  Phosphoprotein,  Reference proteome, Cytoplasm, Transferase"
P17183," Membrane,  Direct protein sequencing,  Phosphoprotein,  Lyase,  Ubl conjugation,  Cell membrane,  Magnesium,  Isopeptide bond,  Cytoplasm, Acetylation, Glycolysis,  Reference proteome, Metal-binding,  Hydroxylation"
P62196," ATP-binding, Phosphoprotein,  Nucleotide-binding,  Cytoplasm, Acetylation,  Nucleus,  Reference proteome,  Proteasome"
P18872," Membrane,  GTP-binding,  Myristate,  Lipoprotein,  Alternative splicing,  Palmitate,  Cell membrane,  Transducer,  Magnesium, Reference proteome, 3D-structure,  Nucleotide-binding, Direct protein sequencing, Metal-binding"
P63085," Membrane,  Cytoskeleton,  Apoptosis,  Cell cycle,  Ubl conjugation,  ATP-binding, Phosphoprotein,  Nucleotide-binding,  Serine/threonine-protein kinase,  Cytoplasm, Acetylation,  Nucleus, Direct protein sequencing,  Reference proteome, Transferase,  Kinase"
P68373," Direct protein sequencing,  Cytoskeleton,  Reference proteome,  Microtubule, GTP-binding,  Methylation, Phosphoprotein,  Nucleotide-binding,  Cytoplasm, Acetylation,  Nitration"
Q8BVI4," Reference proteome, Tetrahydrobiopterin biosynthesis, Direct protein sequencing,  Oxidoreductase,  NADP"
P18760," Membrane,  Direct protein sequencing,  Phosphoprotein, Nucleus,  Ubl conjugation,  Cell membrane,  Isopeptide bond,  Actin-binding,  Cytoplasm, Acetylation,  Cell projection,  Reference proteome, Cytoskeleton"
P47753," Cytoskeleton,  Phosphoprotein,  Actin-binding,  Cytoplasm, Acetylation,  Actin capping, Direct protein sequencing,  Reference proteome"
Q99KJ8," Membrane,  Cytoskeleton,  Phosphoprotein,  Coiled coil,  Microtubule,  Dynein, Reference proteome,  Cytoplasm, Acetylation, Direct protein sequencing"
P15105," Membrane, Nucleotide-binding,  Lipoprotein,  Ligase,  Palmitate,  Endoplasmic reticulum, Direct protein sequencing,  Reference proteome,  Ubl conjugation, Magnesium,  Cytoplasm,  ATP-binding,  Mitochondrion,  Microsome,  Manganese,  Phosphoprotein,  Cell membrane,  Metal-binding, Acetylation,  Angiogenesis, Transferase"
Q9QUM9," Acetylation,  Direct protein sequencing,  Phosphoprotein, 3D-structure,  Cytoplasm, Glycoprotein,  Nucleus,  Reference proteome,  Proteasome"
Q9DCT2," Membrane,  Direct protein sequencing,  Translocase,  Respiratory chain,  Mitochondrion inner membrane,  NAD, Transport, Reference proteome, 3D-structure, Mitochondrion,  Transit peptide,  Oxidoreductase,  Electron transport,  Ubiquinone"
Q05920," Phosphoprotein,  Gluconeogenesis,  Ligase,  Multifunctional enzyme,  ATP-binding,  Metal-binding,  Nucleotide-binding, Mitochondrion,  Manganese, Acetylation,  Transit peptide, Pyruvate, Lipid biosynthesis,  Reference proteome,  Biotin,  Lipid metabolism"
Q91WD5," Acetylation,  Direct protein sequencing,  Membrane, Methylation, Translocase,  Iron,  Respiratory chain,  Mitochondrion inner membrane,  NAD,  Transport,  Mitochondrion,  Metal-binding, 3D-structure,  Iron-sulfur, Oxidoreductase,  4Fe-4S,  Transit peptide,  Reference proteome, Electron transport,  Ubiquinone"
P67778," Membrane,  Phosphoprotein,  Coiled coil,  Cell membrane,  Mitochondrion,  DNA synthesis, Mitochondrion inner membrane,  Cytoplasm, Acetylation,  Nucleus, Direct protein sequencing,  Reference proteome"
P97807," DNA repair,  Phosphoprotein,  Lyase, Nucleus, Tricarboxylic acid cycle,  Mitochondrion,  Chromosome,  Alternative initiation, Acetylation,  Cytoplasm,  Transit peptide, Direct protein sequencing,  Reference proteome,  DNA damage"
P61164," Cytoskeleton,  ATP-binding, Reference proteome,  Nucleotide-binding,  Cytoplasm, Acetylation"
P01942," Acetylation,  Direct protein sequencing,  Phosphoprotein,  Transport,  Iron,  Heme, Reference proteome, 3D-structure,  Polymorphism,  Oxygen transport, Metal-binding"
P17742," Acetylation,  Direct protein sequencing,  Apoptosis,  Phosphoprotein,  Secreted,  Ubl conjugation, Reference proteome,  Rotamase, 3D-structure,  Isopeptide bond,  Cytoplasm, Glycoprotein,  Nucleus,  Isomerase"
Q91YT0," Membrane, 3D-structure,  Reference proteome, Metal-binding,  Transport,  Mitochondrion inner membrane,  Methylation, Transit peptide,  Oxidoreductase,  FMN,  Acetylation,  Direct protein sequencing,  Translocase,  Respiratory chain,  Mitochondrion, NAD,  Iron-sulfur,  4Fe-4S,  Flavoprotein,  Iron, Electron transport,  Ubiquinone"
P61089," Direct protein sequencing, DNA repair,  Ubl conjugation,  ATP-binding, Reference proteome,  Isopeptide bond,  Nucleotide-binding,  Transferase,  Cytoplasm, Acetylation,  Ubl conjugation pathway,  Nucleus,  DNA damage"
O08749," Phosphoprotein,  Flavoprotein, Redox-active center,  Reference proteome,  NAD,  Disulfide bond,  Flagellum,  FAD, Mitochondrion, Acetylation,  Transit peptide,  Cell projection,  Cilium, Direct protein sequencing,  Nucleus,  Oxidoreductase,  Cytoplasmic vesicle"
O55023," Magnesium,  Hydrolase, Reference proteome, 3D-structure,  Lithium,  Cytoplasm,  Metal-binding"
Q8CGK3," Direct protein sequencing,  Protease,  Hydrolase,  DNA-binding,  Nucleotide-binding, Mitochondrion, ATP-binding, Serine protease,  Transit peptide,  Reference proteome"
P63038,"Nucleotide-binding,  Phosphoprotein,  Alternative splicing,  Reference proteome, Ubl conjugation,  Chaperone,  ATP-binding,  Mitochondrion,  Isopeptide bond, Acetylation,  Transit peptide, Direct protein sequencing,  Isomerase"
P62259," Direct protein sequencing,  Phosphoprotein, Nucleus,  Ubl conjugation,  Isopeptide bond,  Cytoplasm, Acetylation,  Reference proteome"
Q8QZT1," Direct protein sequencing, Fatty acid metabolism,  Potassium,  Mitochondrion, Phosphoprotein,  Acyltransferase,  Transferase, Transit peptide, Acetylation,  Reference proteome,  Metal-binding,  Lipid metabolism"
Q9CZ44," Cytoskeleton,  Phosphoprotein,  Golgi apparatus, Lipid-binding,  Chromosome,  Cytoplasm, Alternative splicing,  Nucleus,  Reference proteome"
Q5U410," Cytoskeleton,  Apoptosis,  Phosphoprotein, Nucleus,  Reference proteome,  Ubl conjugation,  NAD,  Methylation, S-nitrosylation,  Isopeptide bond,  Transferase,  Cytoplasm, Acetylation,  Glycolysis,  Translation regulation, Direct protein sequencing,  Oxidoreductase,  ADP-ribosylation"
Q8CHH9," Membrane,  Cytoskeleton,  GTP-binding,  Alternative splicing, Phosphoprotein,  Synapse,  Nucleotide-binding,  Cytoplasm, Acetylation,  Cell projection,  Cytoplasmic vesicle, Direct protein sequencing,  Reference proteome, Coiled coil,  Cell junction"
Q9EQF6," Reference proteome,  Methylation, Cytoplasm,  Phosphoprotein"
Q64288," Acetylation,  Olfaction, Sensory transduction, 3D-structure,  Cytoplasm,  Reference proteome"
Q8R5C5," Cytoskeleton,  ATP-binding, Reference proteome,  Nucleotide-binding,  Cytoplasm, Acetylation, Direct protein sequencing,  Nitration"
Q9D8E6,"Ribosomal protein,  Direct protein sequencing, Methylation,  Phosphoprotein,  Ubl conjugation,  Isopeptide bond,  Citrullination, Acetylation,  Reference proteome,  Ribonucleoprotein"
P12787," Membrane,  Direct protein sequencing,  Phosphoprotein,  Iron,  Mitochondrion inner membrane,  Heme,  Mitochondrion, Reference proteome, Acetylation,  Transit peptide, Metal-binding"
P15532," Phosphoprotein, Nucleus,  Reference proteome,  Ubl conjugation,  ATP-binding,  Magnesium,  Isopeptide bond,  Nucleotide-binding,  Transferase,  Neurogenesis,  Cytoplasm, Acetylation, Direct protein sequencing,  Nucleotide metabolism,  Endocytosis,  Differentiation, Metal-binding,  Kinase"
Q9D7X3,"Reference proteome,  Hydrolase,  Protein phosphatase,  Nucleus, Direct protein sequencing"
Q9CWJ9," Direct protein sequencing,  Multifunctional enzyme, Purine biosynthesis,  Hydrolase,  Transferase, Acetylation,  Reference proteome"
Q05816," Acetylation,  Transport,  Secreted,  Disulfide bond, Phosphoprotein, 3D-structure,  Lipid-binding,  Synapse,  Cytoplasm,  Nucleus, Direct protein sequencing,  Reference proteome,  Cell junction"
P14206," Membrane,  Direct protein sequencing,  Phosphoprotein,  Receptor,  Ribosomal protein,  Cell membrane, Ubl conjugation, Reference proteome,  Repeat,  Cytoplasm, Acetylation,  Nucleus, Isopeptide bond,  Ribonucleoprotein"
Q99KB8," Alternative splicing,  Mitochondrion, Transit peptide,  Cytoplasm,  Alternative initiation, Acetylation, Hydrolase,  Reference proteome,  Metal-binding,  Zinc"
P11983," Direct protein sequencing,  Alternative splicing,  Chaperone,  ATP-binding, Phosphoprotein,  Nucleotide-binding,  Cytoplasm, Acetylation,  Reference proteome, Cytoskeleton"
Q9R0P9," Membrane,  Direct protein sequencing,  Phosphoprotein,  Lipoprotein,  Prenylation,  Protease, Reference proteome, Hydrolase,  Ubl conjugation pathway,  Glycoprotein,  Endoplasmic reticulum, Cytoplasm,  Thiol protease"
Q8BMF4," Carbohydrate metabolism, Tricarboxylic acid cycle,  Lipoyl,  Mitochondrion, Phosphoprotein,  Acyltransferase,  Repeat,  Transferase, Acetylation,  Transit peptide, Direct protein sequencing,  Reference proteome,  Glucose metabolism"
P14152," Direct protein sequencing,  Phosphoprotein, Tricarboxylic acid cycle,  Ubl conjugation,  NAD,  Methylation, Oxidoreductase,  Cytoplasm, Acetylation,  Reference proteome"
Q9Z2U1," Acetylation,  Direct protein sequencing,  Phosphoprotein, 3D-structure,  Cytoplasm, Glycoprotein,  Nucleus,  Reference proteome,  Proteasome"
Q99J99," Acetylation,  Phosphoprotein, Redox-active center,  Mitochondrion,  Disulfide bond,  Repeat, 3D-structure,  Synapse,  Cytoplasm,  Synaptosome, Direct protein sequencing,  Reference proteome, Transferase,  Cell junction"
Q9DCS9," Membrane,  Direct protein sequencing,  Phosphoprotein,  Transport,  Respiratory chain,  Mitochondrion inner membrane, Reference proteome, 3D-structure, Mitochondrion,  Electron transport"
Q04447," Direct protein sequencing, Nucleotide-binding,  Phosphoprotein,  Reference proteome,  Transferase, ATP-binding,  Cytoplasm,  Nitration,  Kinase"
Q3UGR5," Direct protein sequencing,  Coiled coil,  Alternative splicing, Magnesium, 3D-structure,  Reference proteome,  Metal-binding"
Q99JY9,
P07724,"Methylation,  Phosphoprotein,  Secreted,  Copper, Zinc,  Cleavage on pair of basic residues,  Disulfide bond,  Repeat,  Lipid-binding, Calcium, Direct protein sequencing,  Reference proteome,  Signal,  Metal-binding"
P05064," Direct protein sequencing,  Phosphoprotein, Schiff base,  Lyase,  Ubl conjugation,  Isopeptide bond, Hydroxylation,  Cytoplasm, Acetylation,  Glycolysis,  Reference proteome"
Q9CR68," Membrane,  Direct protein sequencing,  Translocase,  Respiratory chain, 2Fe-2S, Transport,  Mitochondrion,  Disulfide bond,  Metal-binding,  Iron-sulfur, Transit peptide, Iron,  Transmembrane helix, Mitochondrion inner membrane,  Reference proteome,  Transmembrane,  Electron transport"
P20152," Membrane,  Cytoskeleton,  Phosphoprotein,  Coiled coil,  Intermediate filament,  Ubl conjugation,  Cell membrane, S-nitrosylation,  Cytoplasm, Acetylation,  Glycoprotein,  Nucleus, Direct protein sequencing,  Reference proteome, Isopeptide bond"
P61979," Isopeptide bond,  Reference proteome,  Spliceosome,  Ubl conjugation, Cell projection,  Methylation,  mRNA splicing,  Cytoplasm,  Cell junction,  Direct protein sequencing, Transcription regulation,  Alternative splicing,  mRNA processing, Glycoprotein,  RNA-binding,  Activator,  Phosphoprotein, Nucleus,  DNA-binding,  Repeat, Acetylation,  Repressor,  Transcription, Ribonucleoprotein"
P55264," Phosphoprotein, Purine salvage,  Alternative splicing, Magnesium,  ATP-binding, 3D-structure,  Nucleotide-binding,  Transferase,  Cytoplasm,  Nucleus,  Reference proteome,  Metal-binding,  Kinase"
P10649," Direct protein sequencing,  Phosphoprotein,  Reference proteome, Cytoplasm, Transferase"
P17563," Membrane,  Transport,  Phosphoprotein,  Reference proteome,  Cytoplasm, Acetylation,  Selenium,  Nucleus,  Oxidoreductase, Protein transport"
Q9D6J6," Membrane, Direct protein sequencing,  Reference proteome, Metal-binding,  Electron transport,  Transport,  Mitochondrion inner membrane, Oxidoreductase, Transit peptide,  Acetylation,  Translocase,  Alternative splicing,  Respiratory chain, 2Fe-2S,  NAD,  Mitochondrion,  Iron-sulfur,  Phosphoprotein,  Iron,  3D-structure,  Ubiquinone"
P31938," Cytoskeleton,  Direct protein sequencing, Membrane,  Phosphoprotein,  Tyrosine-protein kinase,  Nucleotide-binding,  Transferase, ATP-binding,  Cytoplasm, Serine/threonine-protein kinase,  Nucleus,  Reference proteome,  Kinase"
Q61598," Membrane,  Direct protein sequencing,  Phosphoprotein,  Alternative splicing,  Cytoplasm, Acetylation, GTPase activation,  Reference proteome"
P08553," Cytoskeleton, Methylation,  Coiled coil,  Intermediate filament,  Phosphoprotein,  Cytoplasm, Acetylation,  Glycoprotein,  Cell projection, Direct protein sequencing,  Reference proteome"
P19157," Acetylation,  Direct protein sequencing,  Phosphoprotein, 3D-structure, Mitochondrion,  Transferase,  Cytoplasm,  Nucleus,  Reference proteome"
Q62108," Membrane,  Phosphoprotein,  Lipoprotein,  Ubl conjugation,  Palmitate,  Cell membrane,  SH3 domain, Reference proteome,  Repeat,  Synapse, Alternative splicing,  Cell projection, Cytoplasm,  Cell junction"
P17182," Membrane,  Direct protein sequencing,  Phosphoprotein,  Lyase,  Ubl conjugation,  Cell membrane,  Magnesium,  Isopeptide bond,  Cytoplasm, Acetylation, Glycolysis,  Reference proteome, Metal-binding,  Hydroxylation"
Q60864," Direct protein sequencing,  Phosphoprotein, Nucleus, Ubl conjugation,  Repeat,  Isopeptide bond,  Cytoplasm, Acetylation,  TPR repeat,  Reference proteome"
Q99KI0," Acetylation,  Direct protein sequencing,  Phosphoprotein,  Lyase,  Iron,  Reference proteome,  Mitochondrion,  Iron-sulfur, Transit peptide, 4Fe-4S,  Tricarboxylic acid cycle, Metal-binding"
Q9CPU0," Acetylation,  Phosphoprotein,  Lyase,  Glutathionylation,  Disulfide bond, 3D-structure,  Reference proteome, Metal-binding,  Zinc"
Q9CWF2," Direct protein sequencing,  Cytoskeleton, Nucleotide-binding,  Phosphoprotein,  Ubl conjugation,  Microtubule, GTP-binding,  Methylation,  Isopeptide bond,  Neurogenesis,  Cytoplasm, Acetylation,  Reference proteome"
P48722," Phosphoprotein,  Chaperone,  Stress response,  ATP-binding, Reference proteome,  Nucleotide-binding,  Cytoplasm, Alternative splicing,  Nucleus, Direct protein sequencing"
P61982," Direct protein sequencing,  Phosphoprotein, Reference proteome,  Cytoplasm, Acetylation"
Q61990," Phosphoprotein,  Immunity,  Ubl conjugation,  Antiviral defense,  DNA-binding,  Repeat,  RNA-binding,  Cytoplasm, Alternative splicing,  Innate immunity,  Nucleus, Direct protein sequencing,  Reference proteome, Isopeptide bond, Ribonucleoprotein"
P34022," Reference proteome,  GTPase activation,  Phosphoprotein, Acetylation"
P80317," Direct protein sequencing,  Phosphoprotein, Ubl conjugation,  Chaperone,  ATP-binding,  Nucleotide-binding,  Cytoplasm, Acetylation,  Reference proteome, Isopeptide bond"
P80313," Direct protein sequencing, Ubl conjugation,  Chaperone,  Methylation,  ATP-binding,  Nucleotide-binding,  Cytoplasm, Acetylation,  Reference proteome, Isopeptide bond"
P27773," Direct protein sequencing,  Phosphoprotein, Redox-active center,  Reference proteome, Endoplasmic reticulum,  Methylation,  Disulfide bond,  Repeat, Acetylation,  Isomerase,  Signal"
Q8R081," Acetylation,  Direct protein sequencing,  Phosphoprotein,  Ubl conjugation,  Methylation, 3D-structure,  Cytoplasm,  Nucleus,  Ribonucleoprotein,  RNA-binding,  Reference proteome, Isopeptide bond, Repeat"
P20029," Direct protein sequencing, Nucleotide-binding,  Phosphoprotein,  Reference proteome, Ubl conjugation, Endoplasmic reticulum,  Chaperone,  Methylation,  ATP-binding,  Hydrolase,  Isopeptide bond,  Cytoplasm, Acetylation,  Nitration,  Signal"
Q9D154," Direct protein sequencing,  Phosphoprotein,  Serine protease inhibitor,  Secreted, Reference proteome, Cytoplasm,  Protease inhibitor"
Q9QZE7,"Golgi apparatus,  Ubl conjugation,  Developmental protein,  Differentiation,  Magnesium,  DNA-binding,  Isopeptide bond, Reference proteome,  Spermatogenesis,  Nucleus, Cytoplasm,  Metal-binding"
Q3THK7," Direct protein sequencing, Glutamine amidotransferase,  GMP biosynthesis,  Ligase,  ATP-binding, Phosphoprotein,  Nucleotide-binding,  Cytoplasm, Acetylation,  Purine biosynthesis,  Reference proteome"
Q9DAK9," Reference proteome, Cytoplasm,  Hydrolase,  Protein phosphatase"
Q62426,"Thiol protease inhibitor,  Cytoplasm, Acetylation,  Reference proteome,  Protease inhibitor"
P29758," Direct protein sequencing, Pyridoxal phosphate,  Mitochondrion,  Aminotransferase,  Transferase, Acetylation,  Transit peptide,  Reference proteome"
P63268," Cytoskeleton, Muscle protein,  Methylation,  ATP-binding,  Nucleotide-binding,  Cytoplasm, Acetylation,  Oxidation,  Reference proteome"
Q9CQI3," Acetylation,  Phosphoprotein, Reference proteome, 3D-structure,  Growth factor"
Q3UB69," Membrane,  Direct protein sequencing,  Translocase,  Mitochondrion inner membrane, Transport,  ATP-binding,  Ion transport, Phosphoprotein,  Nucleotide-binding,  CF(1),  Hydrogen ion transport, Glycoprotein,  ATP synthesis, Acetylation, Mitochondrion,  Transit peptide,  Reference proteome"
Q9WUD1," DNA repair, Ubl conjugation, Phosphoprotein,  Repeat,  Isopeptide bond, 3D-structure,  Transferase,  Cytoplasm,  Ubl conjugation pathway,  Nucleus,  TPR repeat,  Reference proteome,  DNA damage"
Q8BH95," Direct protein sequencing,  Phosphoprotein,  Fatty acid metabolism,  Lyase,  Mitochondrion, Transit peptide, Acetylation,  Reference proteome, Lipid metabolism"
Q91VD9," Membrane, Translocase,  Reference proteome,  Transport,  Mitochondrion inner membrane,  Oxidoreductase,  Acetylation,  Direct protein sequencing,  Respiratory chain, 2Fe-2S,  NAD, Phosphoprotein,  Iron-sulfur, Mitochondrion,  4Fe-4S,  Transit peptide,  Iron,  3D-structure, Electron transport,  Metal-binding,  Ubiquinone"
P47757," Direct protein sequencing,  Phosphoprotein,  Alternative splicing, Reference proteome,  Actin-binding,  Cytoplasm, Acetylation,  Actin capping, Cytoskeleton"
P46471," Direct protein sequencing, Nucleotide-binding,  ATP-binding,  Cytoplasm, Acetylation,  Reference proteome,  Proteasome"
Q9DB05," Transport,  Direct protein sequencing,  Phosphoprotein, Membrane,  Cell membrane,  ER-Golgi transport, Acetylation,  Protein transport,  Reference proteome"
P47738," Direct protein sequencing,  NAD,  Mitochondrion, Reference proteome, Acetylation,  Transit peptide,  Oxidoreductase"
O89053," Acetylation,  Cytoskeleton,  Direct protein sequencing,  Coiled coil,  Membrane,  Ubl conjugation, Cytoplasmic vesicle, Phosphoprotein,  Repeat, 3D-structure,  WD repeat,  Actin-binding,  Cytoplasm,  Reference proteome"
Q61316," Direct protein sequencing, Methylation,  Phosphoprotein, Stress response,  ATP-binding,  Nucleotide-binding,  Cytoplasm, Acetylation,  Reference proteome"
O35639," Annexin,  Phosphoprotein,  Repeat,  Calcium, Acetylation,  Reference proteome, Phospholipase A2 inhibitor,  Calcium/phospholipid-binding"
P47754," Direct protein sequencing, Phosphoprotein,  Actin-binding, Acetylation,  Actin capping,  Reference proteome"
P24529," Direct protein sequencing,  Phosphoprotein,  Iron,  Neurotransmitter biosynthesis, Oxidoreductase,  Cytoplasm, Catecholamine biosynthesis,  Reference proteome,  Monooxygenase, Metal-binding"
P00920," Direct protein sequencing,  Phosphoprotein, Membrane,  Lyase,  Cell membrane,  Cytoplasm, Acetylation,  Reference proteome,  Metal-binding,  Zinc"
P68510," Acetylation,  Direct protein sequencing, Phosphoprotein, 3D-structure,  Cytoplasm,  Reference proteome"
Q9DCW4," Direct protein sequencing,  Phosphoprotein, Transport,  Methylation,  Nucleotide-binding, Mitochondrion, Acetylation,  Reference proteome,  Electron transport"
P80314," Direct protein sequencing,  Phosphoprotein, Ubl conjugation,  Chaperone,  ATP-binding,  Nucleotide-binding,  Cytoplasm, Acetylation,  Reference proteome, Isopeptide bond"
P11404," Transport,  Direct protein sequencing, Phosphoprotein,  Lipid-binding,  Cytoplasm, Acetylation,  Reference proteome"
P49722," Acetylation,  Direct protein sequencing, Phosphoprotein, 3D-structure,  Cytoplasm,  Nucleus,  Reference proteome,  Proteasome"
O88844," Acetylation,  Direct protein sequencing,  Phosphoprotein, Glyoxylate bypass, Tricarboxylic acid cycle,  Magnesium, 3D-structure, Oxidoreductase,  Cytoplasm,  Manganese,  Reference proteome,  Metal-binding,  NADP"
P58252," Direct protein sequencing,  Ubl conjugation, GTP-binding,  Elongation factor,  Methylation, Phosphoprotein,  Isopeptide bond,  Nucleotide-binding,  Protein biosynthesis,  Cytoplasm, Acetylation,  Nucleus,  Reference proteome"
Q9R1P0," Acetylation,  Direct protein sequencing, Phosphoprotein, 3D-structure,  Cytoplasm,  Nucleus,  Reference proteome,  Proteasome"
Q64727," Acetylation,  Cytoskeleton,  Direct protein sequencing,  Membrane,  Phosphoprotein,  Cell adhesion, Lipoprotein,  Palmitate, 3D-structure,  Actin-binding,  Cytoplasm,  Reference proteome, Repeat, Cell membrane,  Cell junction"
Q9CQV8," Acetylation,  Phosphoprotein,  Ubl conjugation, Reference proteome, 3D-structure,  Isopeptide bond,  Alternative initiation,  Cytoplasm, Direct protein sequencing,  Nitration"
Q61792," Transport,  Cytoskeleton,  Phosphoprotein,  Zinc,  Methylation,  Ion transport,  Actin-binding,  Cytoplasm, Acetylation, LIM domain,  Reference proteome, Repeat,  Metal-binding,  SH3 domain"
Q9R1P4," Acetylation,  Direct protein sequencing,  Phosphoprotein, Proteasome,  Immunity,  Ubl conjugation, 3D-structure,  Isopeptide bond,  Cytoplasm, Glycoprotein,  Nucleus,  Reference proteome"
O08599," Membrane,  Direct protein sequencing,  Transport, Phosphoprotein,  Cytoplasm, Alternative splicing,  Protein transport,  Reference proteome"
Q9D8Y0," Membrane,  Direct protein sequencing, Phosphoprotein,  Repeat,  Calcium, Acetylation,  Reference proteome,  Metal-binding"
Q9CZU6," Acetylation,  Direct protein sequencing,  Phosphoprotein,  Methylation, 3D-structure, Mitochondrion,  Transferase, Transit peptide,  Reference proteome,  Tricarboxylic acid cycle"
Q9JM14," Phosphoprotein,  Magnesium,  Hydrolase, Reference proteome, 3D-structure,  Nucleotide-binding,  Cytoplasm, Nucleotide metabolism,  Metal-binding"
P99026," Acetylation,  Direct protein sequencing,  Phosphoprotein, Nucleus,  Protease,  Zymogen,  Hydrolase, 3D-structure,  Cytoplasm,  Reference proteome,  Proteasome, Threonine protease"
