Uniprot Entry,Accession Name,Name,Organism,GO Cellular Components,GO ID CC,GO Molecular Function,GO ID MF,GO Biological Process,GO ID BP,Keywords
Q9DBA8,HUTI_MOUSE,Probable imidazolonepropionase,Mus musculus (Mouse),cytoplasm IEA,GO:0005737,"imidazolonepropionase activity IBA, metal ion binding IEA","GO:0050480, GO:0046872","histidine catabolic process to glutamate and formamide IEA, histidine catabolic process to glutamate and formate IEA, histidine catabolic process IBA","GO:0006548, GO:0019556, GO:0019557"," Reference proteome, Histidine metabolism, Zinc,  Hydrolase,  Iron,  Metal-binding"
P59672,ANS1A_MOUSE,Ankyrin repeat and SAM domain-containing protein 1A,Mus musculus (Mouse),"nucleoplasm ISO, neuron projection IDA, cytosol ISO","GO:0005829, GO:0005654, GO:0043005",ephrin receptor binding IPI,GO:0046875,"negative regulation of ubiquitin-dependent protein catabolic process IDA, neuron remodeling IMP, ephrin receptor signaling pathway IMP, regulation of ephrin receptor signaling pathway IMP, substrate-dependent cell migration IDA","GO:1901187, GO:0006929, GO:2000059, GO:0048013, GO:0016322"," Phosphoprotein,  Reference proteome, Cell projection,  Alternative splicing,  Acetylation,  ANK repeat, 3D-structure,  Repeat,  Cytoplasm"
P10107,FT,Annexin A1,Mus musculus (Mouse),"nucleus ISO, phagocytic cup IEA, lateral plasma membrane IDA, collagen-containing extracellular matrix HDA, cytoplasm IDA, extrinsic component of external side of plasma membrane ISS, plasma membrane IMP, sarcolemma IDA, cell surface ISO, apical plasma membrane IDA, extrinsic component of membrane ISO, synaptic membrane ISO, mitochondrial membrane ISO, motile cilium IDA, extracellular exosome ISS, extracellular space ISS, cytosol ISO, early endosome membrane ISS, mast cell granule ISO, cytoplasmic vesicle membrane IEA, protein-containing complex ISO, actin filament IEA, endosome ISO, cornified envelope ISO, extrinsic component of endosome membrane ISS, basolateral plasma membrane IEA, nucleoplasm ISO","GO:0009986, GO:0032991, GO:0019898, GO:0016328, GO:0042629, GO:0042383, GO:0030659, GO:0005615, GO:0005654, GO:0016323, GO:0062023, GO:0031232, GO:0097060, GO:0005737, GO:0031966, GO:0005829, GO:0001533, GO:0031313, GO:0031514, GO:0031901, GO:0070062, GO:0016324, GO:0005884, GO:0005634, GO:0005768, GO:0005886, GO:0001891","calcium-dependent phospholipid binding ISS, calcium ion binding ISS, phospholipid binding ISO, phospholipase A2 inhibitor activity ISO, identical protein binding ISO, double-stranded DNA helicase activity ISO, calcium-dependent protein binding ISO, DNA/DNA annealing activity ISO, single-stranded DNA binding ISO, single-stranded RNA binding IEA","GO:0019834, GO:0005543, GO:1990814, GO:0005544, GO:0042802, GO:0003697, GO:0003727, GO:0048306, GO:0036121, GO:0005509","arachidonic acid secretion IMP, actin cytoskeleton reorganization ISS, response to peptide hormone IBA, granulocyte chemotaxis ISS, response to X-ray IBA, G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger ISS, myoblast migration involved in skeletal muscle regeneration IDA, positive regulation of neutrophil apoptotic process IMP, positive regulation of prostaglandin biosynthetic process ISO, prolactin secretion ISO, peptide cross-linking ISO, positive regulation of G1/S transition of mitotic cell cycle IMP, regulation of cell population proliferation IMP, negative regulation of interleukin-8 production ISO, response to drug IBA, neutrophil homeostasis IMP, inflammatory response IMP, response to estradiol IBA, phagocytosis IMP, positive regulation of T-helper 1 cell differentiation ISS, hepatocyte differentiation IBA, signal transduction IMP, positive regulation of wound healing ISS, positive regulation of interleukin-2 production ISS, keratinocyte differentiation ISO, neutrophil clearance ISO, negative regulation of T-helper 2 cell differentiation ISS, cellular response to hydrogen peroxide ISO, cell surface receptor signaling pathway ISO, prostate gland development IBA, alpha-beta T cell differentiation IMP, regulation of leukocyte migration IMP, DNA duplex unwinding ISO, negative regulation of protein secretion ISO, positive regulation of T cell proliferation ISS, monocyte chemotaxis ISS, positive regulation of apoptotic process ISO, adaptive immune response IEA, cellular response to glucocorticoid stimulus IMP, endocrine pancreas development IBA, estrous cycle IBA, insulin secretion ISO, response to interleukin-1 IBA, regulation of cell shape ISS, innate immune response IEA, positive regulation of vesicle fusion ISO, cellular response to vascular endothelial growth factor stimulus ISO, positive regulation of cell migration involved in sprouting angiogenesis ISO, regulation of inflammatory response IMP, regulation of hormone secretion ISS, negative regulation of phospholipase A2 activity ISO, negative regulation of exocytosis ISS, gliogenesis IBA, regulation of interleukin-1 production IMP","GO:0090303, GO:0050482, GO:0035924, GO:0007187, GO:0071385, GO:0030850, GO:0045087, GO:0042127, GO:0050727, GO:0032508, GO:0044849, GO:0090050, GO:0002548, GO:0042102, GO:0046632, GO:0033031, GO:0032652, GO:0070365, GO:0018149, GO:0071621, GO:0045627, GO:0070301, GO:0030073, GO:0002250, GO:0006954, GO:0045920, GO:0006909, GO:0032743, GO:0031018, GO:0007166, GO:0043065, GO:0032717, GO:0097350, GO:0031340, GO:0046883, GO:0007165, GO:1900138, GO:0050709, GO:0031394, GO:0014839, GO:0070459, GO:0030216, GO:0042063, GO:0043434, GO:0010165, GO:1900087, GO:0008360, GO:0045629, GO:0042493, GO:0032355, GO:0002685, GO:0001780, GO:0031532, GO:0070555"," Isopeptide bond,  Immunity,  Cilium,  Endosome, Inflammatory response,  Cell projection, Cytoplasm, Acetylation,  Secreted,  Innate immunity,  Adaptive immunity,  Cytoplasmic vesicle,  Repeat, Metal-binding, Reference proteome,  Nucleus,  Ubl conjugation,  Annexin, Calcium/phospholipid-binding,  Disulfide bond,  Phosphoprotein,  Calcium,  Phospholipase A2 inhibitor,  Cell membrane,  Membrane"
Q9WVP1,AP1M2_MOUSE,AP-1 complex subunit mu-2,Mus musculus (Mouse),"intracellular membrane-bounded organelle ISO, clathrin adaptor complex IEA, trans-Golgi network TAS, clathrin-coated vesicle IBA, cytoplasmic vesicle IBA, clathrin-coated vesicle membrane IEA","GO:0005802, GO:0043231, GO:0030136, GO:0030665, GO:0031410, GO:0030131",clathrin adaptor activity IBA,GO:0035615,"vesicle-mediated transport IBA, intracellular protein transport TAS","GO:0016192, GO:0006886"," Protein transport,  Reference proteome,  Transport,  Golgi apparatus, Alternative splicing,  Membrane, Phosphoprotein,  Cytoplasmic vesicle"
P06728,APOA4_MOUSE,Apolipoprotein A-IV,Mus musculus (Mouse),"cytosol TAS, cell surface IEA, high-density lipoprotein particle ISO, very-low-density lipoprotein particle ISO, extracellular region TAS, extracellular space IDA, synapse ISO, chylomicron ISO","GO:0042627, GO:0045202, GO:0034364, GO:0005615, GO:0005829, GO:0009986, GO:0005576, GO:0034361","cholesterol binding IBA, phosphatidylcholine binding ISO, protein homodimerization activity ISO, cholesterol transfer activity ISO, identical protein binding ISO, antioxidant activity ISO, phospholipid binding IBA, lipid binding ISO, phosphatidylcholine-sterol O-acyltransferase activator activity ISO, copper ion binding ISO","GO:0005543, GO:0120020, GO:0005507, GO:0042802, GO:0031210, GO:0015485, GO:0060228, GO:0042803, GO:0016209, GO:0008289","positive regulation of triglyceride catabolic process ISO, very-low-density lipoprotein particle remodeling ISO, leukocyte cell-cell adhesion ISO, lipid homeostasis ISO, phosphatidylcholine metabolic process ISO, triglyceride homeostasis IBA, cholesterol biosynthetic process IBA, reverse cholesterol transport ISO, cholesterol metabolic process ISO, lipoprotein metabolic process IBA, regulation of cholesterol transport ISO, lipid catabolic process ISO, negative regulation of plasma lipoprotein oxidation ISO, innate immune response in mucosa IMP, high-density lipoprotein particle assembly IBA, positive regulation of fatty acid biosynthetic process ISO, lipid transport ISO, cholesterol efflux ISO, regulation of intestinal cholesterol absorption IMP, removal of superoxide radicals ISO, positive regulation of lipid biosynthetic process IBA, hydrogen peroxide catabolic process ISO, phospholipid efflux ISO, protein-lipid complex assembly ISO, cholesterol homeostasis ISO, response to stilbenoid IEP, positive regulation of cholesterol esterification ISO, positive regulation of lipoprotein lipase activity ISO, response to lipid hydroperoxide ISO","GO:0046470, GO:0055088, GO:0030300, GO:0042632, GO:0065005, GO:0016042, GO:0045723, GO:0007159, GO:0034445, GO:0033344, GO:0042744, GO:0006982, GO:0032374, GO:0033700, GO:0019430, GO:0042157, GO:0046889, GO:0010873, GO:0006869, GO:0070328, GO:0035634, GO:0034380, GO:0051006, GO:0008203, GO:0034372, GO:0010898, GO:0006695, GO:0002227, GO:0043691","Reference proteome,  Lipid transport,  Transport,  Secreted,  Direct protein sequencing,  Signal,  HDL,  Repeat, Chylomicron"
P34928,APOC1_MOUSE,Apolipoprotein C-I,Mus musculus (Mouse),"very-low-density lipoprotein particle IBA, extracellular region TAS, high-density lipoprotein particle IBA","GO:0034364, GO:0005576, GO:0034361","phospholipase inhibitor activity IBA, fatty acid binding IBA","GO:0004859, GO:0005504","negative regulation of cholesterol transport IBA, negative regulation of lipoprotein lipase activity IBA, cholesterol metabolic process IMP, negative regulation of lipid catabolic process IBA, lipoprotein metabolic process IEA, negative regulation of very-low-density lipoprotein particle clearance IBA, triglyceride metabolic process IMP, very-low-density lipoprotein particle clearance IBA, lipid transport IEA","GO:0050995, GO:0006641, GO:0008203, GO:0034447, GO:0051005, GO:0042157, GO:0010916, GO:0006869, GO:0032375"," Reference proteome,  VLDL,  Lipid transport,  Transport,  Secreted, Signal, Direct protein sequencing"
Q8BL80,RHG22_MOUSE,Rho GTPase-activating protein 22,Mus musculus (Mouse),"cytoplasm IEA, glutamatergic synapse ISO, nucleus IEA","GO:0005737, GO:0005634, GO:0098978",GTPase activator activity IBA,GO:0005096,"angiogenesis IEA, signal transduction IEA, cell differentiation IEA, regulation of postsynapse organization ISO, activation of GTPase activity IBA","GO:0030154, GO:0090630, GO:0001525, GO:0099175, GO:0007165"," Transcription,  Nucleus,  Reference proteome,  Angiogenesis,  GTPase activation,  Differentiation, Transcription regulation, Alternative splicing, Phosphoprotein, Developmental protein,  Cytoplasm,  Coiled coil"
Q6ZQ82,RHG26_MOUSE,Rho GTPase-activating protein 26,Mus musculus (Mouse),"cytoplasm IEA, focal adhesion IEA, cytoskeleton IEA","GO:0005737, GO:0005925, GO:0005856","phospholipid binding ISO, GTPase activator activity IBA","GO:0005543, GO:0005096","regulation of small GTPase mediated signal transduction IEA, actin cytoskeleton organization IEA, signal transduction IEA","GO:0030036, GO:0051056, GO:0007165"," Cytoskeleton, Reference proteome,  GTPase activation,  SH3 domain, Cell junction,  Cytoplasm"
Q3UPH7,ARH40_MOUSE,Rho guanine nucleotide exchange factor 40,Mus musculus (Mouse),"nucleoplasm ISO, cytosol ISO","GO:0005829, GO:0005654",guanyl-nucleotide exchange factor activity IEA,GO:0005085,,," Phosphoprotein,  Reference proteome, Guanine-nucleotide releasing factor, Alternative splicing,  Cytoplasm,  Coiled coil"
Q9CVD2,ATX3_MOUSE,Ataxin-3,Mus musculus (Mouse),"nucleoplasm ISO, cytosol ISS, plasma membrane ISO, nucleus IDA, mitochondrial matrix IDA, nucleolus ISO, cytoplasm IDA, nuclear inclusion body IDA, mitochondrial membrane IDA","GO:0005737, GO:0005634, GO:0005759, GO:0031966, GO:0005829, GO:0005654, GO:0005886, GO:0005730, GO:0042405","ubiquitin protein ligase binding IPI, ATPase binding ISS, identical protein binding ISS, RNA polymerase II transcription regulatory region sequence-specific DNA binding ISO, cysteine-type peptidase activity IEA, thiol-dependent ubiquitin-specific protease activity IDA, histone deacetylase activity IEA, Lys63-specific deubiquitinase activity ISS, Lys48-specific deubiquitinase activity ISS","GO:0000977, GO:0061578, GO:1990380, GO:0042802, GO:0008234, GO:0031625, GO:0004843, GO:0051117, GO:0004407","regulation of cell-substrate adhesion IMP, microtubule cytoskeleton organization ISS, ubiquitin-dependent protein catabolic process IMP, exploration behavior IMP, monoubiquitinated protein deubiquitination IDA, positive regulation of ERAD pathway ISO, actin cytoskeleton organization ISS, protein quality control for misfolded or incompletely synthesized proteins IMP, histone H3 deacetylation IEA, cellular response to heat IMP, protein K48-linked deubiquitination ISS, intermediate filament cytoskeleton organization ISS, protein deubiquitination ISO, protein K63-linked deubiquitination ISS, protein localization to cytosolic proteasome complex involved in ERAD pathway ISO, proteasome-mediated ubiquitin-dependent protein catabolic process IMP, cellular response to misfolded protein IMP","GO:0010810, GO:0071108, GO:0070536, GO:0045104, GO:0000226, GO:1904294, GO:1904379, GO:0016579, GO:0006515, GO:0030036, GO:0006511, GO:0035520, GO:0071218, GO:0034605, GO:0070932, GO:0035640, GO:0043161","Reference proteome,  Isopeptide bond,  Nucleus,  Phosphoprotein,  Thiol protease,  Transcription,  Ubl conjugation pathway,  Ubl conjugation, Hydrolase,  Protease, Transcription regulation,  Repeat"
Q9Z277,BAZ1B_MOUSE,Tyrosine-protein kinase BAZ1B,Mus musculus (Mouse),"nuclear body ISO, nucleus IDA, nuclear replication fork IEA, condensed chromosome IDA, pericentric heterochromatin IDA","GO:0043596, GO:0005721, GO:0000793, GO:0005634, GO:0016604","histone binding IPI, histone kinase activity ISS, protein tyrosine kinase activity ISS, ATP binding IEA, metal ion binding IEA, non-membrane spanning protein tyrosine kinase activity IEA","GO:0004713, GO:0035173, GO:0046872, GO:0004715, GO:0042393, GO:0005524","histone phosphorylation ISS, cellular response to DNA damage stimulus ISS, chromatin remodeling IDA, chromatin assembly or disassembly IDA","GO:0006974, GO:0006333, GO:0016572, GO:0006338"," Isopeptide bond,  Phosphoprotein, Acetylation,  Reference proteome,  Bromodomain, Nucleus,  Transcription,  Zinc,  ATP-binding,  Alternative splicing, Ubl conjugation,  Tyrosine-protein kinase,  Kinase,  Transferase, Transcription regulation,  Zinc-finger, DNA damage,  Nucleotide-binding,  Metal-binding,  Coiled coil"
Q3V3N7,BBS1_MOUSE,Bardet-Biedl syndrome 1 protein homolog,Mus musculus (Mouse),"ciliary basal body ISO, BBSome IDA, cilium IDA, motile cilium IMP, ciliary membrane IEA, centriolar satellite IDA, axoneme IBA, centrosome IDA","GO:0034451, GO:0005930, GO:0005813, GO:0060170, GO:0005929, GO:0034464, GO:0036064, GO:0031514","RNA polymerase II repressing transcription factor binding ISO, patched binding ISO, signaling receptor binding IPI, phosphoprotein binding IPI, smoothened binding ISO","GO:0005113, GO:0005119, GO:0051219, GO:0005102, GO:0001103","non-motile cilium assembly IMP, neural precursor cell proliferation IMP, fat cell differentiation IEP, adult behavior IMP, cilium assembly IMP, neuron migration IMP, sensory perception of smell IMP, ventricular system development IMP, fertilization IMP, cerebral cortex development IMP, protein localization IMP, visual perception IEA, cellular lipid metabolic process IMP, photoreceptor cell maintenance ISO, hormone metabolic process IMP, microtubule cytoskeleton organization IMP, striatum development IMP, photoreceptor cell morphogenesis IMP, hippocampus development IMP, brain morphogenesis IMP, retina homeostasis IMP, olfactory behavior IMP, intraciliary retrograde transport ISO, protein localization to cilium ISO, cartilage development IMP, regulation of cilium beat frequency involved in ciliary motility IMP, dendrite development IMP, Golgi to plasma membrane protein transport ISO","GO:1905515, GO:0035721, GO:0021756, GO:0007601, GO:0021591, GO:0042048, GO:0021766, GO:0044255, GO:0045494, GO:0043001, GO:0051216, GO:0001764, GO:0030534, GO:0001895, GO:0061351, GO:0045444, GO:0060271, GO:0016358, GO:0048854, GO:0000226, GO:0008594, GO:0060296, GO:0009566, GO:0042445, GO:0061512, GO:0021987, GO:0008104, GO:0007608"," Cytoskeleton,  Protein transport,  Reference proteome, Acetylation,  Cilium,  Vision, Cilium biogenesis/degradation,  Sensory transduction, Olfaction,  Cell membrane,  Cell projection, Transport,  Membrane,  Cytoplasm"
Q9CWF6,BBS2_MOUSE,Bardet-Biedl syndrome 2 protein homolog,Mus musculus (Mouse),"cytoplasm IEA, ciliary basal body ISO, BBSome IDA, stereocilium IDA, motile cilium IMP, ciliary membrane IEA, membrane IDA, neuron projection IBA, microvillus IDA","GO:0032420, GO:0005737, GO:0060170, GO:0016020, GO:0005902, GO:0034464, GO:0036064, GO:0031514, GO:0043005",RNA polymerase II repressing transcription factor binding ISO,GO:0001103,"non-motile cilium assembly IMP, photoreceptor cell maintenance IMP, response to leptin IMP, vasodilation IMP, fat cell differentiation IEP, negative regulation of multicellular organism growth IMP, adult behavior IMP, leptin-mediated signaling pathway IMP, cilium assembly IMP, negative regulation of appetite by leptin-mediated signaling pathway IMP, sperm axoneme assembly IMP, cerebral cortex development IMP, visual perception ISS, protein localization IMP, protein localization to ciliary membrane ISO, hippocampus development IMP, brain morphogenesis IMP, negative regulation of gene expression IMP, Golgi to plasma membrane protein transport ISO, positive regulation of multicellular organism growth IMP, cartilage development IMP, artery smooth muscle contraction IMP, regulation of cilium beat frequency involved in ciliary motility IMP, striatum development IMP, protein localization to organelle IDA","GO:0042311, GO:1905515, GO:0021756, GO:0007601, GO:0021766, GO:0045494, GO:0043001, GO:0051216, GO:0033210, GO:0030534, GO:0007288, GO:0045444, GO:0060271, GO:0033365, GO:0048854, GO:0040018, GO:0044321, GO:1903441, GO:0010629, GO:0040015, GO:0060296, GO:0038108, GO:0021987, GO:0008104, GO:0014824"," Cytoskeleton,  Protein transport, Reference proteome,  Cilium,  Transport, Cell membrane,  Cell projection,  Cilium biogenesis/degradation,  Membrane, Coiled coil,  Cytoplasm"
