Uniprot Entry,Accession Name,Name,Organism,Biological Process Label,Brain Part,Molecular Function Label,Cellular Component Label
Q01853,TERA_MOUSE,Transitional endoplasmic reticulum ATPase,Mus musculus (Mouse),"GO:0065007, GO:0051179, GO:0050896, GO:0009987, GO:0008152, GO:0044419",Medulla,"GO:0003824, GO:0005488, GO:0098772","GO:0043226, GO:0140535, GO:0099080, GO:0016020, GO:0005622, GO:0090734, GO:0140534, GO:1902494, GO:0098796, GO:0030054"
P40142,TKT_MOUSE,Transketolase,Mus musculus (Mouse),"GO:0008152, GO:0065007, GO:0009987",Medulla,"GO:0003824, GO:0005488","GO:0043226, GO:0016604, GO:0005622, GO:0016020"
P17183,ENOG_MOUSE,Gamma-enolase,Mus musculus (Mouse),"GO:0065007, GO:0009987, GO:0008152",Medulla,"GO:0003824, GO:0005488","GO:0005737, GO:0044297, GO:0016020, GO:0030427, GO:1902494, GO:0042995"
P63085,MK01_MOUSE,Mitogen-activated protein kinase 1,Mus musculus (Mouse),"GO:0065007, GO:0051179, GO:0050896, GO:0032502, GO:0009987, GO:0002376, GO:0008152, GO:0022414, GO:0032501",Medulla,"GO:0003824, GO:0005488","GO:0043226, GO:0005737, GO:0016020, GO:0005622, GO:0030054, GO:0042995"
P68373,TBA1C_MOUSE,Tubulin alpha-1C chain,Mus musculus (Mouse),GO:0009987,Medulla,"GO:0003824, GO:0005488, GO:0005198","GO:0043226, GO:0016020, GO:0005622, GO:0099080"
Q8BVI4,DHPR_MOUSE,Dihydropteridine reductase,Mus musculus (Mouse),"GO:0008152, GO:0032502, GO:0009987, GO:0050896",Medulla,"GO:0003824, GO:0005488","GO:0043226, GO:0005622, GO:0042995"
Q9CWS0,DDAH1_MOUSE,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 1",Mus musculus (Mouse),"GO:0008152, GO:0065007, GO:0009987, GO:0032501",Medulla,"GO:0003824, GO:0005488","GO:0043226, GO:0005622"
P05202,AATM_MOUSE,"Aspartate aminotransferase, mitochondrial",Mus musculus (Mouse),"GO:0051179, GO:0065007, GO:0050896, GO:0051704, GO:0009987, GO:0008152, GO:0022414, GO:0032501",Medulla,"GO:0003824, GO:0005488","GO:0031974, GO:0043226, GO:0016020, GO:0005622"
P18760,COF1_MOUSE,Cofilin-1,Mus musculus (Mouse),"GO:0065007, GO:0051179, GO:0050896, GO:0032502, GO:0009987, GO:0040011, GO:0008152, GO:0044419",Medulla,GO:0005488,"GO:0043226, GO:0032432, GO:0044297, GO:0016020, GO:0098794, GO:0005622, GO:0030427, GO:0031256, GO:0030054, GO:0042995"
P47753,CAZA1_MOUSE,F-actin-capping protein subunit alpha-1,Mus musculus (Mouse),"GO:0065007, GO:0009987",Medulla,GO:0005488,"GO:0030054, GO:0043226, GO:0005622, GO:0098862"
Q99KJ8,DCTN2_MOUSE,Dynactin subunit 2,Mus musculus (Mouse),"GO:0051179, GO:0009987",Medulla,"GO:0003824, GO:0005488","GO:0043226, GO:0099080, GO:0005622, GO:0005815, GO:0005875, GO:0030427, GO:1902494"
P15105,GLNA_MOUSE,Glutamine synthetase {ECO:0000303|PubMed:30158707},Mus musculus (Mouse),"GO:0065007, GO:0050896, GO:0032502, GO:0009987, GO:0019740, GO:0008152",Medulla,"GO:0003824, GO:0005488","GO:0098793, GO:0043226, GO:0044306, GO:0016020, GO:0005622, GO:0042995"
Q05920,PYC_MOUSE,"Pyruvate carboxylase, mitochondrial",Mus musculus (Mouse),"GO:0065007, GO:0009987, GO:0044419, GO:0008152",Medulla,"GO:0003824, GO:0005488","GO:0031974, GO:0043226, GO:0016020, GO:0005622"
Q91WD5,NDUS2_MOUSE,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial",Mus musculus (Mouse),"GO:0008152, GO:0009987, GO:0050896",Medulla,"GO:0003824, GO:0005488","GO:0043226, GO:0098798, GO:0005622, GO:1902494, GO:0098796"
P67778,PHB_MOUSE,Prohibitin {ECO:0000305},Mus musculus (Mouse),"GO:0065007, GO:0050896, GO:0032502, GO:0009987, GO:0002376, GO:0008152, GO:0022414, GO:0044419, GO:0032501",Medulla,"GO:0005488, GO:0098772, GO:0140110","GO:0043226, GO:0031224, GO:0098798, GO:0016020, GO:0005622, GO:0019898, GO:0030054, GO:0098796"
P97807,FUMH_MOUSE,"Fumarate hydratase, mitochondrial {ECO:0000303|PubMed:17418408}",Mus musculus (Mouse),"GO:0065007, GO:0009987, GO:0008152, GO:0050896",Medulla,"GO:0003824, GO:0005488","GO:0043226, GO:0005622, GO:0090734"
P17742,PPIA_MOUSE,Peptidyl-prolyl cis-trans isomerase A,Mus musculus (Mouse),"GO:0065007, GO:0050896, GO:0032502, GO:0009987, GO:0040011, GO:0022610, GO:0002376, GO:0008152",Medulla,"GO:0003824, GO:0005488","GO:0043226, GO:0005622"
Q91YT0,NDUV1_MOUSE,"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial",Mus musculus (Mouse),"GO:0008152, GO:0009987",Medulla,"GO:0003824, GO:0005488","GO:0043226, GO:0098798, GO:0016020, GO:0005622, GO:1902494, GO:0098796"
O08749,FT,"Dihydrolipoyl dehydrogenase, mitochondrial",Mus musculus (Mouse),"GO:0065007, GO:0032502, GO:0009987, GO:0008152, GO:0022414",Medulla,"GO:0003824, GO:0005488","GO:0043226, GO:0045239, GO:0005622, GO:0031974, GO:1902494, GO:0042995"
P63101,1433Z_MOUSE,14-3-3 protein zeta/delta,Mus musculus (Mouse),"GO:0065007, GO:0051179, GO:0050896, GO:0009987, GO:0008152",Medulla,GO:0005488,"GO:0043226, GO:0005622, GO:0030054"
P12658,CALB1_MOUSE,Calbindin,Mus musculus (Mouse),"GO:0065007, GO:0007610, GO:0050896, GO:0032502, GO:0009987, GO:0032501",Medulla,GO:0005488,"GO:0098793, GO:0043226, GO:0044297, GO:0044306, GO:0005829, GO:0098794, GO:0005622, GO:0030054, GO:0042995"
P63038,CH60_MOUSE,"60 kDa heat shock protein, mitochondrial",Mus musculus (Mouse),"GO:0065007, GO:0051179, GO:0050896, GO:0009987, GO:0002376, GO:0008152, GO:0044419, GO:0032501",Medulla,"GO:0003824, GO:0005488","GO:0043226, GO:0016020, GO:0005622, GO:0043235, GO:0031974, GO:0098796"
P62259,1433E_MOUSE,14-3-3 protein epsilon,Mus musculus (Mouse),"GO:0065007, GO:0051179, GO:0050896, GO:0032502, GO:0009987, GO:0040011",Medulla,"GO:0005488, GO:0098772","GO:0043226, GO:0016020, GO:0005622, GO:0005875, GO:0030054, GO:0042995"
Q5U410,G3P_MOUSE,Glyceraldehyde-3-phosphate dehydrogenase,Mus musculus (Mouse),"GO:0065007, GO:0050896, GO:0032502, GO:0009987, GO:0002376, GO:0008152, GO:0044419, GO:0032501",Medulla,"GO:0003824, GO:0005488, GO:0098772","GO:0043226, GO:0016020, GO:0005622, GO:0030054"
Q8CHH9,SEPT8_MOUSE,Septin-8 {ECO:0000305},Mus musculus (Mouse),"GO:0065007, GO:0009987, GO:0051179",Medulla,"GO:0003824, GO:0005488","GO:0043226, GO:0016020, GO:0005622, GO:0042995"
Q62095,DDX3Y_MOUSE,ATP-dependent RNA helicase DDX3Y,Mus musculus (Mouse),"GO:0032502, GO:0009987, GO:0022414",Medulla,"GO:0003824, GO:0005488","GO:0043226, GO:0005622, GO:0099080"
P12787,COX5A_MOUSE,"Cytochrome c oxidase subunit 5A, mitochondrial",Mus musculus (Mouse),"GO:0008152, GO:0009987",Medulla,"GO:0003824, GO:0005215, GO:0005488","GO:0043226, GO:0098798, GO:0016020, GO:0005622, GO:0070069, GO:0098796"
Q9R0P9,FT,Ubiquitin carboxyl-terminal hydrolase isozyme L1,Mus musculus (Mouse),"GO:0065007, GO:0051179, GO:0007610, GO:0050896, GO:0032502, GO:0009987, GO:0008152, GO:0032501",Medulla,"GO:0003824, GO:0005488","GO:0016020, GO:0005737, GO:0042995, GO:0044297"
P11983,TCPA_MOUSE,T-complex protein 1 subunit alpha,Mus musculus (Mouse),"GO:0065007, GO:0051179, GO:0009987, GO:0022414, GO:0044419",Medulla,GO:0005488,"GO:0043226, GO:0099080, GO:0005622, GO:0005815, GO:0000785, GO:0101031"
P14206,RSSA_MOUSE,40S ribosomal protein SA {ECO:0000255|HAMAP-Rule:MF_03016},Mus musculus (Mouse),"GO:0008152, GO:0032502, GO:0009987, GO:0022610",Medulla,"GO:0005488, GO:0005198","GO:0043226, GO:0044297, GO:0016020, GO:0005622, GO:0030312, GO:1990904, GO:0030054"
Q8BMF4,ODP2_MOUSE,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial",Mus musculus (Mouse),"GO:0008152, GO:0009987, GO:0032501",Medulla,"GO:0003824, GO:0005488","GO:0043226, GO:1902494, GO:0005622, GO:0098798"
P14152,MDHC_MOUSE,"Malate dehydrogenase, cytoplasmic",Mus musculus (Mouse),"GO:0008152, GO:0009987",Medulla,"GO:0003824, GO:0005488","GO:0043226, GO:0005622"
Q5EBJ4,ERMIN_MOUSE,Ermin,Mus musculus (Mouse),"GO:0065007, GO:0032502, GO:0009987, GO:0032501",Medulla,GO:0005488,"GO:0043226, GO:0005737, GO:0044297, GO:0005622, GO:0042995"
Q9DCS9,NDUBA_MOUSE,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10,Mus musculus (Mouse),GO:0009987,Medulla,,"GO:0043226, GO:0098798, GO:0016020, GO:0005622, GO:1902494, GO:0098796"
Q04447,KCRB_MOUSE,Creatine kinase B-type,Mus musculus (Mouse),"GO:0008152, GO:0032502, GO:0065007, GO:0009987",Medulla,"GO:0003824, GO:0005488","GO:0043226, GO:0005622, GO:0042995, GO:0044297"
P07724,FT,Albumin,Mus musculus (Mouse),"GO:0065007, GO:0009987, GO:0051179, GO:0050896",Medulla,GO:0005488,"GO:0043226, GO:0005622, GO:0030312"
P05064,ALDOA_MOUSE,Fructose-bisphosphate aldolase A,Mus musculus (Mouse),"GO:0065007, GO:0009987, GO:0008152, GO:0022414, GO:0032501",Medulla,"GO:0003824, GO:0005488","GO:0000785, GO:0043226, GO:0016020, GO:0005622"
P61979,HNRPK_MOUSE,Heterogeneous nuclear ribonucleoprotein K,Mus musculus (Mouse),"GO:0065007, GO:0050896, GO:0032502, GO:0009987, GO:0008152, GO:0022414",Medulla,GO:0005488,"GO:0098793, GO:0043226, GO:0005737, GO:0044306, GO:0099080, GO:0005622, GO:0098794, GO:1990904, GO:0030054, GO:0140513, GO:1902494, GO:0042995"
P07901,HS90A_MOUSE,Heat shock protein HSP 90-alpha,Mus musculus (Mouse),"GO:0065007, GO:0051179, GO:0040007, GO:0050896, GO:0032502, GO:0009987, GO:0040011, GO:0008152, GO:0032501",Medulla,"GO:0003824, GO:0005488, GO:0098772","GO:0043226, GO:0044297, GO:0016020, GO:0044292, GO:0005622, GO:0030312, GO:0030427, GO:0042995"
P10649,GSTM1_MOUSE,Glutathione S-transferase Mu 1 {ECO:0000305},Mus musculus (Mouse),"GO:0008152, GO:0009987, GO:0050896",Medulla,"GO:0003824, GO:0005488",
Q9D6J6,NDUV2_MOUSE,"NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial",Mus musculus (Mouse),"GO:0008152, GO:0032502, GO:0009987",Medulla,"GO:0003824, GO:0005488","GO:0043226, GO:0098798, GO:0005622, GO:1902494, GO:0098796"
P08553,NFM_MOUSE,Neurofilament medium polypeptide,Mus musculus (Mouse),"GO:0065007, GO:0009987, GO:0051179",Medulla,GO:0005488,"GO:0043226, GO:0099080, GO:0005622, GO:0030054, GO:0042995"
P19157,GSTP1_MOUSE,Glutathione S-transferase P 1 {ECO:0000305},Mus musculus (Mouse),"GO:0065007, GO:0050896, GO:0032502, GO:0009987, GO:0008152",Medulla,"GO:0003824, GO:0005488, GO:0016209, GO:0098772","GO:0043226, GO:0016020, GO:0005622"
P17182,ENOA_MOUSE,Alpha-enolase,Mus musculus (Mouse),"GO:0065007, GO:0050896, GO:0032502, GO:0009987, GO:0008152, GO:0032501",Medulla,"GO:0003824, GO:0005488, GO:0140110","GO:0005737, GO:0016020, GO:0019898, GO:0030427, GO:1902494, GO:0042995"
Q60864,STIP1_MOUSE,Stress-induced-phosphoprotein 1,Mus musculus (Mouse),"GO:0009987, GO:0050896",Medulla,GO:0005488,"GO:0043226, GO:0005622"
Q9CWF2,TBB2B_MOUSE,Tubulin beta-2B chain,Mus musculus (Mouse),"GO:0065007, GO:0009987, GO:0040011",Medulla,"GO:0003824, GO:0005488, GO:0005198","GO:0030054, GO:0043226, GO:0005622, GO:0099080"
Q99KI0,ACON_MOUSE,"Aconitate hydratase, mitochondrial",Mus musculus (Mouse),"GO:0008152, GO:0032502, GO:0009987, GO:0050896",Medulla,"GO:0003824, GO:0005488","GO:0043226, GO:0005622"
Q9CPU0,FT,Lactoylglutathione lyase,Mus musculus (Mouse),"GO:0065007, GO:0032502, GO:0009987, GO:0008152",Medulla,"GO:0003824, GO:0005488",GO:0016020
P61982,1433G_MOUSE,14-3-3 protein gamma,Mus musculus (Mouse),"GO:0065007, GO:0009987, GO:0050896, GO:0051179",Medulla,GO:0005488,"GO:0043226, GO:0030054"
P80317,TCPZ_MOUSE,T-complex protein 1 subunit zeta,Mus musculus (Mouse),"GO:0065007, GO:0022414, GO:0009987, GO:0051179",Medulla,GO:0005488,"GO:0043226, GO:0099080, GO:0101031"
Q91VM9,IPYR2_MOUSE,"Inorganic pyrophosphatase 2, mitochondrial",Mus musculus (Mouse),"GO:0008152, GO:0065007, GO:0009987",Medulla,"GO:0003824, GO:0005488","GO:0043226, GO:0005622"
P27773,FT,Protein disulfide-isomerase A3,Mus musculus (Mouse),"GO:0065007, GO:0009987, GO:0050896",Medulla,"GO:0003824, GO:0005488","GO:0043226, GO:0016020, GO:0005622, GO:0031974, GO:0140534, GO:0098796"
P20029,BIP_MOUSE,Endoplasmic reticulum chaperone BiP {ECO:0000305},Mus musculus (Mouse),"GO:0065007, GO:0051179, GO:0050896, GO:0032502, GO:0009987, GO:0048511, GO:0008152, GO:0022414",Medulla,"GO:0003824, GO:0005488","GO:0043226, GO:0031224, GO:0016020, GO:0005622, GO:0031974, GO:0140534, GO:0140513"
Q9D154,ILEUA_MOUSE,Leukocyte elastase inhibitor A,Mus musculus (Mouse),"GO:0065007, GO:0009987, GO:0050896",Medulla,GO:0098772,"GO:0043226, GO:0005622, GO:0030312, GO:0099080"
P63268,ACTH_MOUSE,"Actin, gamma-enteric smooth muscle",Mus musculus (Mouse),"GO:0065007, GO:0032501",Medulla,GO:0005488,"GO:0043226, GO:0099080, GO:0005622, GO:0005875, GO:0042995"
Q3UB69,ATPB_MOUSE,"ATP synthase subunit beta, mitochondrial {ECO:0000305}",Mus musculus (Mouse),"GO:0065007, GO:0051179, GO:0050896, GO:0032502, GO:0009987, GO:0008152",Medulla,"GO:0003824, GO:0005215, GO:0005488, GO:0038024","GO:0043226, GO:0098798, GO:0016020, GO:0005622, GO:0140534, GO:0098796, GO:0009295"
Q91VD9,NDUS1_MOUSE,"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial",Mus musculus (Mouse),"GO:0008152, GO:0065007, GO:0009987",Medulla,"GO:0003824, GO:0005488","GO:0043226, GO:0098798, GO:0005622, GO:0031974, GO:1902494, GO:0098796"
Q9JKK7,TMOD2_MOUSE,Tropomodulin-2,Mus musculus (Mouse),"GO:0065007, GO:0023052, GO:0007610, GO:0032502, GO:0009987, GO:0032501",Medulla,GO:0005488,"GO:0043226, GO:0099080, GO:0005622, GO:0030427, GO:0036379, GO:0030054, GO:0042995"
P46471,PRS7_MOUSE,26S proteasome regulatory subunit 7,Mus musculus (Mouse),"GO:0008152, GO:0065007, GO:0009987",Medulla,"GO:0003824, GO:0005488","GO:0043226, GO:0140535, GO:0099080, GO:0005622, GO:0098794, GO:1902494, GO:0042995"
P47738,ALDH2_MOUSE,"Aldehyde dehydrogenase, mitochondrial",Mus musculus (Mouse),"GO:0065007, GO:0007610, GO:0098754, GO:0050896, GO:0009987, GO:0008152, GO:0032501",Medulla,"GO:0003824, GO:0005488","GO:0031974, GO:0043226, GO:0005622"
O35639,ANXA3_MOUSE,Annexin A3,Mus musculus (Mouse),"GO:0051179, GO:0065007, GO:0050896, GO:0032502, GO:0009987, GO:0002376, GO:0044419",Medulla,"GO:0005488, GO:0098772","GO:0043226, GO:0044297, GO:0016020, GO:0030312, GO:0042995"
P00920,CAH2_MOUSE,Carbonic anhydrase 2,Mus musculus (Mouse),"GO:0065007, GO:0051179, GO:0050896, GO:0032502, GO:0009987, GO:0008152",Medulla,"GO:0003824, GO:0005488","GO:0016020, GO:0042995"
Q9JII6,AK1A1_MOUSE,Aldo-keto reductase family 1 member A1,Mus musculus (Mouse),"GO:0008152, GO:0009987, GO:0098754",Medulla,GO:0003824,GO:0016020
P80314,TCPB_MOUSE,T-complex protein 1 subunit beta,Mus musculus (Mouse),"GO:0065007, GO:0022414, GO:0009987, GO:0051179",Medulla,GO:0005488,"GO:0099080, GO:0101031"
Q5SRX1,TM1L2_MOUSE,TOM1-like protein 2,Mus musculus (Mouse),"GO:0065007, GO:0009987, GO:0051179",Medulla,GO:0005488,GO:0043226
O88844,IDHC_MOUSE,Isocitrate dehydrogenase [NADP] cytoplasmic,Mus musculus (Mouse),"GO:0065007, GO:0050896, GO:0032502, GO:0009987, GO:0008152, GO:0022414",Medulla,"GO:0003824, GO:0005488","GO:0043226, GO:0005622"
P58252,EF2_MOUSE,Elongation factor 2,Mus musculus (Mouse),"GO:0065007, GO:0050896, GO:0032502, GO:0009987, GO:0008152, GO:0032501",Medulla,"GO:0003824, GO:0005488, GO:0045182","GO:1990904, GO:0016020, GO:0005622, GO:0043226"
Q9CQN1,TRAP1_MOUSE,"Heat shock protein 75 kDa, mitochondrial",Mus musculus (Mouse),"GO:0065007, GO:0009987",Medulla,GO:0005488,"GO:0031974, GO:0043226, GO:0016020, GO:0005622"
Q9CQV8,1433B_MOUSE,14-3-3 protein beta/alpha,Mus musculus (Mouse),"GO:0065007, GO:0009987, GO:0051179",Medulla,GO:0005488,"GO:0043226, GO:0005622, GO:0005667"
P07310,KCRM_MOUSE,Creatine kinase M-type,Mus musculus (Mouse),"GO:0008152, GO:0009987, GO:0050896",Medulla,"GO:0003824, GO:0005488",
O08599,STXB1_MOUSE,Syntaxin-binding protein 1,Mus musculus (Mouse),"GO:0065007, GO:0051179, GO:0023052, GO:0050896, GO:0032502, GO:0009987, GO:0022610, GO:0022414",Medulla,GO:0005488,"GO:0043226, GO:0016020, GO:0005622, GO:0019898, GO:0030054, GO:0042995"
Q9JM14,NT5C_MOUSE,"5'(3')-deoxyribonucleotidase, cytosolic type",Mus musculus (Mouse),"GO:0008152, GO:0009987",Medulla,"GO:0003824, GO:0005488","GO:0043226, GO:0005622"
P70296,PEBP1_MOUSE,Phosphatidylethanolamine-binding protein 1,Mus musculus (Mouse),"GO:0065007, GO:0007610, GO:0050896, GO:0032502, GO:0009987, GO:0022414",Medulla,"GO:0005488, GO:0098772","GO:0098793, GO:0043226, GO:0044297, GO:0044306, GO:0016020, GO:0005622, GO:0042995"
P61922,FT,"4-aminobutyrate aminotransferase, mitochondrial",Mus musculus (Mouse),"GO:0065007, GO:0007610, GO:0050896, GO:0032502, GO:0051704, GO:0009987, GO:0008152, GO:0022414, GO:0032501",Medulla,"GO:0003824, GO:0005488","GO:0043226, GO:0140535, GO:0005622, GO:0031974, GO:1902494, GO:0042995"
P38647,GRP75_MOUSE,"Stress-70 protein, mitochondrial",Mus musculus (Mouse),"GO:0065007, GO:0051179, GO:0050896, GO:0032502, GO:0009987, GO:0008152",Medulla,"GO:0003824, GO:0005488","GO:0031974, GO:0043226, GO:0005622, GO:0009295"
P09103,FT,Protein disulfide-isomerase,Mus musculus (Mouse),"GO:0008152, GO:0065007, GO:0009987, GO:0050896",Medulla,"GO:0003824, GO:0005488","GO:0043226, GO:0005622, GO:0031974, GO:0098552, GO:0140534, GO:1902494, GO:0042995"
P70333,HNRH2_MOUSE,Heterogeneous nuclear ribonucleoprotein H2,Mus musculus (Mouse),GO:0065007,Medulla,GO:0005488,GO:0043226
P14211,FT,Calreticulin,Mus musculus (Mouse),"GO:0065007, GO:0051179, GO:0050896, GO:0032502, GO:0009987, GO:0022414",Medulla,GO:0005488,"GO:0043226, GO:0016020, GO:0005622, GO:0031975, GO:0030312, GO:0031974, GO:1990904, GO:0098552, GO:0140534, GO:0098796"
P68254,1433T_MOUSE,14-3-3 protein theta,Mus musculus (Mouse),"GO:0065007, GO:0009987, GO:0051179",Medulla,GO:0005488,GO:0030054
P02088,HBB1_MOUSE,Hemoglobin subunit beta-1,Mus musculus (Mouse),"GO:0051179, GO:0065007, GO:0098754, GO:0032502, GO:0009987, GO:0008152",Medulla,"GO:0140104, GO:0005488",
Q9D6R2,IDH3A_MOUSE,"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial",Mus musculus (Mouse),"GO:0008152, GO:0009987",Medulla,"GO:0003824, GO:0005488","GO:0043226, GO:0005622"
Q8BGH2,SAM50_MOUSE,Sorting and assembly machinery component 50 homolog,Mus musculus (Mouse),"GO:0051179, GO:0009987",Medulla,,"GO:0043226, GO:0031224, GO:0098798, GO:0016020, GO:0005622, GO:0098796"
Q61171,FT,Peroxiredoxin-2,Mus musculus (Mouse),"GO:0065007, GO:0098754, GO:0050896, GO:0032502, GO:0009987, GO:0002376, GO:0008152, GO:0032501",Medulla,"GO:0003824, GO:0005488, GO:0016209","GO:0043226, GO:0005622"
Q62433,NDRG1_MOUSE,Protein NDRG1,Mus musculus (Mouse),"GO:0065007, GO:0009987, GO:0002376, GO:0050896",Medulla,GO:0005488,"GO:0043226, GO:0099080, GO:0016020, GO:0005622, GO:0005815, GO:0030054"
P50396,GDIA_MOUSE,Rab GDP dissociation inhibitor alpha,Mus musculus (Mouse),"GO:0065007, GO:0009987, GO:0050896, GO:0051179",Medulla,"GO:0005488, GO:0098772","GO:0043226, GO:0005622, GO:0042995, GO:0044297"
Q60932,VDAC1_MOUSE,Voltage-dependent anion-selective channel protein 1,Mus musculus (Mouse),"GO:0051179, GO:0065007, GO:0007610, GO:0023052, GO:0050896, GO:0032502, GO:0009987, GO:0032501",Medulla,"GO:0005215, GO:0005488","GO:0043226, GO:0098798, GO:0016020, GO:0005622, GO:0098796, GO:0009295"
Q99LC3,NDUAA_MOUSE,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial",Mus musculus (Mouse),"GO:0008152, GO:0009987",Medulla,GO:0003824,"GO:0043226, GO:0098798, GO:0005622, GO:0031974, GO:1902494, GO:0098796"
P05201,AATC_MOUSE,"Aspartate aminotransferase, cytoplasmic",Mus musculus (Mouse),"GO:0065007, GO:0050896, GO:0032502, GO:0009987, GO:0008152",Medulla,"GO:0003824, GO:0005488","GO:0098793, GO:0043226, GO:0005622, GO:0044306"
Q8CHP8,PGP_MOUSE,Glycerol-3-phosphate phosphatase {ECO:0000305},Mus musculus (Mouse),"GO:0008152, GO:0065007, GO:0009987",Medulla,"GO:0003824, GO:0005488",
P30275,KCRU_MOUSE,"Creatine kinase U-type, mitochondrial",Mus musculus (Mouse),"GO:0008152, GO:0065007, GO:0009987",Medulla,"GO:0003824, GO:0005488","GO:0043226, GO:0016020, GO:0005622, GO:0044232"
Q3U9Z0,VATB2_MOUSE,"V-type proton ATPase subunit B, brain isoform",Mus musculus (Mouse),"GO:0008152, GO:0009987, GO:0051179",Medulla,"GO:0003824, GO:0005488","GO:0043226, GO:0031224, GO:0016020, GO:0005622, GO:0042995, GO:0098796"
Q9CPV4,GLOD4_MOUSE,Glyoxalase domain-containing protein 4,Mus musculus (Mouse),,Medulla,,"GO:0043226, GO:0005622"
Q8R3M2,ODO1_MOUSE,"2-oxoglutarate dehydrogenase, mitochondrial",Mus musculus (Mouse),"GO:0008152, GO:0032502, GO:0009987, GO:0040011",Medulla,"GO:0003824, GO:0005488","GO:0043226, GO:0045239, GO:0016020, GO:0005622, GO:0031974, GO:1902494"
Q8BFR5,EFTU_MOUSE,"Elongation factor Tu, mitochondrial",Mus musculus (Mouse),"GO:0008152, GO:0009987, GO:0050896",Medulla,"GO:0003824, GO:0005488, GO:0045182","GO:0043226, GO:0016020, GO:0005622, GO:0030054, GO:0009295"
