Uniprot Entry,Accession Name,Protein Name,Organism,Brain Parts,Biological Process,Molecular Function,Cellular Component
P10107,ANXA1_MOUSE,Annexin A1 (Annexin I) (Annexin-1) (Calpactin II) (Calpactin-2) (Chromobindin-9) (Lipocortin I) (Phospholipase A2 inhibitory protein) (p35),Mus musculus (Mouse),"['Olfactory Bulb', 'Hippocampus']",[],[],[]
Q9WVP1,AP1M2_MOUSE,AP-1 complex subunit mu-2 (AP-mu chain family member mu1B) (Adaptor protein complex AP-1 subunit mu-2) (Adaptor-related protein complex 1 subunit mu-2) (Clathrin assembly protein complex 1 mu-2 medium chain 2) (Golgi adaptor HA1/AP1 adaptin mu-2 subunit) (Mu-adaptin 2) (Mu1B-adaptin),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
P06728,APOA4_MOUSE,Apolipoprotein A-IV (Apo-AIV) (ApoA-IV) (Apolipoprotein A4),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex']",[],[],[]
P34928,APOC1_MOUSE,Apolipoprotein C-I (Apo-CI) (ApoC-I) (Apolipoprotein C1) [Cleaved into: Truncated apolipoprotein C-I],Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q8BL80,RHG22_MOUSE,Rho GTPase-activating protein 22 (Rho-type GTPase-activating protein 22) (p68RacGAP),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q6ZQ82,RHG26_MOUSE,Rho GTPase-activating protein 26 (Rho-type GTPase-activating protein 26),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q3UPH7,ARH40_MOUSE,Rho guanine nucleotide exchange factor 40 (Protein SOLO),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q9CVD2,ATX3_MOUSE,Ataxin-3 (EC 3.4.19.12) (Machado-Joseph disease protein 1 homolog),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q9Z277,BAZ1B_MOUSE,Tyrosine-protein kinase BAZ1B (EC 2.7.10.2) (Bromodomain adjacent to zinc finger domain protein 1B) (Williams syndrome transcription factor homolog) (Williams-Beuren syndrome chromosomal region 9 protein homolog),Mus musculus (Mouse),"['Olfactory Bulb', 'Medulla']",[],[],[]
Q3V3N7,BBS1_MOUSE,Bardet-Biedl syndrome 1 protein homolog,Mus musculus (Mouse),"['Olfactory Bulb', 'Cerebellum']",[],[],[]
Q9CWF6,BBS2_MOUSE,Bardet-Biedl syndrome 2 protein homolog,Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q8C1Z7,BBS4_MOUSE,Bardet-Biedl syndrome 4 protein homolog,Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q9QYE3,BC11A_MOUSE,B-cell lymphoma/leukemia 11A (BCL-11A) (B-cell CLL/lymphoma 11A) (COUP-TF-interacting protein 1) (Ecotropic viral integration site 9 protein) (EVI-9),Mus musculus (Mouse),"['Olfactory Bulb', 'Hippocampus', 'Medulla']",[],[],[]
Q68EF6,BEGIN_MOUSE,Brain-enriched guanylate kinase-associated protein,Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
P28653,PGS1_MOUSE,Biglycan (Bone/cartilage proteoglycan I) (PG-S1),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q8R015,BL1S5_MOUSE,Biogenesis of lysosome-related organelles complex 1 subunit 5 (BLOC-1 subunit 5) (Protein Muted homolog),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex', 'Cerebellum']",[],[],[]
O54940,BNIP2_MOUSE,BCL2/adenovirus E1B 19 kDa protein-interacting protein 2,Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex']",[],[],[]
P28651,CAH8_MOUSE,Carbonic anhydrase-related protein (CARP) (Carbonic anhydrase VIII) (CA-VIII),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex', 'Hippocampus', 'Cerebellum', 'Medulla']",[],[],[]
Q9Z1L5,CA2D3_MOUSE,Voltage-dependent calcium channel subunit alpha-2/delta-3 (Voltage-gated calcium channel subunit alpha-2/delta-3) [Cleaved into: Voltage-dependent calcium channel subunit alpha-2-3 Voltage-dependent calcium channel subunit delta-3],Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex', 'Hippocampus']",[],[],[]
P12658,CALB1_MOUSE,"Calbindin (Calbindin D28) (D-28K) (PCD-29) (Spot 35 protein) (Vitamin D-dependent calcium-binding protein, avian-type)",Mus musculus (Mouse),"['Olfactory Bulb', 'Cerebellum']",[],[],[]
P29452,CASP1_MOUSE,Caspase-1 (CASP-1) (EC 3.4.22.36) (Interleukin-1 beta convertase) (IL-1BC) (Interleukin-1 beta-converting enzyme) (ICE) (IL-1 beta-converting enzyme) (p45) [Cleaved into: Caspase-1 subunit p20 Caspase-1 subunit p10],Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
P70677,CASP3_MOUSE,Caspase-3 (CASP-3) (EC 3.4.22.56) (Apopain) (Cysteine protease CPP32) (CPP-32) (LICE) (Protein Yama) (SREBP cleavage activity 1) (SCA-1) [Cleaved into: Caspase-3 subunit p17 Caspase-3 subunit p12],Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex']",[],[],[]
O08738,CASP6_MOUSE,Caspase-6 (CASP-6) (EC 3.4.22.59) (Apoptotic protease Mch-2) [Cleaved into: Caspase-6 subunit p18 Caspase-6 subunit p11],Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
P08074,CBR2_MOUSE,Carbonyl reductase [NADPH] 2 (EC 1.1.1.184) (Adipocyte protein P27) (AP27) (Lung carbonyl reductase) (LCR) (NADPH-dependent carbonyl reductase 2),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q3TVA9,CC136_MOUSE,Coiled-coil domain-containing protein 136,Mus musculus (Mouse),"['Olfactory Bulb', 'Thalamus']",[],[],[]
O35566,CD151_MOUSE,CD151 antigen (GP27) (Membrane glycoprotein SFA-1) (Platelet-endothelial tetraspan antigen 3) (PETA-3) (CD antigen CD151),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q99PF4,CAD23_MOUSE,Cadherin-23 (Otocadherin),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
P39038,CADH4_MOUSE,Cadherin-4 (Retinal cadherin) (R-CAD) (R-cadherin),Mus musculus (Mouse),"['Olfactory Bulb', 'Medulla']",[],[],[]
A2A6T1,CDR2L_MOUSE,Cerebellar degeneration-related protein 2-like,Mus musculus (Mouse),"['Olfactory Bulb', 'Cerebellum', 'Medulla']",[],[],[]
Q9R0M0,CELR2_MOUSE,Cadherin EGF LAG seven-pass G-type receptor 2 (Flamingo homolog),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q8BTU1,CFA20_MOUSE,Cilia- and flagella-associated protein 20 (Gene trap locus 3 protein),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q9CRB9,MIC19_MOUSE,MICOS complex subunit Mic19 (Coiled-coil-helix-coiled-coil-helix domain-containing protein 3),Mus musculus (Mouse),"['Olfactory Bulb', 'Cerebellum']",[],[],[]
Q9D7Z6,CLCA1_MOUSE,Calcium-activated chloride channel regulator 1 (EC 3.4.-.-) (Calcium-activated chloride channel family member 3) (mCLCA3) (Protein gob-5),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q9QX15,CA3A1_MOUSE,Calcium-activated chloride channel regulator 3A-1 (EC 3.4.-.-),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q9ER65,CSTN2_MOUSE,Calsyntenin-2 (Alcadein-gamma) (Alc-gamma),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q9D486,CMIP_MOUSE,C-Maf-inducing protein (c-Mip),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q69ZF7,CNNM4_MOUSE,Metal transporter CNNM4 (Ancient conserved domain-containing protein 4) (mACDP4) (Cyclin-M4),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q69Z26,CNTN4_MOUSE,Contactin-4 (Brain-derived immunoglobulin superfamily protein 2) (BIG-2),Mus musculus (Mouse),"['Olfactory Bulb', 'Medulla']",[],[],[]
Q9JMB8,CNTN6_MOUSE,Contactin-6 (Neural recognition molecule NB-3) (mNB-3),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q99P47,CNTP4_MOUSE,Contactin-associated protein-like 4 (Cell recognition molecule Caspr4),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q60847,COCA1_MOUSE,Collagen alpha-1(XII) chain,Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex', 'Thalamus', 'Cerebellum']",[],[],[]
P08122,CO4A2_MOUSE,Collagen alpha-2(IV) chain [Cleaved into: Canstatin],Mus musculus (Mouse),"['Olfactory Bulb', 'Medulla']",[],[],[]
Q8C0P5,COR2A_MOUSE,Coronin-2A,Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
P56392,CX7A1_MOUSE,"Cytochrome c oxidase subunit 7A1, mitochondrial (Cytochrome c oxidase subunit VIIa-heart) (Cytochrome c oxidase subunit VIIa-H) (Cytochrome c oxidase subunit VIIa-muscle) (Cytochrome c oxidase subunit VIIa-M)",Mus musculus (Mouse),"['Olfactory Bulb', 'Medulla']",[],[],[]
Q1RLL3,CPNE9_MOUSE,Copine-9 (Copine IX),Mus musculus (Mouse),"['Olfactory Bulb', 'Thalamus', 'Cerebellum']",[],[],[]
P62965,RABP1_MOUSE,Cellular retinoic acid-binding protein 1 (Cellular retinoic acid-binding protein I) (CRABP-I),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex', 'Hippocampus']",[],[],[]
Q9CYA0,CREL2_MOUSE,Protein disulfide isomerase Creld2 (EC 5.3.4.1) (Cysteine-rich with EGF-like domain protein 2),Mus musculus (Mouse),"['Olfactory Bulb', 'Cerebellum']",[],[],[]
Q91X84,CRTC3_MOUSE,CREB-regulated transcription coactivator 3 (Transducer of regulated cAMP response element-binding protein 3) (TORC-3) (Transducer of CREB protein 3),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
P97792,CXAR_MOUSE,Coxsackievirus and adenovirus receptor homolog (CAR) (mCAR),Mus musculus (Mouse),"['Olfactory Bulb', 'Medulla']",[],[],[]
Q9DB73,NB5R1_MOUSE,NADH-cytochrome b5 reductase 1 (b5R.1) (EC 1.6.2.2) (NAD(P)H:quinone oxidoreductase type 3 polypeptide A2),Mus musculus (Mouse),"['Olfactory Bulb', 'Hippocampus']",[],[],[]
Q8K353,CYTM1_MOUSE,Cysteine-rich and transmembrane domain-containing protein 1,Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
P98078,DAB2_MOUSE,Disabled homolog 2 (Adaptor molecule disabled-2) (Differentially expressed in ovarian carcinoma 2) (DOC-2) (Mitogen-responsive phosphoprotein),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex']",[],[],[]
Q8BHC4,DCAKD_MOUSE,Dephospho-CoA kinase domain-containing protein,Mus musculus (Mouse),"['Olfactory Bulb', 'Hippocampus', 'Medulla']",[],[],[]
A6H8H2,DEN4C_MOUSE,DENN domain-containing protein 4C,Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q5SS80,DHR13_MOUSE,Dehydrogenase/reductase SDR family member 13 (EC 1.1.-.-) (Short chain dehydrogenase/reductase family 7C member 5),Mus musculus (Mouse),"['Olfactory Bulb', 'Hippocampus']",[],[],[]
Q8C9B9,DIDO1_MOUSE,Death-inducer obliterator 1 (DIO-1) (Death-associated transcription factor 1) (DATF-1),Mus musculus (Mouse),"['Olfactory Bulb', 'Medulla']",[],[],[]
Q80Y83,DIXC1_MOUSE,Dixin (Coiled-coil protein DIX1) (Coiled-coil-DIX1) (DIX domain-containing protein 1),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q8JZM4,DNER_MOUSE,Delta and Notch-like epidermal growth factor-related receptor (Brain EGF repeat-containing transmembrane protein),Mus musculus (Mouse),"['Olfactory Bulb', 'Cerebellum', 'Medulla']",[],[],[]
P13864,DNMT1_MOUSE,DNA (cytosine-5)-methyltransferase 1 (Dnmt1) (Met-1) (EC 2.1.1.37) (DNA methyltransferase MmuI) (DNA MTase MmuI) (M.MmuI) (MCMT),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
O88508,DNM3A_MOUSE,DNA (cytosine-5)-methyltransferase 3A (Dnmt3a) (EC 2.1.1.37) (DNA methyltransferase MmuIIIA) (DNA MTase MmuIIIA) (M.MmuIIIA),Mus musculus (Mouse),"['Olfactory Bulb', 'Hippocampus', 'Cerebellum']",[],[],[]
A2AF47,DOC11_MOUSE,Dedicator of cytokinesis protein 11 (Activated Cdc42-associated guanine nucleotide exchange factor) (ACG) (Zizimin-2),Mus musculus (Mouse),"['Olfactory Bulb', 'Cerebellum']",[],[],[]
Q9CWQ0,DPH5_MOUSE,Diphthine methyl ester synthase (EC 2.1.1.314) (Diphthamide biosynthesis methyltransferase),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q45VK7,DYHC2_MOUSE,Cytoplasmic dynein 2 heavy chain 1 (Cytoplasmic dynein 2 heavy chain) (Dynein cytoplasmic heavy chain 2) (Dynein heavy chain 11) (mDHC11) (Dynein heavy chain isotype 1B),Mus musculus (Mouse),"['Olfactory Bulb', 'Cerebellum']",[],[],[]
Q8K0T2,DC2L1_MOUSE,Cytoplasmic dynein 2 light intermediate chain 1 (mD2LIC),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q9DAJ5,DLRB2_MOUSE,"Dynein light chain roadblock-type 2 (Dynein light chain 2B, cytoplasmic)",Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
O35474,EDIL3_MOUSE,EGF-like repeat and discoidin I-like domain-containing protein 3 (Developmentally-regulated endothelial cell locus 1 protein) (Integrin-binding protein DEL1),Mus musculus (Mouse),"['Olfactory Bulb', 'Medulla']",[],[],[]
O08545,EFNA3_MOUSE,Ephrin-A3 (EHK1 ligand) (EHK1-L) (EPH-related receptor tyrosine kinase ligand 3) (LERK-3),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q7TNG5,EMAL2_MOUSE,Echinoderm microtubule-associated protein-like 2 (EMAP-2),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q8BQM8,EMAL5_MOUSE,Echinoderm microtubule-associated protein-like 5 (EMAP-5),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q5SQM0,EMAL6_MOUSE,Echinoderm microtubule-associated protein-like 6 (EMAP-6) (Echinoderm microtubule-associated protein-like 5-like),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q9R1E6,ENPP2_MOUSE,Ectonucleotide pyrophosphatase/phosphodiesterase family member 2 (E-NPP 2) (EC 3.1.4.39) (Autotaxin) (Extracellular lysophospholipase D) (LysoPLD),Mus musculus (Mouse),"['Olfactory Bulb', 'Medulla']",[],[],[]
Q99JW5,EPCAM_MOUSE,Epithelial cell adhesion molecule (Ep-CAM) (Epithelial glycoprotein 314) (EGP314) (mEGP314) (Protein 289A) (Tumor-associated calcium signal transducer 1) (CD antigen CD326),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q60629,EPHA5_MOUSE,Ephrin type-A receptor 5 (EC 2.7.10.1) (Brain-specific kinase) (CEK-7) (EPH homology kinase 1) (EHK-1),Mus musculus (Mouse),"['Olfactory Bulb', 'Medulla', 'Hippocampus']",[],[],[]
P54763,EPHB2_MOUSE,Ephrin type-B receptor 2 (EC 2.7.10.1) (Neural kinase) (Nuk receptor tyrosine kinase) (Tyrosine-protein kinase receptor EPH-3) (Tyrosine-protein kinase receptor SEK-3) [Cleaved into: EphB2/CTF1 EphB2/CTF2],Mus musculus (Mouse),"['Olfactory Bulb', 'Medulla']",[],[],[]
Q9EQH2,ERAP1_MOUSE,Endoplasmic reticulum aminopeptidase 1 (EC 3.4.11.-) (ARTS-1) (Adipocyte-derived leucine aminopeptidase) (A-LAP) (Aminopeptidase PILS) (Puromycin-insensitive leucyl-specific aminopeptidase) (PILS-AP) (VEGF-induced aminopeptidase),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex', 'Cerebellum']",[],[],[]
O08580,ERR1_MOUSE,Steroid hormone receptor ERR1 (Estrogen receptor-like 1) (Estrogen-related receptor alpha) (ERR-alpha) (Nuclear receptor subfamily 3 group B member 1),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
O88792,JAM1_MOUSE,Junctional adhesion molecule A (JAM-A) (Junctional adhesion molecule 1) (JAM-1) (CD antigen CD321),Mus musculus (Mouse),"['Olfactory Bulb', 'Medulla']",[],[],[]
Q8BH61,F13A_MOUSE,Coagulation factor XIII A chain (Coagulation factor XIIIa) (EC 2.3.2.13) (Protein-glutamine gamma-glutamyltransferase A chain) (Transglutaminase A chain),Mus musculus (Mouse),"['Olfactory Bulb', 'Medulla']",[],[],[]
P19221,THRB_MOUSE,Prothrombin (EC 3.4.21.5) (Coagulation factor II) [Cleaved into: Activation peptide fragment 1 Activation peptide fragment 2 Thrombin light chain Thrombin heavy chain],Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
P51880,FABP7_MOUSE,"Fatty acid-binding protein, brain (Brain lipid-binding protein) (BLBP) (Brain-type fatty acid-binding protein) (B-FABP) (Fatty acid-binding protein 7)",Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex', 'Cerebellum']",[],[],[]
Q9Z0R9,FADS2_MOUSE,Acyl-CoA 6-desaturase (EC 1.14.19.3) (Delta(6) fatty acid desaturase) (D6D) (Delta(6) desaturase) (Delta-6 desaturase) (Fatty acid desaturase 2),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex', 'Medulla']",[],[],[]
Q8BQS4,F102B_MOUSE,Protein FAM102B,Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q3UW53,NIBA1_MOUSE,Protein Niban 1 (Protein FAM129A) (Protein Niban),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex', 'Hippocampus']",[],[],[]
Q0KK56,F184B_MOUSE,Protein FAM184B,Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q5F226,FAT2_MOUSE,Protocadherin Fat 2 (FAT tumor suppressor homolog 2),Mus musculus (Mouse),"['Olfactory Bulb', 'Cerebellum']",[],[],[]
Q8BNA6,FAT3_MOUSE,Protocadherin Fat 3 (FAT tumor suppressor homolog 3),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
P37889,FBLN2_MOUSE,Fibulin-2 (FIBL-2),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q8K3B1,FBSP1_MOUSE,F-box/SPRY domain-containing protein 1 (F-box only protein 45) (mFbxo45),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q6RKD8,FLRT1_MOUSE,Leucine-rich repeat transmembrane protein FLRT1 (Fibronectin leucine rich transmembrane protein 1),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
P50285,FMO1_MOUSE,Dimethylaniline monooxygenase [N-oxide-forming] 1 (EC 1.14.13.8) (Dimethylaniline oxidase 1) (Hepatic flavin-containing monooxygenase 1) (FMO 1),Mus musculus (Mouse),"['Olfactory Bulb', 'Medulla']",[],[],[]
P50608,FMOD_MOUSE,Fibromodulin (FM) (Collagen-binding 59 kDa protein) (Keratan sulfate proteoglycan fibromodulin) (KSPG fibromodulin),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
P11276,FINC_MOUSE,Fibronectin (FN) [Cleaved into: Anastellin],Mus musculus (Mouse),"['Olfactory Bulb', 'Hippocampus']",[],[],[]
Q8BUR3,FOXJ3_MOUSE,Forkhead box protein J3,Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex']",[],[],[]
A2AD83,FRMD7_MOUSE,FERM domain-containing protein 7,Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q8BFR2,FSTL5_MOUSE,Follistatin-related protein 5 (Follistatin-like protein 5) (m-D/Bsp120I 1-2),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
P21614,VTDB_MOUSE,Vitamin D-binding protein (DBP) (VDB) (Gc-globulin) (Group-specific component),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q640M6,GDPD5_MOUSE,Glycerophosphodiester phosphodiesterase domain-containing protein 5 (Glycerophosphocholine phosphodiesterase GDPD5) (EC 3.1.4.2) (Glycerophosphodiester phosphodiesterase 2) (Phosphoinositide phospholipase C GDPD5) (EC 3.1.4.11),Mus musculus (Mouse),"['Olfactory Bulb', 'Cerebellum']",[],[],[]
Q91W43,GCSP_MOUSE,"Glycine dehydrogenase (decarboxylating), mitochondrial (EC 1.4.4.2) (Glycine cleavage system P protein) (Glycine decarboxylase) (Glycine dehydrogenase (aminomethyl-transferring))",Mus musculus (Mouse),"['Olfactory Bulb', 'Medulla']",[],[],[]
E9Q5L8,GLYL3_MOUSE,Glycine-N-acyltransferase-like protein 3 (EC 2.3.1.13) (Acyl-CoA:glycine-N-acyltransferase-like protein 3),Mus musculus (Mouse),"['Olfactory Bulb', 'Thalamus', 'Medulla']",[],[],[]
P04186,CFAB_MOUSE,Complement factor B (EC 3.4.21.47) (C3/C5 convertase) [Cleaved into: Complement factor B Ba fragment Complement factor B Bb fragment],Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex', 'Hippocampus']",[],[],[]
Q8CGK7,GNAL_MOUSE,"Guanine nucleotide-binding protein G(olf) subunit alpha (Adenylate cyclase-stimulating G alpha protein, olfactory type)",Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex', 'Cerebellum', 'Medulla']",[],[],[]
Q9JMF3,GBG13_MOUSE,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-13,Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
P50153,GBG4_MOUSE,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-4,Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
P63078,GBG8_MOUSE,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-8 (Gamma-9),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q61017,GBGT2_MOUSE,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-T2 (G gamma-C) (G-gamma-8),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q8BWS5,GRIN3_MOUSE,G protein-regulated inducer of neurite outgrowth 3 (GRIN3),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex']",[],[],[]
Q61625,GRID2_MOUSE,"Glutamate receptor ionotropic, delta-2 (GluD2) (GluR delta-2 subunit)",Mus musculus (Mouse),"['Olfactory Bulb', 'Cerebellum']",[],[],[]
P02301,H3C_MOUSE,Histone H3.3C (Embryonic),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex', 'Hippocampus', 'Cerebellum']",[],[],[]
Q3UGR5,HDHD2_MOUSE,Haloacid dehalogenase-like hydrolase domain-containing protein 2,Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q9CR20,IR3IP_MOUSE,Immediate early response 3-interacting protein 1,Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q9CQJ1,HIG2A_MOUSE,HIG1 domain family member 2A,Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q64522,H2A2B_MOUSE,Histone H2A type 2-B (H2A-clustered histone 21) (H2a-613A),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q64523,H2A2C_MOUSE,Histone H2A type 2-C (H2A-clustered histone 20) (H2a-613B),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex', 'Thalamus', 'Hippocampus']",[],[],[]
O54879,HMGB3_MOUSE,High mobility group protein B3 (High mobility group protein 2a) (HMG-2a) (High mobility group protein 4) (HMG-4),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex', 'Cerebellum']",[],[],[]
P54869,HMCS2_MOUSE,"Hydroxymethylglutaryl-CoA synthase, mitochondrial (HMG-CoA synthase) (EC 2.3.3.10) (3-hydroxy-3-methylglutaryl coenzyme A synthase)",Mus musculus (Mouse),"['Olfactory Bulb', 'Thalamus']",[],[],[]
Q9ESB3,HRG_MOUSE,Histidine-rich glycoprotein (Histidine-proline-rich glycoprotein) (HPRG),Mus musculus (Mouse),['Olfactory Bulb'],[],[],[]
Q64282,IFIT1_MOUSE,Interferon-induced protein with tetratricopeptide repeats 1 (IFIT-1) (Glucocorticoid-attenuated response gene 16 protein) (GARG-16) (Interferon-induced 56 kDa protein) (IFI-56K) (P56),Mus musculus (Mouse),"['Olfactory Bulb', 'Thalamus']",[],[],[]
Q6NWV3,IF122_MOUSE,Intraflagellar transport protein 122 homolog (WD repeat-containing protein 10),Mus musculus (Mouse),"['Olfactory Bulb', 'Cerebellum']",[],[],[]
