,Unnamed: 0,Uniprot Entry,Accession Name,Name,Organism,GO Cellular Components,GO ID CC,GO Molecular Function,GO ID MF,GO Biological Process,GO ID BP,Keywords,Biological Process Label,Molecular Function Label,Cellular Component Label
10,10,P17182,ENOA_MOUSE,Alpha-enolase,Mus musculus (Mouse),"cell cortex region ISO, membrane ISO, synaptic membrane ISO, neuron projection ISO, cytosol ISO, cell surface ISO, extrinsic component of plasma membrane IDA, plasma membrane ISO, phosphopyruvate hydratase complex ISO, cytoplasm ISO, growth cone ISO, membrane raft ISO, myelin sheath HDA","GO:0005886, GO:0043005, GO:0030426, GO:0005737, GO:0005829, GO:0009986, GO:0099738, GO:0000015, GO:0097060, GO:0016020, GO:0043209, GO:0019897, GO:0045121","protein homodimerization activity ISO, GTPase binding ISO, heat shock protein binding ISO, DNA-binding transcription repressor activity, RNA polymerase II-specific ISO, RNA polymerase II transcription regulatory region sequence-specific DNA binding ISO, identical protein binding ISO, magnesium ion binding IEA, enzyme binding ISO, protein-containing complex binding ISO, RNA binding IDA, phosphopyruvate hydratase activity IDA","GO:0051020, GO:0003723, GO:0001227, GO:0042803, GO:0044877, GO:0000977, GO:0004634, GO:0000287, GO:0031072, GO:0042802, GO:0019899","canonical glycolysis ISS, regulation of vacuole fusion, non-autophagic IBA, cellular response to interleukin-7 IDA, positive regulation of binding IMP, in utero embryonic development IMP, glycolytic process IDA","GO:0098761, GO:0061621, GO:0006096, GO:0032889, GO:0001701, GO:0051099"," Direct protein sequencing,  Cell membrane, Metal-binding, Acetylation,  Membrane,  Cytoplasm,  Phosphoprotein, Glycolysis,  Reference proteome,  Lyase,  Ubl conjugation,  Isopeptide bond,  Magnesium,  Hydroxylation","GO:0032502, GO:0009987, GO:0050896, GO:0008152, GO:0032501, GO:0065007","GO:0005488, GO:0140110, GO:0003824","GO:0032991, GO:0110165"
11,11,Q6PHC1,Q6PHC1_MOUSE,2-phospho-D-glycerate hydro-lyase {ECO:0000256|ARBA:ARBA00021490},Mus musculus (Mouse),phosphopyruvate hydratase complex IEA,GO:0000015,"phosphopyruvate hydratase activity IEA, magnesium ion binding IEA","GO:0000287, GO:0004634",glycolytic process IEA,GO:0006096,"Lyase {ECO:0000256|ARBA:ARBA00023239}, Proteomics identification {ECO:0000213|EPD:Q6PHC1,, Glycolysis {ECO:0000256|ARBA:ARBA00023152}, Reference proteome {ECO:0000313|Proteomes:UP000000589}, ECO:0000213|MaxQB:Q6PHC1, ECO:0000213|PeptideAtlas:Q6PHC1}, Magnesium {ECO:0000256|ARBA:ARBA00022842}","GO:0008152, GO:0009987","GO:0005488, GO:0003824",GO:0032991
12,12,Q68FD5,CLH1_MOUSE,Clathrin heavy chain 1,Mus musculus (Mouse),"clathrin coat ISO, extrinsic component of synaptic vesicle membrane ISO, protein-containing complex ISO, clathrin-coated vesicle ISO, membrane IMP, clathrin complex ISO, clathrin coat of coated pit IEA, endosome ISO, clathrin-coated pit IDA, mitochondrion HDA, membrane coat IDA, sarcolemma ISO, spindle ISO, clathrin coat of trans-Golgi network vesicle IEA, myelin sheath HDA, lysosome ISO, mitotic spindle ISO, clathrin-coated endocytic vesicle IBA, cytosol IEA, T-tubule ISO, mitotic spindle microtubule ISO, Myb complex ISO, melanosome IEA","GO:0032991, GO:0042383, GO:0030130, GO:0031523, GO:0098850, GO:0042470, GO:0016020, GO:0030117, GO:0005739, GO:0005905, GO:0072686, GO:1990498, GO:0030118, GO:0030315, GO:0045334, GO:0030136, GO:0071439, GO:0005829, GO:0030132, GO:0005768, GO:0043209, GO:0005764, GO:0005819","heat shock protein binding ISO, double-stranded RNA binding ISO, structural molecule activity IEA, ankyrin binding ISO, protein kinase binding IPI, disordered domain specific binding ISO, protein C-terminus binding ISO, peptide binding ISO, clathrin light chain binding ISO, low-density lipoprotein particle receptor binding ISO, ubiquitin-specific protease binding ISO","GO:0097718, GO:0050750, GO:0019901, GO:0032051, GO:0030506, GO:0008022, GO:0003725, GO:0031072, GO:0042277, GO:1990381, GO:0005198","clathrin coat assembly ISO, receptor internalization ISO, mitotic spindle assembly ISO, negative regulation of protein localization to plasma membrane ISO, receptor-mediated endocytosis ISO, synaptic vesicle endocytosis ISO, negative regulation of hyaluronan biosynthetic process ISS, transferrin transport ISO, cell division IEA, retrograde transport, endosome to Golgi ISO, regulation of mitotic spindle organization ISO, amyloid-beta clearance by transcytosis ISO, clathrin-dependent endocytosis ISO, autophagy IEA, intracellular protein transport IEA, mitotic cell cycle ISO, Golgi organization ISO","GO:0006898, GO:0150093, GO:0048488, GO:0031623, GO:0051301, GO:1903077, GO:0006914, GO:0072583, GO:0048268, GO:0006886, GO:0000278, GO:0060236, GO:0042147, GO:0090307, GO:1900126, GO:0033572, GO:0007030"," Cytoskeleton,  Mitosis, 3D-structure,  Cytoplasm, Direct protein sequencing,  Phosphoprotein,  Autophagy,  Cell cycle,  Repeat,  Cell division, Reference proteome, Coated pit,  Membrane,  Acetylation,  Cytoplasmic vesicle","GO:0009987, GO:0051179, GO:0008152, GO:0032501, GO:0065007",GO:0005488,"GO:0032991, GO:0110165"
13,13,Q5SXR6,Q5SXR6_MOUSE,Clathrin heavy chain {ECO:0000256|PIRNR:PIRNR002290},Mus musculus (Mouse),"clathrin complex IEA, clathrin coat of coated pit IEA, clathrin coat of trans-Golgi network vesicle IEA","GO:0071439, GO:0030130, GO:0030132","clathrin light chain binding IEA, structural molecule activity IEA","GO:0005198, GO:0032051","vesicle-mediated transport IEA, intracellular protein transport IEA, autophagy IEA","GO:0006914, GO:0006886, GO:0016192","ECO:0000213|MaxQB:Q5SXR6, ECO:0000213|PeptideAtlas:Q5SXR6}, Membrane {ECO:0000256|ARBA:ARBA00023176, ECO:0000256|PIRNR:PIRNR002290}, ECO:0000256|PIRNR:PIRNR002290}, Autophagy {ECO:0000256|ARBA:ARBA00023006}, Coated pit {ECO:0000256|ARBA:ARBA00023176, ECO:0000256|PIRNR:PIRNR002290}, Cytoplasmic vesicle {ECO:0000256|ARBA:ARBA00023329,, Reference proteome {ECO:0000313|Proteomes:UP000000589}, Repeat {ECO:0000256|ARBA:ARBA00022737}, Proteomics identification {ECO:0000213|EPD:Q5SXR6,","GO:0008152, GO:0051179, GO:0009987",GO:0005488,GO:0032991
14,14,A6ZI44,A6ZI44_MOUSE,"Fructose-bisphosphate aldolase {ECO:0000256|ARBA:ARBA00013068, ECO:0000256|RuleBase:RU003994}",Mus musculus (Mouse),,,fructose-bisphosphate aldolase activity IEA,GO:0004332,glycolytic process IEA,GO:0006096,"Proteomics identification {ECO:0000213|EPD:A6ZI44,, Schiff base {ECO:0000256|ARBA:ARBA00023270}, Glycolysis {ECO:0000256|RuleBase:RU003994}, Lyase {ECO:0000256|RuleBase:RU003994}, ECO:0000213|MaxQB:A6ZI44, ECO:0000213|PeptideAtlas:A6ZI44}, Reference proteome {ECO:0000313|Proteomes:UP000000589}, Signal {ECO:0000256|SAM:SignalP}","GO:0008152, GO:0009987",GO:0003824,
15,15,P68372,TBB4B_MOUSE,Tubulin beta-4B chain,Mus musculus (Mouse),"cytoplasm IBA, myelin sheath HDA, microtubule ISO, tubulin complex NAS","GO:0005737, GO:0043209, GO:0005874, GO:0045298","GTPase activity IEA, GTP binding IBA, double-stranded RNA binding ISO, structural constituent of cytoskeleton IBA","GO:0005200, GO:0005525, GO:0003725, GO:0003924","microtubule cytoskeleton organization IBA, microtubule-based process IBA, mitotic cell cycle IBA","GO:0000226, GO:0000278, GO:0007017"," Direct protein sequencing,  Cytoskeleton, Acetylation,  Cytoplasm,  Microtubule, Phosphoprotein, GTP-binding,  Reference proteome,  Nucleotide-binding,  Isopeptide bond",GO:0009987,"GO:0005198, GO:0005488, GO:0003824","GO:0032991, GO:0110165"
16,16,Q99KI0,ACON_MOUSE,"Aconitate hydratase, mitochondrial",Mus musculus (Mouse),"myelin sheath HDA, mitochondrion IDA, cytosol IBA","GO:0005739, GO:0005829, GO:0043209","4 iron, 4 sulfur cluster binding ISO, 3 iron, 4 sulfur cluster binding ISO, iron ion binding ISO, aconitate hydratase activity IDA, citrate dehydratase activity IEA","GO:0051539, GO:0051538, GO:0003994, GO:0005506, GO:0047780","tricarboxylic acid cycle ISO, response to isolation stress IEA, liver development IEA, citrate metabolic process ISO, isocitrate metabolic process ISO","GO:0006101, GO:0006099, GO:0001889, GO:0006102, GO:0035900"," Direct protein sequencing, Metal-binding,  Iron-sulfur, 4Fe-4S,  Phosphoprotein,  Mitochondrion,  Reference proteome,  Tricarboxylic acid cycle,  Lyase, Transit peptide,  Iron,  Acetylation","GO:0008152, GO:0032502, GO:0050896, GO:0009987","GO:0005488, GO:0003824",GO:0110165
17,17,Q62261,SPTB2_MOUSE,"Spectrin beta chain, non-erythrocytic 1",Mus musculus (Mouse),"M band IDA, postsynaptic density IDA, endomembrane system IEA, cortical cytoskeleton IDA, nucleolus ISO, postsynapse ISO, glutamatergic synapse ISO, axolemma IDA, plasma membrane IDA, protein-containing complex ISO, spectrin IEA, cuticular plate IDA, membrane IDA, cytoplasm ISO, nucleus IDA","GO:0005886, GO:0005634, GO:0012505, GO:0014069, GO:0032991, GO:0005737, GO:0030863, GO:0005730, GO:0008091, GO:0016020, GO:0032437, GO:0098978, GO:0030673, GO:0098794, GO:0031430","phospholipid binding IEA, GTPase binding ISO, ankyrin binding ISO, structural constituent of cytoskeleton ISO, actin binding IEA, calmodulin binding IEA, protein-containing complex binding ISO","GO:0051020, GO:0005543, GO:0044877, GO:0030506, GO:0005200, GO:0005516, GO:0003779","mitotic cytokinesis ISO, plasma membrane organization ISO, membrane assembly ISO, Golgi to plasma membrane protein transport ISO, actin filament capping IEA, positive regulation of interleukin-2 production ISO, protein localization to plasma membrane IMP, regulation of SMAD protein signal transduction IDA, common-partner SMAD protein phosphorylation IDA, positive regulation of protein localization to plasma membrane ISO, regulation of protein localization to plasma membrane ISO","GO:0051693, GO:0072659, GO:0060390, GO:0032743, GO:1903078, GO:1903076, GO:0007182, GO:0007009, GO:0000281, GO:0043001, GO:0071709"," Calmodulin-binding,  Cell membrane,  Actin-binding, 3D-structure, Cytoskeleton,  Cytoplasm,  Phosphoprotein,  Actin capping,  Glycoprotein,  Reference proteome,  Membrane, Alternative splicing,  Acetylation, Repeat","GO:0008152, GO:0051179, GO:0065007, GO:0009987","GO:0005198, GO:0005488","GO:0032991, GO:0110165"
18,18,Q6PIE5,AT1A2_MOUSE,Sodium/potassium-transporting ATPase subunit alpha-2,Mus musculus (Mouse),"plasma membrane ISS, neuronal cell body IDA, caveola ISO, membrane ISO, neuron projection ISO, endosome ISO, sodium, synapse ISO, T-tubule IDA, sarcolemma IDA, cytoplasm ISS, intercalated disc ISO, dendritic spine ISO, organelle membrane ISO, myelin sheath HDA, cell projection IDA","GO:0042995, GO:0005886, GO:0043197, GO:0043005, GO:0005737, GO:0031090, GO:0014704, GO:0005768, GO:0005901, GO:0042383, GO:0043025, GO:0016020, GO:0043209, GO:0045202, GO:0030315, GO:0005890","ATP binding ISO, drug binding IEA, ATPase activity IEA, ATPase-coupled cation transmembrane transporter activity ISO, chaperone binding ISO, steroid hormone binding ISO, potassium ion binding IEA, protein heterodimerization activity ISO, sodium ion binding IEA, sodium","GO:1990239, GO:0030955, GO:0031402, GO:0005391, GO:0005524, GO:0051087, GO:0046982, GO:0019829, GO:0008144, GO:0016887","response to glycoside IMP, sodium ion export across plasma membrane ISO, negative regulation of heart contraction IMP, negative regulation of striated muscle contraction IMP, sodium ion transmembrane transport ISO, cellular sodium ion homeostasis ISO, adult locomotory behavior IMP, behavioral fear response IMP, ATP metabolic process ISO, locomotory exploration behavior IMP, sodium ion transport ISO, regulation of the force of heart contraction IMP, potassium ion transmembrane transport ISO, negative regulation of calcium ion transmembrane transport ISO, locomotion IMP, proton transmembrane transport ISO, neurotransmitter uptake IMP, regulation of smooth muscle contraction IMP, negative regulation of calcium, regulation of respiratory gaseous exchange by nervous system process IMP, response to nicotine ISO, regulation of cardiac muscle cell contraction ISO, cellular response to steroid hormone stimulus IDA, olfactory cortex development IMP, response to auditory stimulus IMP, amygdala development IMP, potassium ion import across plasma membrane ISO, cellular response to mechanical stimulus ISO, negative regulation of cytosolic calcium ion concentration IMP, regulation of muscle contraction IMP, potassium ion transport ISO, regulation of vasoconstriction IMP, regulation of blood pressure IGI, regulation of striated muscle contraction IMP, visual learning IMP, cellular potassium ion homeostasis ISO, cation transmembrane transport ISO","GO:0006937, GO:0071383, GO:0045822, GO:0008217, GO:0002087, GO:0035094, GO:0098655, GO:0006883, GO:0030007, GO:0002026, GO:0071260, GO:0035725, GO:0006813, GO:0071805, GO:0008344, GO:0036376, GO:0006814, GO:0019229, GO:1902600, GO:0045988, GO:0006940, GO:0021764, GO:0001504, GO:0001662, GO:0008542, GO:1903170, GO:1903416, GO:0006942, GO:1903280, GO:1990573, GO:0040011, GO:0035641, GO:0086004, GO:0010996, GO:0021989, GO:0051481, GO:0046034"," Direct protein sequencing,  Cell membrane,  Ion transport,  Potassium transport,  Sodium/potassium transport,  Translocase,  Phosphoprotein, Sodium transport,  Transmembrane,  Transport,  Metal-binding, Potassium, Magnesium,  Reference proteome, ATP-binding,  Nucleotide-binding,  Membrane, Transmembrane helix,  Sodium","GO:0007610, GO:0032502, GO:0009987, GO:0051179, GO:0050896, GO:0008152, GO:0032501, GO:0065007","GO:0005215, GO:0005488, GO:0003824","GO:0032991, GO:0110165"
19,19,D3YYN7,D3YYN7_MOUSE,Sodium/potassium-transporting ATPase subunit alpha {ECO:0000256|RuleBase:RU362084},Mus musculus (Mouse),integral component of membrane IEA,GO:0016021,"potassium transmembrane transporter activity, phosphorylative mechanism IEA, metal ion binding IEA, ATP binding IEA","GO:0008556, GO:0046872, GO:0005524",,,"ATP-binding {ECO:0000256|ARBA:ARBA00022840, ECO:0000256|RuleBase:RU362084}, Metal-binding {ECO:0000256|ARBA:ARBA00022723,, Translocase {ECO:0000256|ARBA:ARBA00022967}, Transmembrane {ECO:0000256|ARBA:ARBA00022989,, Transmembrane helix {ECO:0000256|ARBA:ARBA00022989,, Proteomics identification {ECO:0000213|MaxQB:D3YYN7,, Magnesium {ECO:0000256|ARBA:ARBA00022842}, ECO:0000213|PeptideAtlas:D3YYN7},  Potassium {ECO:0000256|RuleBase:RU362084}, Ion transport {ECO:0000256|RuleBase:RU362084}, ECO:0000256|RuleBase:RU362084}, Reference proteome {ECO:0000313|Proteomes:UP000000589}, Potassium transport {ECO:0000256|RuleBase:RU362084},  Transport {ECO:0000256|RuleBase:RU362084}, Nucleotide-binding {ECO:0000256|ARBA:ARBA00022840,, Membrane {ECO:0000256|ARBA:ARBA00022989, ECO:0000256|RuleBase:RU362084}",,"GO:0005488, GO:0005215",GO:0110165
20,20,P52480-2,KPYM_MOUSE,Pyruvate kinase PKM,Mus musculus (Mouse),"photoreceptor inner segment IDA, nucleus ISO, cilium IDA, pyruvate kinase complex ISO, cytosol ISO, mitochondrion HDA, collagen-containing extracellular matrix HDA, rough endoplasmic reticulum IDA, cytoplasm ISO, myelin sheath HDA","GO:0005739, GO:0001917, GO:0005634, GO:1902912, GO:0005929, GO:0005737, GO:0005829, GO:0062023, GO:0043209, GO:0005791","ADP binding ISO, mRNA binding IDA, ATP binding IEA, identical protein binding ISO, magnesium ion binding IEA, pyruvate kinase activity IDA, kinase activity IEA, potassium ion binding IEA, thyroid hormone binding ISO","GO:0003729, GO:0016301, GO:0004743, GO:0030955, GO:0000287, GO:0042802, GO:0070324, GO:0043531, GO:0005524","liver development ISO, ATP biosynthetic process ISO, skeletal muscle tissue regeneration ISO, pyruvate biosynthetic process ISO, glucose metabolic process ISO, programmed cell death ISO, positive regulation of cytoplasmic translation IDA, cellular response to insulin stimulus IBA, glycolytic process IDA, animal organ regeneration ISO, positive regulation of sprouting angiogenesis ISS","GO:0032869, GO:1903672, GO:0006754, GO:0006096, GO:0001889, GO:0042866, GO:0031100, GO:0012501, GO:0006006, GO:2000767, GO:0043403"," Direct protein sequencing,  Alternative splicing,  Potassium,  ATP-binding, Acetylation,  Allosteric enzyme,  Transferase,  Metal-binding, Nucleotide-binding,  Kinase,  Translation regulation,  Pyruvate,  Phosphoprotein,  Ubl conjugation,  Nucleus, Cytoplasm,  Methylation, Reference proteome,  Glycolysis,  Magnesium,  Hydroxylation, Isopeptide bond","GO:0032502, GO:0009987, GO:0040007, GO:0050896, GO:0008152, GO:0065007","GO:0005488, GO:0003824","GO:0032991, GO:0110165"
