Uniprot Entry,Accession Name,Organism,Keywords,GO Cellular Components,GO ID CC,GO Molecular Function,GO ID MF,GO Biological Process,GO ID BP,Name
A2A547,A2A547_MOUSE,Mus musculus (Mouse),"Ribosomal protein {ECO:0000256|ARBA:ARBA00022980,, ECO:0000256|RuleBase:RU000574}, Reference proteome {ECO:0000313|Proteomes:UP000000589}, Proteomics identification {ECO:0000213|EPD:A2A547,, ECO:0000213|MaxQB:A2A547, ECO:0000213|PeptideAtlas:A2A547}, Ribonucleoprotein {ECO:0000256|ARBA:ARBA00022980,",cytosolic large ribosomal subunit IEA,GO:0022625,"structural constituent of ribosome IEA, RNA binding IEA","GO:0003723, GO:0003735",translation IEA,GO:0006412,Ribosomal protein L19 {ECO:0000256|RuleBase:RU000574}
A2A5R6,A2A5R6_MOUSE,Mus musculus (Mouse),"Coiled coil {ECO:0000256|SAM:Coils}, ECO:0000213|MaxQB:A2A5R6, ECO:0000213|PeptideAtlas:A2A5R6}, Zinc-finger {ECO:0000256|ARBA:ARBA00022771}, Reference proteome {ECO:0000313|Proteomes:UP000000589}, Repeat {ECO:0000256|ARBA:ARBA00022737},  Signal {ECO:0000256|SAM:SignalP}, Zinc {ECO:0000256|ARBA:ARBA00022771}, Metal-binding {ECO:0000256|ARBA:ARBA00022771}, Proteomics identification {ECO:0000213|EPD:A2A5R6,",nucleus IEA,GO:0005634,"helicase activity IEA, zinc ion binding IEA, DNA-binding transcription factor activity IEA","GO:0004386, GO:0003700, GO:0008270",,,
A2A6E7,A2A6E7_MOUSE,Mus musculus (Mouse),"Flavoprotein {ECO:0000256|ARBA:ARBA00022643}, Reference proteome {ECO:0000313|Proteomes:UP000000589}, ECO:0000213|MaxQB:A2A6E7, ECO:0000213|PeptideAtlas:A2A6E7}, FMN {ECO:0000256|ARBA:ARBA00022643}, Proteomics identification {ECO:0000213|EPD:A2A6E7,, Oxidoreductase {ECO:0000256|ARBA:ARBA00023002}",,,"pyridoxamine-phosphate oxidase activity IEA, FMN binding IEA","GO:0010181, GO:0004733",pyridoxine biosynthetic process IEA,GO:0008615,Pyridoxal 5'-phosphate synthase {ECO:0000256|ARBA:ARBA00012801}
A2A6H0,A2A6H0_MOUSE,Mus musculus (Mouse),"Reference proteome {ECO:0000313|Proteomes:UP000000589}, ECO:0000213|MaxQB:A2A6H0, ECO:0000213|PeptideAtlas:A2A6H0}, Repeat {ECO:0000256|ARBA:ARBA00022737}, Proteomics identification {ECO:0000213|EPD:A2A6H0,",,,,,,,
A2A6Q3,A2A6Q3_MOUSE,Mus musculus (Mouse),"Reference proteome {ECO:0000313|Proteomes:UP000000589}, Proteomics identification {ECO:0000213|MaxQB:A2A6Q3,, ECO:0000213|PeptideAtlas:A2A6Q3}",,,,,,,
A2A7H4,A2A7H4_MOUSE,Mus musculus (Mouse),"Reference proteome {ECO:0000313|Proteomes:UP000000589}, ECO:0000213|PeptideAtlas:A2A7H4}, Proteomics identification {ECO:0000213|MaxQB:A2A7H4,",,,,,,,
A2A815,A2A815_MOUSE,Mus musculus (Mouse),"Autophagy {ECO:0000256|ARBA:ARBA00023006}, ECO:0000213|MaxQB:A2A815, ECO:0000213|PeptideAtlas:A2A815}, Fertilization {ECO:0000256|ARBA:ARBA00023279}, Chaperone {ECO:0000256|ARBA:ARBA00023186}, Protease {ECO:0000256|ARBA:ARBA00022670}, Hydrolase {ECO:0000256|ARBA:ARBA00022670}, Reference proteome {ECO:0000313|Proteomes:UP000000589}, Proteomics identification {ECO:0000213|EPD:A2A815,, Oxidation {ECO:0000256|ARBA:ARBA00023097}, Stress response {ECO:0000256|ARBA:ARBA00023016}","plasma membrane IEA, membrane raft IEA","GO:0045121, GO:0005886",,,"autophagy IEA, single fertilization IEA","GO:0007338, GO:0006914",Maillard deglycase {ECO:0000256|ARBA:ARBA00013976}
A2A839,A2A839_MOUSE,Mus musculus (Mouse),"Coiled coil {ECO:0000256|SAM:Coils}, Cell cycle {ECO:0000256|ARBA:ARBA00022776}, Calmodulin-binding {ECO:0000256|ARBA:ARBA00022860}, Mitosis {ECO:0000256|ARBA:ARBA00022776}, Phosphoprotein {ECO:0000256|ARBA:ARBA00022553}, ECO:0000213|MaxQB:A2A839, ECO:0000213|PeptideAtlas:A2A839}, Cell division {ECO:0000256|ARBA:ARBA00022776}, Reference proteome {ECO:0000313|Proteomes:UP000000589}, Transport {ECO:0000256|ARBA:ARBA00022448}, Proteomics identification {ECO:0000213|EPD:A2A839,","cytoskeleton IEA, nucleus IEA, cell cortex IEA","GO:0005856, GO:0005634, GO:0005938","actin binding IEA, structural molecule activity IEA, calmodulin binding IEA","GO:0003779, GO:0005198, GO:0005516","cell division IEA, cortical actin cytoskeleton organization IEA, cell cycle IEA","GO:0007049, GO:0030866, GO:0051301",Band 4.1 {ECO:0000256|ARBA:ARBA00015603}
A2A845,A2A845_MOUSE,Mus musculus (Mouse),"Proteomics identification {ECO:0000213|EPD:A2A845,, Reference proteome {ECO:0000313|Proteomes:UP000000589}, ECO:0000213|MaxQB:A2A845, ECO:0000213|PeptideAtlas:A2A845}",,,,,oxidation-reduction process IEA,GO:0055114,
A2A8K5,A2A8K5_MOUSE,Mus musculus (Mouse),"Transducer {ECO:0000256|ARBA:ARBA00023040}, G-protein coupled receptor {ECO:0000256|ARBA:ARBA00023040}, Reference proteome {ECO:0000313|Proteomes:UP000000589}, Receptor {ECO:0000256|ARBA:ARBA00023040}, Transmembrane helix {ECO:0000256|ARBA:ARBA00022989,, Membrane {ECO:0000256|ARBA:ARBA00022989, ECO:0000256|SAM:Phobius}, Transmembrane {ECO:0000256|ARBA:ARBA00022989, ECO:0000256|SAM:Phobius}, ECO:0000256|SAM:Phobius}",integral component of membrane IEA,GO:0016021,G protein-coupled receptor activity IEA,GO:0004930,,,
A2A9X5,A2A9X5_MOUSE,Mus musculus (Mouse),"Reference proteome {ECO:0000313|Proteomes:UP000000589}, ECO:0000213|MaxQB:A2A9X5, ECO:0000213|PeptideAtlas:A2A9X5}, Proteomics identification {ECO:0000213|EPD:A2A9X5,",,,5'-nucleotidase activity IEA,GO:0008253,deoxyribonucleotide catabolic process IEA,GO:0009264,
A2AAA9,FT,Mus musculus (Mouse),"Transmembrane {ECO:0000256|ARBA:ARBA00022989}, ProRule:PRU00479},  Endocytosis {ECO:0000256|ARBA:ARBA00022583}, Lectin {ECO:0000256|ARBA:ARBA00022734}, ECO:0000213|PeptideAtlas:A2AAA9}, Disulfide bond {ECO:0000256|ARBA:ARBA00023157, ECO:0000256|PROSITE-, Reference proteome {ECO:0000313|Proteomes:UP000000589}, Transmembrane helix {ECO:0000256|ARBA:ARBA00022989}, Signal {ECO:0000256|SAM:SignalP}, Membrane {ECO:0000256|ARBA:ARBA00022989}, Proteomics identification {ECO:0000213|MaxQB:A2AAA9,,  Receptor {ECO:0000256|ARBA:ARBA00023170}",integral component of membrane IEA,GO:0016021,carbohydrate binding IEA,GO:0030246,endocytosis IEA,GO:0006897,
A2AC05,A2AC05_MOUSE,Mus musculus (Mouse),"Reference proteome {ECO:0000313|Proteomes:UP000000589}, Proteomics identification {ECO:0000213|EPD:A2AC05,, ECO:0000213|MaxQB:A2AC05, ECO:0000213|PeptideAtlas:A2AC05}",,,,,,,
A2AC13,A2AC13_MOUSE,Mus musculus (Mouse),"Reference proteome {ECO:0000313|Proteomes:UP000000589}, Proteomics identification {ECO:0000213|MaxQB:A2AC13}",,,"GTPase activity IEA, GTP binding IEA","GO:0005525, GO:0003924",small GTPase mediated signal transduction IEA,GO:0007264,
A2AC24,A2AC24_MOUSE,Mus musculus (Mouse),"Reference proteome {ECO:0000313|Proteomes:UP000000589}, ECO:0000213|MaxQB:A2AC24, ECO:0000213|PeptideAtlas:A2AC24}, Proteomics identification {ECO:0000213|EPD:A2AC24,",,,,,,,
A2ACC7,A2ACC7_MOUSE,Mus musculus (Mouse),"Reference proteome {ECO:0000313|Proteomes:UP000000589}, GTPase activation {ECO:0000256|PROSITE-ProRule:PRU00165}, Proteomics identification {ECO:0000213|EPD:A2ACC7,, ECO:0000213|MaxQB:A2ACC7, ECO:0000213|PeptideAtlas:A2ACC7}",,,GTPase activator activity IEA,GO:0005096,regulation of small GTPase mediated signal transduction IEA,GO:0051056,
A2AE89,A2AE89_MOUSE,Mus musculus (Mouse),"ECO:0000213|MaxQB:A2AE89, ECO:0000213|PeptideAtlas:A2AE89}, Proteomics identification {ECO:0000213|EPD:A2AE89,, Transferase {ECO:0000256|ARBA:ARBA00022679}, Reference proteome {ECO:0000313|Proteomes:UP000000589}",,,glutathione transferase activity IEA,GO:0004364,,,Glutathione transferase {ECO:0000256|ARBA:ARBA00012452}
A2AEX7,A2AEX7_MOUSE,Mus musculus (Mouse),"Proteomics identification {ECO:0000213|MaxQB:A2AEX7,, Zinc {ECO:0000256|ARBA:ARBA00023038, ECO:0000256|PROSITE-ProRule:PRU00125}, ECO:0000213|PeptideAtlas:A2AEX7}, Metal-binding {ECO:0000256|ARBA:ARBA00023038, ECO:0000256|PROSITE-, Reference proteome {ECO:0000313|Proteomes:UP000000589}, ProRule:PRU00125}, LIM domain {ECO:0000256|ARBA:ARBA00023038, ECO:0000256|PROSITE-",,,metal ion binding IEA,GO:0046872,muscle organ development IEA,GO:0007517,
A2AFG7,A2AFG7_MOUSE,Mus musculus (Mouse),"Immunoglobulin domain {ECO:0000256|ARBA:ARBA00023319}, ECO:0000213|MaxQB:A2AFG7, ECO:0000213|PeptideAtlas:A2AFG7}, Reference proteome {ECO:0000313|Proteomes:UP000000589}, Repeat {ECO:0000256|ARBA:ARBA00022737}, Transmembrane helix {ECO:0000256|ARBA:ARBA00022989,, Membrane {ECO:0000256|ARBA:ARBA00022989, ECO:0000256|SAM:Phobius}, Transmembrane {ECO:0000256|ARBA:ARBA00022989, ECO:0000256|SAM:Phobius}, ECO:0000256|SAM:Phobius},  Signal {ECO:0000256|SAM:SignalP}, Proteomics identification {ECO:0000213|EPD:A2AFG7,",integral component of membrane IEA,GO:0016021,,,,,
A2AFP1,A2AFP1_MOUSE,Mus musculus (Mouse),"Reference proteome {ECO:0000313|Proteomes:UP000000589}, ER-Golgi transport {ECO:0000256|ARBA:ARBA00022892}, Proteomics identification {ECO:0000213|MaxQB:A2AFP1}, Transport {ECO:0000256|ARBA:ARBA00022892}",perinuclear region of cytoplasm IEA,GO:0048471,,,endoplasmic reticulum to Golgi vesicle-mediated transport IEA,GO:0006888,
A2AG48,A2AG48_MOUSE,Mus musculus (Mouse),"Reference proteome {ECO:0000313|Proteomes:UP000000589}, ECO:0000213|MaxQB:A2AG48, ECO:0000213|PeptideAtlas:A2AG48}, Proteomics identification {ECO:0000213|EPD:A2AG48,","nucleoplasm ISO, cytosol ISO, nucleolus ISO","GO:0005730, GO:0005654, GO:0005829",,,"renal sodium ion absorption ISO, female pregnancy ISO","GO:0007565, GO:0070294",
A2AGI3,A2AGI3_MOUSE,Mus musculus (Mouse),"Cell membrane {ECO:0000256|ARBA:ARBA00022475}, Proteomics identification {ECO:0000213|MaxQB:A2AGI3,, ECO:0000213|PeptideAtlas:A2AGI3}, Cell junction {ECO:0000256|ARBA:ARBA00023018}, Synapse {ECO:0000256|ARBA:ARBA00023018}, Reference proteome {ECO:0000313|Proteomes:UP000000589}, Transmembrane helix {ECO:0000256|ARBA:ARBA00022989,, Membrane {ECO:0000256|ARBA:ARBA00022475, ECO:0000256|ARBA:ARBA00022989,, Transmembrane {ECO:0000256|ARBA:ARBA00022989, ECO:0000256|SAM:Phobius}, ECO:0000256|SAM:Phobius}, Cell adhesion {ECO:0000256|ARBA:ARBA00022889}","synapse IEA, integral component of plasma membrane IEA","GO:0005887, GO:0045202",neurexin family protein binding IEA,GO:0042043,"modulation of chemical synaptic transmission IEA, cell adhesion IEA, synapse organization IEA","GO:0050804, GO:0007155, GO:0050808",
A2AGL3,RYR3_MOUSE,Mus musculus (Mouse)," Calcium, Transmembrane helix,  Transport,  Ion transport,  Endoplasmic reticulum, Reference proteome,  Repeat,  Microsome, Calmodulin-binding, Ligand-gated ion channel,  Sarcoplasmic reticulum,  Ion channel, Alternative splicing,  Receptor,  Transmembrane,  Calcium channel,  Membrane,  Calcium transport","cytoplasmic vesicle membrane IBA, junctional membrane complex IDA, perinuclear region of cytoplasm ISO, sarcoplasmic reticulum membrane IDA, Z disc IBA, sarcolemma IBA, calcium channel complex IBA, integral component of membrane ISS, smooth endoplasmic reticulum IBA, endoplasmic reticulum ISO, plasma membrane IBA","GO:0042383, GO:0016021, GO:0034704, GO:0030314, GO:0033017, GO:0005886, GO:0048471, GO:0030018, GO:0030659, GO:0005783, GO:0005790","ryanodine-sensitive calcium-release channel activity ISS, calcium-induced calcium release activity ISO, calcium ion binding IBA, calmodulin binding IEA, calcium-release channel activity ISO","GO:0005509, GO:0015278, GO:0048763, GO:0005516, GO:0005219","protein homotetramerization ISS, cellular response to calcium ion ISS, cellular response to magnesium ion ISS, calcium ion transport ISO, release of sequestered calcium ion into cytosol IBA, striated muscle contraction IMP, cellular calcium ion homeostasis IMP, calcium ion transmembrane transport ISS, cellular response to caffeine ISS, negative regulation of cytosolic calcium ion concentration ISO, cellular response to ATP ISS","GO:0071286, GO:0006941, GO:0071313, GO:0006874, GO:0070588, GO:0051209, GO:0006816, GO:0071277, GO:0051481, GO:0071318, GO:0051289",Ryanodine receptor 3
A2AGN7,A2AGN7_MOUSE,Mus musculus (Mouse),"ECO:0000213|MaxQB:A2AGN7, ECO:0000213|PeptideAtlas:A2AGN7}, ATP-binding {ECO:0000256|RuleBase:RU003651}, Reference proteome {ECO:0000313|Proteomes:UP000000589}, Proteasome {ECO:0000256|ARBA:ARBA00022942}, Proteomics identification {ECO:0000213|EPD:A2AGN7,, Nucleus {ECO:0000256|ARBA:ARBA00023242}, Nucleotide-binding {ECO:0000256|RuleBase:RU003651}","nucleus IEA, cytoplasm IEA, proteasome complex IEA","GO:0005737, GO:0005634, GO:0000502","ATPase activity IEA, ATP binding IEA","GO:0005524, GO:0016887",protein catabolic process IEA,GO:0030163,
A2AGR1,A2AGR1_MOUSE,Mus musculus (Mouse),"Cytoplasm {ECO:0000256|ARBA:ARBA00022490}, ECO:0000213|MaxQB:A2AGR1, ECO:0000213|PeptideAtlas:A2AGR1}, Guanine-nucleotide releasing factor {ECO:0000256|ARBA:ARBA00022658}, Proteomics identification {ECO:0000213|EPD:A2AGR1,, Apoptosis {ECO:0000256|ARBA:ARBA00022703}, Reference proteome {ECO:0000313|Proteomes:UP000000589}","membrane IEA, cytoplasm IEA","GO:0005737, GO:0016020",guanyl-nucleotide exchange factor activity IEA,GO:0005085,apoptotic process IEA,GO:0006915,MAP kinase-activating death domain protein {ECO:0000256|ARBA:ARBA00017868}
A2AIJ1,A2AIJ1_MOUSE,Mus musculus (Mouse),"Transmembrane {ECO:0000256|RuleBase:RU361218}, Membrane {ECO:0000256|RuleBase:RU361218}, Reference proteome {ECO:0000313|Proteomes:UP000000589}, ECO:0000213|MaxQB:A2AIJ1, ECO:0000213|PeptideAtlas:A2AIJ1}, Transmembrane helix {ECO:0000256|RuleBase:RU361218}, Proteomics identification {ECO:0000213|EPD:A2AIJ1,",integral component of membrane IEA,GO:0016021,,,,,Tetraspanin {ECO:0000256|RuleBase:RU361218}
A2AIV3,A2AIV3_MOUSE,Mus musculus (Mouse),"Reference proteome {ECO:0000313|Proteomes:UP000000589}, Proteomics identification {ECO:0000213|EPD:A2AIV3,, ECO:0000213|MaxQB:A2AIV3, ECO:0000213|PeptideAtlas:A2AIV3}",,,GTPase regulator activity IEA,GO:0030695,,,
A2AKB4,FRPD1_MOUSE,Mus musculus (Mouse)," Cytoplasm,  Reference proteome,  Membrane, Cell membrane","protein-containing complex ISO, plasma membrane ISO, cell cortex IEA, cytosol IEA, cytoskeleton IEA","GO:0005938, GO:0005829, GO:0005886, GO:0032991, GO:0005856",,,"signal transduction IEA, regulation of G protein-coupled receptor signaling pathway ISO, establishment of protein localization to membrane ISO","GO:0008277, GO:0007165, GO:0090150",FERM and PDZ domain-containing protein 1
A2AKD7,A2AKD7_MOUSE,Mus musculus (Mouse),"Membrane {ECO:0000256|ARBA:ARBA00023136}, Proteomics identification {ECO:0000213|MaxQB:A2AKD7,, Cytoskeleton {ECO:0000256|ARBA:ARBA00023212}, Reference proteome {ECO:0000313|Proteomes:UP000000589}, Cytoplasm {ECO:0000256|ARBA:ARBA00023212}, ECO:0000213|PeptideAtlas:A2AKD7}","protein-containing complex IEA, sarcolemma IEA, cytoskeleton IEA, neuromuscular junction IEA","GO:0005856, GO:0042383, GO:0031594, GO:0032991","sodium channel regulator activity IEA, structural molecule activity IEA, ATPase binding IEA, ion channel binding IEA, PDZ domain binding IEA, nitric-oxide synthase binding IEA","GO:0005198, GO:0050998, GO:0030165, GO:0017080, GO:0044325, GO:0051117","regulation of sodium ion transmembrane transport IEA, negative regulation of peptidyl-cysteine S-nitrosylation IEA, regulation of ventricular cardiac muscle cell membrane repolarization IEA, ventricular cardiac muscle cell action potential IEA, regulation of heart rate IEA","GO:0002027, GO:1902305, GO:1902083, GO:0086005, GO:0060307",
A2AKH7,A2AKH7_MOUSE,Mus musculus (Mouse),"ECO:0000213|MaxQB:A2AKH7, ECO:0000213|PeptideAtlas:A2AKH7}, Repeat {ECO:0000256|ARBA:ARBA00022737}, Reference proteome {ECO:0000313|Proteomes:UP000000589}, Leucine-rich repeat {ECO:0000256|ARBA:ARBA00022614}, Proteomics identification {ECO:0000213|EPD:A2AKH7,",,,,,,,
A2AL71,A2AL71_MOUSE,Mus musculus (Mouse),"Proteomics identification {ECO:0000213|EPD:A2AL71,, Transmembrane {ECO:0000256|ARBA:ARBA00022989}, Phosphoprotein {ECO:0000256|ARBA:ARBA00022553}, ECO:0000213|MaxQB:A2AL71, ECO:0000213|PeptideAtlas:A2AL71}, Disulfide bond {ECO:0000256|ARBA:ARBA00023157}, Reference proteome {ECO:0000313|Proteomes:UP000000589}, Glycoprotein {ECO:0000256|ARBA:ARBA00023180}, Transmembrane helix {ECO:0000256|ARBA:ARBA00022989}, Signal {ECO:0000256|SAM:SignalP}, Membrane {ECO:0000256|ARBA:ARBA00022989}",integral component of membrane IEA,GO:0016021,peptide-aspartate beta-dioxygenase activity IEA,GO:0004597,peptidyl-aspartic acid hydroxylation IEA,GO:0042264,
A2ALS7,A2ALS7_MOUSE,Mus musculus (Mouse),"Reference proteome {ECO:0000313|Proteomes:UP000000589}, ECO:0000213|PeptideAtlas:A2ALS7}, GTPase activation {ECO:0000256|PROSITE-ProRule:PRU00165}, Proteomics identification {ECO:0000213|MaxQB:A2ALS7,",,,GTPase activator activity IEA,GO:0005096,regulation of small GTPase mediated signal transduction IEA,GO:0051056,
A2ALT5,A2ALT5_MOUSE,Mus musculus (Mouse),"Reference proteome {ECO:0000313|Proteomes:UP000000589}, Proteomics identification {ECO:0000213|EPD:A2ALT5,, ECO:0000213|MaxQB:A2ALT5, ECO:0000213|PeptideAtlas:A2ALT5}",,,,,,,
A2ALV7,A2ALV7_MOUSE,Mus musculus (Mouse),"Cytoplasm {ECO:0000256|ARBA:ARBA00022490}, Proteomics identification {ECO:0000213|EPD:A2ALV7,, Reference proteome {ECO:0000313|Proteomes:UP000000589}, Repeat {ECO:0000256|ARBA:ARBA00022737}, ECO:0000213|MaxQB:A2ALV7, ECO:0000213|PeptideAtlas:A2ALV7}",cytoplasm IEA,GO:0005737,molecular adaptor activity IEA,GO:0060090,proteasome assembly IEA,GO:0043248,
A2AM65,A2AM65_MOUSE,Mus musculus (Mouse),"Chromosome {ECO:0000256|RuleBase:RU003894}, Nucleus {ECO:0000256|RuleBase:RU003894}, Proteomics identification {ECO:0000213|EPD:A2AM65,, ECO:0000213|MaxQB:A2AM65, ECO:0000213|PeptideAtlas:A2AM65}, Reference proteome {ECO:0000313|Proteomes:UP000000589}, DNA-binding {ECO:0000256|ARBA:ARBA00023125, ECO:0000256|RuleBase:RU003894}","nucleosome IEA, nucleus IEA","GO:0005634, GO:0000786","chromatin binding IEA, DNA binding IEA","GO:0003677, GO:0003682","heterochromatin organization IEA, nucleosome assembly IEA, regulation of transcription, DNA-templated IEA","GO:0006355, GO:0070828, GO:0006334",Heterochromatin protein 1-binding protein 3 {ECO:0000256|ARBA:ARBA00019297}
A2AM78,A2AM78_MOUSE,Mus musculus (Mouse),"Proteomics identification {ECO:0000213|EPD:A2AM78}, Reference proteome {ECO:0000313|Proteomes:UP000000589}, Nucleotide-binding {ECO:0000256|ARBA:ARBA00022840}, ATP-binding {ECO:0000256|ARBA:ARBA00022840}",,,"protein serine/threonine kinase activity IEA, ATP binding IEA","GO:0004674, GO:0005524",autophagy of mitochondrion IEA,GO:0000422,
A2AMG5,A2AMG5_MOUSE,Mus musculus (Mouse),"Proteomics identification {ECO:0000213|EPD:A2AMG5,, Cell cycle {ECO:0000256|ARBA:ARBA00023306}, Reference proteome {ECO:0000313|Proteomes:UP000000589}, ECO:0000213|MaxQB:A2AMG5, ECO:0000213|PeptideAtlas:A2AMG5}, Chromosome {ECO:0000256|ARBA:ARBA00022895}, Meiosis {ECO:0000256|ARBA:ARBA00023254}, Telomere {ECO:0000256|ARBA:ARBA00022895}","Mre11 complex IEA, chromosome, telomeric region IEA","GO:0030870, GO:0000781",,,"mitotic G2 DNA damage checkpoint IEA, double-strand break repair IEA, telomere maintenance IEA, meiotic cell cycle IEA","GO:0000723, GO:0006302, GO:0051321, GO:0007095",Nibrin {ECO:0000256|ARBA:ARBA00020013}
