,Uniprot Entry,Accession Name,Organism,Keywords,GO Cellular Components,GO ID CC,GO Molecular Function,GO ID MF,GO Biological Process,GO ID BP,Name,Biological Process Label,Molecular Function Label,Cellular Component Label
10,A2A547,A2A547_MOUSE,Mus musculus (Mouse),"Proteomics identification {ECO:0000213|EPD:A2A547,, Ribonucleoprotein {ECO:0000256|ARBA:ARBA00022980,, Reference proteome {ECO:0000313|Proteomes:UP000000589}, ECO:0000213|MaxQB:A2A547, ECO:0000213|PeptideAtlas:A2A547}, Ribosomal protein {ECO:0000256|ARBA:ARBA00022980,, ECO:0000256|RuleBase:RU000574}",cytosolic large ribosomal subunit IEA,GO:0022625,"structural constituent of ribosome IEA, RNA binding IEA","GO:0003735, GO:0003723",translation IEA,GO:0006412,Ribosomal protein L19 {ECO:0000256|RuleBase:RU000574},"GO:0008152, GO:0009987","GO:0005488, GO:0005198",GO:1990904
11,A2A5R6,A2A5R6_MOUSE,Mus musculus (Mouse),"Zinc {ECO:0000256|ARBA:ARBA00022771}, ECO:0000213|MaxQB:A2A5R6, ECO:0000213|PeptideAtlas:A2A5R6}, Reference proteome {ECO:0000313|Proteomes:UP000000589}, Repeat {ECO:0000256|ARBA:ARBA00022737}, Proteomics identification {ECO:0000213|EPD:A2A5R6,, Metal-binding {ECO:0000256|ARBA:ARBA00022771}, Coiled coil {ECO:0000256|SAM:Coils},  Signal {ECO:0000256|SAM:SignalP}, Zinc-finger {ECO:0000256|ARBA:ARBA00022771}",nucleus IEA,GO:0005634,"zinc ion binding IEA, DNA-binding transcription factor activity IEA, helicase activity IEA","GO:0008270, GO:0004386, GO:0003700",,,,,"GO:0005488, GO:0003824, GO:0140110","GO:0043229, GO:0043227"
12,A2A6E7,A2A6E7_MOUSE,Mus musculus (Mouse),"Reference proteome {ECO:0000313|Proteomes:UP000000589}, Flavoprotein {ECO:0000256|ARBA:ARBA00022643}, FMN {ECO:0000256|ARBA:ARBA00022643}, ECO:0000213|MaxQB:A2A6E7, ECO:0000213|PeptideAtlas:A2A6E7}, Oxidoreductase {ECO:0000256|ARBA:ARBA00023002}, Proteomics identification {ECO:0000213|EPD:A2A6E7,",,,"pyridoxamine-phosphate oxidase activity IEA, FMN binding IEA","GO:0004733, GO:0010181",pyridoxine biosynthetic process IEA,GO:0008615,Pyridoxal 5'-phosphate synthase {ECO:0000256|ARBA:ARBA00012801},"GO:0008152, GO:0009987","GO:0005488, GO:0003824",
13,A2A6H0,A2A6H0_MOUSE,Mus musculus (Mouse),"Repeat {ECO:0000256|ARBA:ARBA00022737}, Proteomics identification {ECO:0000213|EPD:A2A6H0,, ECO:0000213|MaxQB:A2A6H0, ECO:0000213|PeptideAtlas:A2A6H0}, Reference proteome {ECO:0000313|Proteomes:UP000000589}",,,,,,,,,,
14,A2A6Q3,A2A6Q3_MOUSE,Mus musculus (Mouse),"Proteomics identification {ECO:0000213|MaxQB:A2A6Q3,, ECO:0000213|PeptideAtlas:A2A6Q3}, Reference proteome {ECO:0000313|Proteomes:UP000000589}",,,,,,,,,,
15,A2A7H4,A2A7H4_MOUSE,Mus musculus (Mouse),"ECO:0000213|PeptideAtlas:A2A7H4}, Proteomics identification {ECO:0000213|MaxQB:A2A7H4,, Reference proteome {ECO:0000313|Proteomes:UP000000589}",,,,,,,,,,
16,A2A815,A2A815_MOUSE,Mus musculus (Mouse),"Autophagy {ECO:0000256|ARBA:ARBA00023006}, Oxidation {ECO:0000256|ARBA:ARBA00023097}, Reference proteome {ECO:0000313|Proteomes:UP000000589}, Chaperone {ECO:0000256|ARBA:ARBA00023186}, Hydrolase {ECO:0000256|ARBA:ARBA00022670}, Proteomics identification {ECO:0000213|EPD:A2A815,, Fertilization {ECO:0000256|ARBA:ARBA00023279}, Protease {ECO:0000256|ARBA:ARBA00022670}, Stress response {ECO:0000256|ARBA:ARBA00023016}, ECO:0000213|MaxQB:A2A815, ECO:0000213|PeptideAtlas:A2A815}","plasma membrane IEA, membrane raft IEA","GO:0045121, GO:0005886",,,"autophagy IEA, single fertilization IEA","GO:0007338, GO:0006914",Maillard deglycase {ECO:0000256|ARBA:ARBA00013976},"GO:0008152, GO:0022414, GO:0009987",,GO:0098857
17,A2A839,A2A839_MOUSE,Mus musculus (Mouse),"Cell division {ECO:0000256|ARBA:ARBA00022776}, Transport {ECO:0000256|ARBA:ARBA00022448}, Phosphoprotein {ECO:0000256|ARBA:ARBA00022553}, Calmodulin-binding {ECO:0000256|ARBA:ARBA00022860}, Reference proteome {ECO:0000313|Proteomes:UP000000589}, ECO:0000213|MaxQB:A2A839, ECO:0000213|PeptideAtlas:A2A839}, Mitosis {ECO:0000256|ARBA:ARBA00022776}, Proteomics identification {ECO:0000213|EPD:A2A839,, Coiled coil {ECO:0000256|SAM:Coils}, Cell cycle {ECO:0000256|ARBA:ARBA00022776}","nucleus IEA, cell cortex IEA, cytoskeleton IEA","GO:0005938, GO:0005634, GO:0005856","actin binding IEA, calmodulin binding IEA, structural molecule activity IEA","GO:0005198, GO:0005516, GO:0003779","cell cycle IEA, cell division IEA, cortical actin cytoskeleton organization IEA","GO:0007049, GO:0051301, GO:0030866",Band 4.1 {ECO:0000256|ARBA:ARBA00015603},GO:0009987,GO:0005488,"GO:0005737, GO:0043229, GO:0043228, GO:0043227"
18,A2A845,A2A845_MOUSE,Mus musculus (Mouse),"Proteomics identification {ECO:0000213|EPD:A2A845,, Reference proteome {ECO:0000313|Proteomes:UP000000589}, ECO:0000213|MaxQB:A2A845, ECO:0000213|PeptideAtlas:A2A845}",,,,,oxidation-reduction process IEA,GO:0055114,,,,
19,A2A8K5,A2A8K5_MOUSE,Mus musculus (Mouse),"G-protein coupled receptor {ECO:0000256|ARBA:ARBA00023040}, Membrane {ECO:0000256|ARBA:ARBA00022989, ECO:0000256|SAM:Phobius}, Transducer {ECO:0000256|ARBA:ARBA00023040}, Receptor {ECO:0000256|ARBA:ARBA00023040}, Reference proteome {ECO:0000313|Proteomes:UP000000589}, ECO:0000256|SAM:Phobius}, Transmembrane helix {ECO:0000256|ARBA:ARBA00022989,, Transmembrane {ECO:0000256|ARBA:ARBA00022989, ECO:0000256|SAM:Phobius}",integral component of membrane IEA,GO:0016021,G protein-coupled receptor activity IEA,GO:0004930,,,,,GO:0060089,
20,A2A9X5,A2A9X5_MOUSE,Mus musculus (Mouse),"Reference proteome {ECO:0000313|Proteomes:UP000000589}, ECO:0000213|MaxQB:A2A9X5, ECO:0000213|PeptideAtlas:A2A9X5}, Proteomics identification {ECO:0000213|EPD:A2A9X5,",,,5'-nucleotidase activity IEA,GO:0008253,deoxyribonucleotide catabolic process IEA,GO:0009264,,"GO:0008152, GO:0009987",GO:0003824,
21,A2AAA9,FT,Mus musculus (Mouse),"ECO:0000213|PeptideAtlas:A2AAA9}, Disulfide bond {ECO:0000256|ARBA:ARBA00023157, ECO:0000256|PROSITE-, ProRule:PRU00479}, Reference proteome {ECO:0000313|Proteomes:UP000000589}, Transmembrane {ECO:0000256|ARBA:ARBA00022989},  Endocytosis {ECO:0000256|ARBA:ARBA00022583}, Proteomics identification {ECO:0000213|MaxQB:A2AAA9,, Membrane {ECO:0000256|ARBA:ARBA00022989},  Receptor {ECO:0000256|ARBA:ARBA00023170}, Signal {ECO:0000256|SAM:SignalP}, Lectin {ECO:0000256|ARBA:ARBA00022734}, Transmembrane helix {ECO:0000256|ARBA:ARBA00022989}",integral component of membrane IEA,GO:0016021,carbohydrate binding IEA,GO:0030246,endocytosis IEA,GO:0006897,,"GO:0051179, GO:0009987",GO:0005488,
22,A2AC05,A2AC05_MOUSE,Mus musculus (Mouse),"Reference proteome {ECO:0000313|Proteomes:UP000000589}, ECO:0000213|MaxQB:A2AC05, ECO:0000213|PeptideAtlas:A2AC05}, Proteomics identification {ECO:0000213|EPD:A2AC05,",,,,,,,,,,
23,A2AC13,A2AC13_MOUSE,Mus musculus (Mouse),"Proteomics identification {ECO:0000213|MaxQB:A2AC13}, Reference proteome {ECO:0000313|Proteomes:UP000000589}",,,"GTPase activity IEA, GTP binding IEA","GO:0003924, GO:0005525",small GTPase mediated signal transduction IEA,GO:0007264,,"GO:0065007, GO:0009987","GO:0005488, GO:0003824",
24,A2AC24,A2AC24_MOUSE,Mus musculus (Mouse),"Reference proteome {ECO:0000313|Proteomes:UP000000589}, ECO:0000213|MaxQB:A2AC24, ECO:0000213|PeptideAtlas:A2AC24}, Proteomics identification {ECO:0000213|EPD:A2AC24,",,,,,,,,,,
25,A2ACC7,A2ACC7_MOUSE,Mus musculus (Mouse),"Reference proteome {ECO:0000313|Proteomes:UP000000589}, GTPase activation {ECO:0000256|PROSITE-ProRule:PRU00165}, ECO:0000213|MaxQB:A2ACC7, ECO:0000213|PeptideAtlas:A2ACC7}, Proteomics identification {ECO:0000213|EPD:A2ACC7,",,,GTPase activator activity IEA,GO:0005096,regulation of small GTPase mediated signal transduction IEA,GO:0051056,,GO:0065007,GO:0098772,
26,A2AE89,A2AE89_MOUSE,Mus musculus (Mouse),"ECO:0000213|MaxQB:A2AE89, ECO:0000213|PeptideAtlas:A2AE89}, Reference proteome {ECO:0000313|Proteomes:UP000000589}, Transferase {ECO:0000256|ARBA:ARBA00022679}, Proteomics identification {ECO:0000213|EPD:A2AE89,",,,glutathione transferase activity IEA,GO:0004364,,,Glutathione transferase {ECO:0000256|ARBA:ARBA00012452},,GO:0003824,
27,A2AEX7,A2AEX7_MOUSE,Mus musculus (Mouse),"ProRule:PRU00125}, Zinc {ECO:0000256|ARBA:ARBA00023038, ECO:0000256|PROSITE-ProRule:PRU00125}, ECO:0000213|PeptideAtlas:A2AEX7}, Reference proteome {ECO:0000313|Proteomes:UP000000589}, LIM domain {ECO:0000256|ARBA:ARBA00023038, ECO:0000256|PROSITE-, Metal-binding {ECO:0000256|ARBA:ARBA00023038, ECO:0000256|PROSITE-, Proteomics identification {ECO:0000213|MaxQB:A2AEX7,",,,metal ion binding IEA,GO:0046872,muscle organ development IEA,GO:0007517,,GO:0032502,GO:0005488,
28,A2AFG7,A2AFG7_MOUSE,Mus musculus (Mouse),"Membrane {ECO:0000256|ARBA:ARBA00022989, ECO:0000256|SAM:Phobius}, ECO:0000213|MaxQB:A2AFG7, ECO:0000213|PeptideAtlas:A2AFG7}, Immunoglobulin domain {ECO:0000256|ARBA:ARBA00023319}, Proteomics identification {ECO:0000213|EPD:A2AFG7,, Reference proteome {ECO:0000313|Proteomes:UP000000589}, Repeat {ECO:0000256|ARBA:ARBA00022737}, ECO:0000256|SAM:Phobius}, Transmembrane helix {ECO:0000256|ARBA:ARBA00022989,, Transmembrane {ECO:0000256|ARBA:ARBA00022989, ECO:0000256|SAM:Phobius},  Signal {ECO:0000256|SAM:SignalP}",integral component of membrane IEA,GO:0016021,,,,,,,,
29,A2AFP1,A2AFP1_MOUSE,Mus musculus (Mouse),"Reference proteome {ECO:0000313|Proteomes:UP000000589}, Transport {ECO:0000256|ARBA:ARBA00022892}, Proteomics identification {ECO:0000213|MaxQB:A2AFP1}, ER-Golgi transport {ECO:0000256|ARBA:ARBA00022892}",perinuclear region of cytoplasm IEA,GO:0048471,,,endoplasmic reticulum to Golgi vesicle-mediated transport IEA,GO:0006888,,"GO:0051179, GO:0009987",,
30,A2AG48,A2AG48_MOUSE,Mus musculus (Mouse),"ECO:0000213|MaxQB:A2AG48, ECO:0000213|PeptideAtlas:A2AG48}, Reference proteome {ECO:0000313|Proteomes:UP000000589}, Proteomics identification {ECO:0000213|EPD:A2AG48,","nucleolus ISO, cytosol ISO, nucleoplasm ISO","GO:0005654, GO:0005829, GO:0005730",,,"renal sodium ion absorption ISO, female pregnancy ISO","GO:0070294, GO:0007565",,"GO:0032501, GO:0051179, GO:0022414, GO:0051704",,"GO:0043228, GO:0043229"
31,A2AGI3,A2AGI3_MOUSE,Mus musculus (Mouse),"ECO:0000213|PeptideAtlas:A2AGI3}, Cell membrane {ECO:0000256|ARBA:ARBA00022475}, Reference proteome {ECO:0000313|Proteomes:UP000000589}, Membrane {ECO:0000256|ARBA:ARBA00022475, ECO:0000256|ARBA:ARBA00022989,, Cell adhesion {ECO:0000256|ARBA:ARBA00022889}, Synapse {ECO:0000256|ARBA:ARBA00023018}, ECO:0000256|SAM:Phobius}, Transmembrane {ECO:0000256|ARBA:ARBA00022989, ECO:0000256|SAM:Phobius}, Cell junction {ECO:0000256|ARBA:ARBA00023018}, Transmembrane helix {ECO:0000256|ARBA:ARBA00022989,, Proteomics identification {ECO:0000213|MaxQB:A2AGI3,","integral component of plasma membrane IEA, synapse IEA","GO:0045202, GO:0005887",neurexin family protein binding IEA,GO:0042043,"synapse organization IEA, modulation of chemical synaptic transmission IEA, cell adhesion IEA","GO:0007155, GO:0050804, GO:0050808",,"GO:0065007, GO:0009987, GO:0022610",GO:0005488,"GO:0016021, GO:0030054, GO:0031226"
32,A2AGL3,RYR3_MOUSE,Mus musculus (Mouse)," Membrane,  Transmembrane,  Receptor,  Calcium, Calmodulin-binding,  Endoplasmic reticulum, Reference proteome,  Calcium channel, Ligand-gated ion channel,  Ion channel, Transmembrane helix,  Ion transport,  Transport, Alternative splicing,  Calcium transport,  Sarcoplasmic reticulum,  Repeat,  Microsome","sarcoplasmic reticulum membrane IDA, endoplasmic reticulum ISO, perinuclear region of cytoplasm ISO, integral component of membrane ISS, calcium channel complex IBA, Z disc IBA, sarcolemma IBA, smooth endoplasmic reticulum IBA, junctional membrane complex IDA, plasma membrane IBA, cytoplasmic vesicle membrane IBA","GO:0005783, GO:0042383, GO:0005886, GO:0048471, GO:0005790, GO:0030659, GO:0030018, GO:0034704, GO:0033017, GO:0030314, GO:0016021","calcium-release channel activity ISO, calcium ion binding IBA, calmodulin binding IEA, ryanodine-sensitive calcium-release channel activity ISS, calcium-induced calcium release activity ISO","GO:0005516, GO:0015278, GO:0048763, GO:0005509, GO:0005219","negative regulation of cytosolic calcium ion concentration ISO, protein homotetramerization ISS, cellular response to calcium ion ISS, release of sequestered calcium ion into cytosol IBA, calcium ion transport ISO, cellular calcium ion homeostasis IMP, calcium ion transmembrane transport ISS, cellular response to caffeine ISS, striated muscle contraction IMP, cellular response to ATP ISS, cellular response to magnesium ion ISS","GO:0071277, GO:0071286, GO:0006816, GO:0070588, GO:0006874, GO:0006941, GO:0051481, GO:0071318, GO:0051289, GO:0051209, GO:0071313",Ryanodine receptor 3,"GO:0050896, GO:0032501, GO:0051179, GO:0065007, GO:0009987","GO:0005488, GO:0005215","GO:0043229, GO:0005886, GO:0043227, GO:0031090, GO:1990351, GO:0098796"
33,A2AGN7,A2AGN7_MOUSE,Mus musculus (Mouse),"ATP-binding {ECO:0000256|RuleBase:RU003651}, ECO:0000213|MaxQB:A2AGN7, ECO:0000213|PeptideAtlas:A2AGN7}, Reference proteome {ECO:0000313|Proteomes:UP000000589}, Nucleus {ECO:0000256|ARBA:ARBA00023242}, Nucleotide-binding {ECO:0000256|RuleBase:RU003651}, Proteomics identification {ECO:0000213|EPD:A2AGN7,, Proteasome {ECO:0000256|ARBA:ARBA00022942}","cytoplasm IEA, proteasome complex IEA, nucleus IEA","GO:0005737, GO:0005634, GO:0000502","ATPase activity IEA, ATP binding IEA","GO:0005524, GO:0016887",protein catabolic process IEA,GO:0030163,,GO:0008152,"GO:0005488, GO:0003824","GO:0043229, GO:0140535, GO:1902494, GO:0043227"
34,A2AGR1,A2AGR1_MOUSE,Mus musculus (Mouse),"Apoptosis {ECO:0000256|ARBA:ARBA00022703}, Guanine-nucleotide releasing factor {ECO:0000256|ARBA:ARBA00022658}, Reference proteome {ECO:0000313|Proteomes:UP000000589}, Cytoplasm {ECO:0000256|ARBA:ARBA00022490}, ECO:0000213|MaxQB:A2AGR1, ECO:0000213|PeptideAtlas:A2AGR1}, Proteomics identification {ECO:0000213|EPD:A2AGR1,","membrane IEA, cytoplasm IEA","GO:0005737, GO:0016020",guanyl-nucleotide exchange factor activity IEA,GO:0005085,apoptotic process IEA,GO:0006915,MAP kinase-activating death domain protein {ECO:0000256|ARBA:ARBA00017868},GO:0009987,GO:0098772,
35,A2AIJ1,A2AIJ1_MOUSE,Mus musculus (Mouse),"Membrane {ECO:0000256|RuleBase:RU361218}, Reference proteome {ECO:0000313|Proteomes:UP000000589}, Transmembrane helix {ECO:0000256|RuleBase:RU361218}, ECO:0000213|MaxQB:A2AIJ1, ECO:0000213|PeptideAtlas:A2AIJ1}, Proteomics identification {ECO:0000213|EPD:A2AIJ1,, Transmembrane {ECO:0000256|RuleBase:RU361218}",integral component of membrane IEA,GO:0016021,,,,,Tetraspanin {ECO:0000256|RuleBase:RU361218},,,
36,A2AIV3,A2AIV3_MOUSE,Mus musculus (Mouse),"Proteomics identification {ECO:0000213|EPD:A2AIV3,, ECO:0000213|MaxQB:A2AIV3, ECO:0000213|PeptideAtlas:A2AIV3}, Reference proteome {ECO:0000313|Proteomes:UP000000589}",,,GTPase regulator activity IEA,GO:0030695,,,,,GO:0098772,
37,A2AKB4,FRPD1_MOUSE,Mus musculus (Mouse)," Membrane,  Reference proteome, Cell membrane,  Cytoplasm","protein-containing complex ISO, cytoskeleton IEA, cytosol IEA, plasma membrane ISO, cell cortex IEA","GO:0005938, GO:0032991, GO:0005856, GO:0005829, GO:0005886",,,"regulation of G protein-coupled receptor signaling pathway ISO, signal transduction IEA, establishment of protein localization to membrane ISO","GO:0090150, GO:0007165, GO:0008277",FERM and PDZ domain-containing protein 1,"GO:0051179, GO:0065007, GO:0009987",,"GO:0005737, GO:0043229, GO:0043228"
38,A2AKD7,A2AKD7_MOUSE,Mus musculus (Mouse),"Cytoskeleton {ECO:0000256|ARBA:ARBA00023212}, Membrane {ECO:0000256|ARBA:ARBA00023136}, ECO:0000213|PeptideAtlas:A2AKD7}, Reference proteome {ECO:0000313|Proteomes:UP000000589}, Proteomics identification {ECO:0000213|MaxQB:A2AKD7,, Cytoplasm {ECO:0000256|ARBA:ARBA00023212}","protein-containing complex IEA, neuromuscular junction IEA, sarcolemma IEA, cytoskeleton IEA","GO:0031594, GO:0042383, GO:0032991, GO:0005856","nitric-oxide synthase binding IEA, structural molecule activity IEA, ATPase binding IEA, PDZ domain binding IEA, ion channel binding IEA, sodium channel regulator activity IEA","GO:0005198, GO:0050998, GO:0044325, GO:0051117, GO:0030165, GO:0017080","regulation of ventricular cardiac muscle cell membrane repolarization IEA, negative regulation of peptidyl-cysteine S-nitrosylation IEA, ventricular cardiac muscle cell action potential IEA, regulation of sodium ion transmembrane transport IEA, regulation of heart rate IEA","GO:0002027, GO:0086005, GO:1902083, GO:0060307, GO:1902305",,GO:0065007,"GO:0005488, GO:0098772","GO:0043228, GO:0030054, GO:0043229, GO:0005886"
39,A2AKH7,A2AKH7_MOUSE,Mus musculus (Mouse),"Leucine-rich repeat {ECO:0000256|ARBA:ARBA00022614}, Reference proteome {ECO:0000313|Proteomes:UP000000589}, Repeat {ECO:0000256|ARBA:ARBA00022737}, ECO:0000213|MaxQB:A2AKH7, ECO:0000213|PeptideAtlas:A2AKH7}, Proteomics identification {ECO:0000213|EPD:A2AKH7,",,,,,,,,,,
40,A2AL71,A2AL71_MOUSE,Mus musculus (Mouse),"Proteomics identification {ECO:0000213|EPD:A2AL71,, Phosphoprotein {ECO:0000256|ARBA:ARBA00022553}, Transmembrane {ECO:0000256|ARBA:ARBA00022989}, Reference proteome {ECO:0000313|Proteomes:UP000000589}, ECO:0000213|MaxQB:A2AL71, ECO:0000213|PeptideAtlas:A2AL71}, Disulfide bond {ECO:0000256|ARBA:ARBA00023157}, Glycoprotein {ECO:0000256|ARBA:ARBA00023180}, Signal {ECO:0000256|SAM:SignalP}, Membrane {ECO:0000256|ARBA:ARBA00022989}, Transmembrane helix {ECO:0000256|ARBA:ARBA00022989}",integral component of membrane IEA,GO:0016021,peptide-aspartate beta-dioxygenase activity IEA,GO:0004597,peptidyl-aspartic acid hydroxylation IEA,GO:0042264,,"GO:0008152, GO:0009987",GO:0003824,
41,A2ALS7,A2ALS7_MOUSE,Mus musculus (Mouse),"Reference proteome {ECO:0000313|Proteomes:UP000000589}, GTPase activation {ECO:0000256|PROSITE-ProRule:PRU00165}, ECO:0000213|PeptideAtlas:A2ALS7}, Proteomics identification {ECO:0000213|MaxQB:A2ALS7,",,,GTPase activator activity IEA,GO:0005096,regulation of small GTPase mediated signal transduction IEA,GO:0051056,,GO:0065007,GO:0098772,
42,A2ALT5,A2ALT5_MOUSE,Mus musculus (Mouse),"Reference proteome {ECO:0000313|Proteomes:UP000000589}, ECO:0000213|MaxQB:A2ALT5, ECO:0000213|PeptideAtlas:A2ALT5}, Proteomics identification {ECO:0000213|EPD:A2ALT5,",,,,,,,,,,
43,A2ALV7,A2ALV7_MOUSE,Mus musculus (Mouse),"Reference proteome {ECO:0000313|Proteomes:UP000000589}, Cytoplasm {ECO:0000256|ARBA:ARBA00022490}, Repeat {ECO:0000256|ARBA:ARBA00022737}, Proteomics identification {ECO:0000213|EPD:A2ALV7,, ECO:0000213|MaxQB:A2ALV7, ECO:0000213|PeptideAtlas:A2ALV7}",cytoplasm IEA,GO:0005737,molecular adaptor activity IEA,GO:0060090,proteasome assembly IEA,GO:0043248,,GO:0009987,,
