Uniprot Entry,Accession Name,Name,Organism,GO Cellular Components,GO ID CC,GO Molecular Function,GO ID MF,GO Biological Process,GO ID BP,Keywords
Q78ZR5_MOUSE,HOP_RAT,Homeodomain-only protein,Rattus norvegicus (Rat),nucleus ISO,GO:0005634,DNA binding IEA,GO:0003677,"lung alveolus development ISO, regulation of heart contraction ISO, negative regulation of cell differentiation ISO, chaperone-mediated protein complex assembly ISO, positive regulation of skeletal muscle tissue regeneration ISO, regulation of protein binding ISO, trophectodermal cell differentiation ISO, histone deacetylation ISO, heart development ISO, negative regulation of transcription by RNA polymerase II ISO, positive regulation of striated muscle cell differentiation ISO, regulation of transcription by RNA polymerase II IBA","GO:0051155, GO:0048286, GO:0007507, GO:0043393, GO:0016575, GO:0051131, GO:0043415, GO:0006357, GO:0000122, GO:0008016, GO:0045596, GO:0001829"," Nucleus,  Transcription regulation,  Homeobox, Transcription,  Reference proteome, Developmental protein,  Repressor"
P52757_MOUSE,CHIO_HUMAN,Beta-chimaerin,Homo sapiens (Human),"synapse IDA, cytosol TAS, membrane IEA","GO:0016020, GO:0045202, GO:0005829","metal ion binding IEA, GTPase activator activity IDA","GO:0005096, GO:0046872","intracellular signal transduction IEA, regulation of GTPase activity IBA, regulation of small GTPase mediated signal transduction TAS","GO:0043087, GO:0035556, GO:0051056"," Polymorphism,  Alternative splicing,  SH2 domain, Metal-binding,  Reference proteome,  Membrane,  Zinc, Zinc-finger, 3D-structure,  GTPase activation"
P18653_MOUSE,KS6A1_MOUSE,Ribosomal protein S6 kinase alpha-1,Mus musculus (Mouse),"spindle IDA, cytosol ISO, cytoplasm ISO, nucleus ISO, nucleoplasm ISO","GO:0005737, GO:0005634, GO:0005819, GO:0005654, GO:0005829","cysteine-type endopeptidase inhibitor activity involved in apoptotic process ISO, ATP binding IEA, ribosomal protein S6 kinase activity IBA, magnesium ion binding IEA, transcription factor binding IPI, protein serine/threonine kinase activity ISS, protein serine/threonine/tyrosine kinase activity ISO, kinase activity IDA","GO:0000287, GO:0016301, GO:0008134, GO:0004674, GO:0004712, GO:0005524, GO:0004711, GO:0043027","hepatocyte proliferation IDA, positive regulation of transcription, DNA-templated ISO, negative regulation of apoptotic process ISS, positive regulation of hepatic stellate cell activation ISS, negative regulation of cysteine-type endopeptidase activity involved in apoptotic process ISO, positive regulation of transcription by RNA polymerase II ISO, protein phosphorylation ISO, intracellular signal transduction IEA","GO:0043066, GO:0072574, GO:0006468, GO:0045944, GO:0045893, GO:0043154, GO:2000491, GO:0035556"," Nucleotide-binding,  Kinase,  Nucleus, ATP-binding,  Reference proteome,  Transferase,  Repeat, Phosphoprotein,  Cytoplasm, Serine/threonine-protein kinase"
Q9H3Q1_MOUSE,BORG4_HUMAN,Cdc42 effector protein 4,Homo sapiens (Human),"cytoplasm IBA, cytoskeleton IBA, microtubule cytoskeleton IDA, actin cytoskeleton IDA, endomembrane system IEA, phagocytic vesicle IEA, plasma membrane IDA, adherens junction IDA","GO:0005912, GO:0005737, GO:0015630, GO:0005856, GO:0045335, GO:0012505, GO:0005886, GO:0015629","RNA binding HDA, GTP-Rho binding IBA","GO:0017049, GO:0003723","cellular response to interferon-gamma IEA, regulation of cell shape IDA, positive regulation of actin filament polymerization IBA, Rho protein signal transduction IBA, positive regulation of pseudopodium assembly IDA","GO:0008360, GO:0071346, GO:0030838, GO:0007266, GO:0031274"," Phosphoprotein,  Reference proteome, Alternative splicing,  Membrane,  Cell shape,  Cytoskeleton,  Cytoplasm, Methylation"
Q17QF9_MOUSE,FT,Cerebellin-3,Bos taurus (Bovine),"Golgi apparatus IEA, endoplasmic reticulum IEA, extracellular region IEA, synapse IEA","GO:0005783, GO:0005576, GO:0005794, GO:0045202",,,,,"Golgi apparatus,  Reference proteome,  Glycoprotein,  Signal,  Secreted, Cell junction,  Synapse,  Endoplasmic reticulum,  Disulfide bond"
Q3U7R1_MOUSE,ESYT1_MOUSE,Extended synaptotagmin-1,Mus musculus (Mouse),"extrinsic component of cytoplasmic side of plasma membrane IBA, intrinsic component of endoplasmic reticulum membrane IBA, endoplasmic reticulum ISO, integral component of endoplasmic reticulum membrane ISS","GO:0005783, GO:0031234, GO:0030176, GO:0031227","calcium ion binding IBA, phosphatidylcholine binding IBA, identical protein binding ISO, calcium-dependent phospholipid binding IBA, phosphatidylethanolamine binding IBA, phosphatidylinositol binding IBA","GO:0042802, GO:0005509, GO:0008429, GO:0005544, GO:0035091, GO:0031210","lipid transport IEA, endoplasmic reticulum-plasma membrane tethering IEA","GO:0061817, GO:0006869"," Alternative splicing, Endoplasmic reticulum, Metal-binding,  Phosphoprotein,  Transmembrane, Acetylation,  Cell membrane,  Lipid transport,  Lipid-binding,  Reference proteome,  Membrane,  Repeat,  Transport,  Calcium, Transmembrane helix"
P33146_MOUSE,CAD15_MOUSE,Cadherin-15,Mus musculus (Mouse),"Golgi apparatus ISO, catenin complex IBA, neuromuscular junction IDA, integral component of membrane IEA, plasma membrane ISO, caveola IDA","GO:0016342, GO:0016021, GO:0031594, GO:0005794, GO:0005886, GO:0005901","calcium ion binding IBA, cadherin binding IBA","GO:0005509, GO:0045296","cell-cell adhesion via plasma-membrane adhesion molecules IBA, homophilic cell adhesion via plasma membrane adhesion molecules IEA","GO:0007156, GO:0098742","Transmembrane, Calcium,  Cell membrane,  Cleavage on pair of basic residues,  Reference proteome,  Signal,  Membrane,  Repeat,  Metal-binding, Glycoprotein,  Transmembrane helix,  Cell adhesion"
O76070_MOUSE,SYUG_HUMAN,Gamma-synuclein,Homo sapiens (Human),"cytoplasm IDA, extracellular exosome HDA, axon terminus IBA, nuclear body IDA, neuronal cell body IBA, perinuclear region of cytoplasm IEA, spindle IEA, centrosome IDA","GO:0043025, GO:0048471, GO:0043679, GO:0005737, GO:0005819, GO:0070062, GO:0016604, GO:0005813",cuprous ion binding IBA,GO:1903136,"adult locomotory behavior IEA, regulation of dopamine secretion IEA, chemical synaptic transmission IBA, regulation of neurotransmitter secretion IEA, synaptic vesicle endocytosis IBA, synapse organization IBA, protein secretion IEA, regulation of neuron death IBA","GO:0046928, GO:0014059, GO:1901214, GO:0050808, GO:0009306, GO:0007268, GO:0008344, GO:0048488"," Polymorphism,  Phosphoprotein,  Reference proteome, Repeat,  Cytoskeleton, Cytoplasm"
P48454_MOUSE,PP2BC_HUMAN,Serine/threonine-protein phosphatase 2B catalytic subunit gamma isoform,Homo sapiens (Human),"cytoplasm IDA, cytosol TAS, presynaptic cytosol IEA, glutamatergic synapse IEA, mitochondrion IEA, calcineurin complex IBA","GO:0005739, GO:0005737, GO:0099523, GO:0098978, GO:0005955, GO:0005829","metal ion binding IEA, calmodulin-dependent protein phosphatase activity IDA, calmodulin binding IBA","GO:0005516, GO:0046872, GO:0033192","brain development IEA, calcineurin-mediated signaling IBA, positive regulation of synaptic vesicle endocytosis IEA, calcineurin-NFAT signaling cascade IDA, positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway TAS, protein dephosphorylation IDA","GO:0006470, GO:0033173, GO:1900244, GO:0007420, GO:1900740, GO:0097720"," Hydrolase,  Polymorphism,  Calmodulin-binding,  Reference proteome, Alternative splicing, Zinc,  Metal-binding, Phosphoprotein,  Iron,  Protein phosphatase"
Q12797_MOUSE,FT,Aspartyl/asparaginyl beta-hydroxylase,Homo sapiens (Human),"integral component of membrane IEA, sarcoplasmic reticulum membrane TAS, calcium channel complex TAS, endoplasmic reticulum IDA, cortical endoplasmic reticulum IDA, junctional sarcoplasmic reticulum membrane TAS, sarcoplasmic reticulum lumen TAS, integral component of endoplasmic reticulum membrane IDA, plasma membrane IDA, endoplasmic reticulum membrane TAS","GO:0014701, GO:0016021, GO:0005789, GO:0033018, GO:0005886, GO:0030176, GO:0005783, GO:0032541, GO:0033017, GO:0034704","electron transfer activity TAS, structural molecule activity TAS, peptide-aspartate beta-dioxygenase activity IBA, peptidyl-aspartic acid 3-dioxygenase activity IEA, calcium ion binding IDA, ion channel binding TAS, structural constituent of muscle TAS","GO:0005509, GO:0009055, GO:0005198, GO:0062101, GO:0044325, GO:0004597, GO:0008307","peptidyl-aspartic acid hydroxylation IBA, regulation of protein depolymerization IEA, regulation of ryanodine-sensitive calcium-release channel activity TAS, regulation of protein stability IEA, positive regulation of ryanodine-sensitive calcium-release channel activity TAS, regulation of inositol 1,4,5-trisphosphate-sensitive calcium-release channel activity IDA, detection of calcium ion TAS, regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion ISS, calcium ion transmembrane transport IDA, roof of mouth development IEA, activation of cysteine-type endopeptidase activity IDA, response to ATP IDA, calcium ion homeostasis IDA, face morphogenesis IEA, ion transmembrane transport TAS, positive regulation of calcium ion transport into cytosol IDA, cellular response to calcium ion IDA, positive regulation of proteolysis IDA, activation of store-operated calcium channel activity IDA, regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum TAS, positive regulation of intracellular protein transport IDA, positive regulation of transcription, DNA-templated IMP, pattern specification process IEA, regulation of cardiac conduction TAS, limb morphogenesis IEA, negative regulation of cell population proliferation IEA, muscle contraction TAS, regulation of cell communication by electrical coupling TAS","GO:0010881, GO:0070588, GO:0090316, GO:0060316, GO:0008285, GO:0060325, GO:0007389, GO:0045862, GO:0031585, GO:0097202, GO:0060021, GO:0035108, GO:0033198, GO:0034220, GO:0032237, GO:1901879, GO:0031647, GO:0010524, GO:0045893, GO:1903779, GO:0010880, GO:0055074, GO:0006936, GO:0010649, GO:0042264, GO:0005513, GO:0060314, GO:0071277","Metal-binding,  Oxidoreductase,  Membrane,  Sarcoplasmic reticulum,  Transmembrane,  Glycoprotein,  Dioxygenase, TPR repeat,  Disease mutation,  Transmembrane helix,  Alternative splicing, Disulfide bond, Reference proteome,  Iron,  Endoplasmic reticulum,  Polymorphism,  Phosphoprotein,  Signal-anchor,  Repeat, 3D-structure,  Calcium"
B6ETT4_MOUSE,SYT2_ARATH,Synaptotagmin-2,Arabidopsis thaliana (Mouse-ear cress),"Golgi apparatus IDA, integral component of membrane IEA, Golgi membrane IEA, endoplasmic reticulum IBA","GO:0005783, GO:0000139, GO:0016021, GO:0005794","lipid binding IEA, metal ion binding IEA","GO:0008289, GO:0046872","lipid transport IEA, protein secretion IMP","GO:0009306, GO:0006869"," Golgi apparatus, Metal-binding,  Transmembrane, Calcium,  Lipid transport,  Lipid-binding,  Reference proteome,  Membrane,  Repeat,  Transport, Transmembrane helix"
P50150_MOUSE,FT,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-4,Homo sapiens (Human),"heterotrimeric G-protein complex IBA, extracellular exosome HDA, G-protein beta/gamma-subunit complex IBA, plasma membrane TAS","GO:0070062, GO:0031680, GO:0005886, GO:0005834",G-protein beta-subunit binding IBA,GO:0031681,"regulation of G protein-coupled receptor signaling pathway TAS, negative regulation of cell growth IMP, G protein-coupled receptor signaling pathway IBA","GO:0030308, GO:0008277, GO:0007186"," Lipoprotein,  Transducer,  Prenylation,  Methylation,  Membrane, Reference proteome, Cell membrane"
P08523_MOUSE,OMP_RAT,Olfactory marker protein,Rattus norvegicus (Rat),"cytoplasm IDA, cytosol ISO, axon ISO, neuronal cell body IDA, nucleus IDA","GO:0043025, GO:0005737, GO:0005634, GO:0030424, GO:0005829",peptide binding IDA,GO:0042277,"signal transduction IEA, neurogenesis ISO, sensory perception of smell ISO","GO:0007608, GO:0022008, GO:0007165"," Sensory transduction,  Olfaction,  Acetylation, 3D-structure,  Cytoplasm, Reference proteome,  Direct protein sequencing"
P07090_MOUSE,CALB2_CHICK,Calretinin,Gallus gallus (Chicken),"dendrite IBA, neuron projection IBA, synapse IBA, nucleus IBA, cytosol IBA, terminal bouton IBA","GO:0005634, GO:0043195, GO:0030425, GO:0043005, GO:0045202, GO:0005829",calcium ion binding IBA,GO:0005509,"regulation of long-term synaptic potentiation IBA, regulation of cytosolic calcium ion concentration IBA, regulation of presynaptic cytosolic calcium ion concentration IBA","GO:1900271, GO:0051480, GO:0099509","Calcium,  Metal-binding,  Reference proteome,  Repeat"
A2XX73_MOUSE,ICMT_ORYSI,Probable protein-S-isoprenylcysteine O-methyltransferase,Oryza sativa subsp indica (Rice),"integral component of membrane IEA, endoplasmic reticulum membrane IEA","GO:0016021, GO:0005789",protein C-terminal S-isoprenylcysteine carboxyl O-methyltransferase activity IEA,GO:0004671,,,"S-adenosyl-L-methionine, Endoplasmic reticulum,  Transmembrane,  Reference proteome,  Membrane,  Transferase,  Methyltransferase,  Transmembrane helix"
Q5T7N3_MOUSE,KANK4_HUMAN,KN motif and ankyrin repeat domain-containing protein 4,Homo sapiens (Human),"cytoskeleton IBA, cytoplasm IDA, cytosol IDA, microtubule cytoskeleton IDA","GO:0015630, GO:0005737, GO:0005829, GO:0005856",,,negative regulation of actin filament polymerization IBA,GO:0030837," Polymorphism,  ANK repeat, Alternative splicing,  Repeat,  Cytoplasm, Reference proteome,  Coiled coil"
Q1RMU2_MOUSE,CYLD_BOVIN,Ubiquitin carboxyl-terminal hydrolase CYLD,Bos taurus (Bovine),"cytosol ISS, centrosome ISS, cytoplasmic microtubule IEA, extrinsic component of cytoplasmic side of plasma membrane IEA, midbody IEA, ciliary basal body ISS, spindle ISS, perinuclear region of cytoplasm IEA, ciliary tip ISS","GO:0048471, GO:0005881, GO:0031234, GO:0030496, GO:0097542, GO:0036064, GO:0005819, GO:0005813, GO:0005829","protein kinase binding IEA, Lys63-specific deubiquitinase activity ISS, cysteine-type peptidase activity IEA, proline-rich region binding IEA, zinc ion binding ISS, Lys48-specific deubiquitinase activity IEA, thiol-dependent ubiquitin-specific protease activity ISS","GO:0008234, GO:1990380, GO:0004843, GO:0008270, GO:0019901, GO:0070064, GO:0061578","negative regulation of NF-kappaB transcription factor activity ISS, positive regulation of extrinsic apoptotic signaling pathway IBA, regulation of inflammatory response ISS, positive regulation of cellular protein localization IEA, Wnt signaling pathway IEA, negative regulation of NIK/NF-kappaB signaling ISS, protein K63-linked deubiquitination ISS, protein linear deubiquitination ISS, positive regulation of T cell receptor signaling pathway IEA, innate immune response ISS, regulation of necroptotic process IEA, negative regulation of p38MAPK cascade ISS, homeostasis of number of cells IEA, ubiquitin-dependent protein catabolic process IEA, regulation of cilium assembly ISS, negative regulation of JNK cascade ISS, CD4-positive or CD8-positive, alpha-beta T cell lineage commitment IEA, regulation of tumor necrosis factor-mediated signaling pathway ISS, regulation of B cell differentiation IEA, negative regulation of canonical Wnt signaling pathway ISS, regulation of microtubule cytoskeleton organization IEA, positive regulation of T cell differentiation IEA, regulation of intrinsic apoptotic signaling pathway IBA, ripoptosome assembly involved in necroptotic process IEA, regulation of mitotic cell cycle IBA, protein deubiquitination ISS, necroptotic process IBA, regulation of protein binding IEA","GO:0045582, GO:2001238, GO:0043369, GO:1990108, GO:1901223, GO:0070507, GO:0070266, GO:1902017, GO:1903829, GO:0007346, GO:0045577, GO:0050727, GO:0060544, GO:2001242, GO:0045087, GO:0070536, GO:0016055, GO:0010803, GO:1903753, GO:1901026, GO:0043393, GO:0048872, GO:0016579, GO:0032088, GO:0050862, GO:0046329, GO:0006511, GO:0090090"," Hydrolase,  Innate immunity,  Thiol protease,  Cell projection,  Ubl conjugation pathway, Ubl conjugation,  Reference proteome,  Membrane, Immunity,  Repeat,  Cytoskeleton,  Metal-binding,  Microtubule, Phosphoprotein,  Cytoplasm,  Protease,  Zinc,  Wnt signaling pathway, Cell membrane"
F1LXF1_MOUSE,BCR_RAT,Breakpoint cluster region protein {ECO:0000305},Rattus norvegicus (Rat),"cytoplasm IDA, cytosol ISO, plasma membrane ISO, glutamatergic synapse ISS, membrane IBA, postsynaptic density ISO, axon IEA, dendritic spine IEA, protein-containing complex ISO, Schaffer collateral - CA1 synapse ISS","GO:0005737, GO:0014069, GO:0016020, GO:0098685, GO:0005886, GO:0098978, GO:0030424, GO:0043197, GO:0032991, GO:0005829","enzyme binding IPI, Rho guanyl-nucleotide exchange factor activity ISO, ATP binding IEA, GTPase activator activity ISO, guanyl-nucleotide exchange factor activity ISO, protein serine/threonine kinase activity IEA","GO:0005089, GO:0019899, GO:0005085, GO:0004674, GO:0005096, GO:0005524","keratinocyte differentiation ISO, actin cytoskeleton organization ISO, negative regulation of cellular extravasation ISO, regulation of vascular permeability ISO, definitive hemopoiesis ISO, regulation of Rho protein signal transduction ISO, positive regulation of phagocytosis ISO, platelet-derived growth factor receptor signaling pathway IDA, intracellular protein transmembrane transport ISO, regulation of nitrogen compound metabolic process ISO, negative regulation of respiratory burst ISO, renal system process ISO, negative regulation of cell migration ISO, protein autophosphorylation IDA, negative regulation of blood vessel remodeling ISO, activation of GTPase activity ISO, negative regulation of reactive oxygen species metabolic process ISO, focal adhesion assembly ISO, homeostasis of number of cells ISO, neuromuscular process controlling balance ISO, inner ear morphogenesis ISO, negative regulation of inflammatory response ISO, response to lipopolysaccharide ISO, modulation of chemical synaptic transmission ISS, cellular response to lipopolysaccharide ISO, regulation of cell cycle ISO, negative regulation of neutrophil degranulation ISO, brain development ISO, small GTPase mediated signal transduction ISO","GO:0048008, GO:0030216, GO:0003014, GO:0043114, GO:0060216, GO:0007264, GO:0060268, GO:0090630, GO:2000378, GO:0007420, GO:0032496, GO:0048041, GO:0050885, GO:0051726, GO:0060313, GO:0051171, GO:0042472, GO:0071222, GO:0050766, GO:0030336, GO:0050804, GO:0048872, GO:0043314, GO:0046777, GO:0065002, GO:0030036, GO:0050728, GO:0035023, GO:0002692"," Nucleotide-binding,  Kinase,  Cell projection,  Phosphoprotein, ATP-binding, GTPase activation,  Cell junction,  Reference proteome, Serine/threonine-protein kinase,  Transferase,  Guanine-nucleotide releasing factor,  Synapse, Methylation,  Coiled coil"
