,Uniprot Entry,Accession Name,Name,Organism,GO Cellular Components,GO ID CC,GO Biological Process,GO ID BP,Keywords,GO Molecular Function,GO ID MF,Biological Process Label,Molecular Function Label,Cellular Component Label
18,B2RXZ1,PNDC1_MOUSE,Poly(A)-specific ribonuclease PNLDC1 {ECO:0000305},Mus musculus (Mouse),"endoplasmic reticulum membrane IEA, cytoplasm IBA, integral component of membrane IEA, endoplasmic reticulum IDA","GO:0005789, GO:0005737, GO:0005783, GO:0016021","blastocyst formation IMP, nuclear-transcribed mRNA poly(A) tail shortening IDA, nuclear-transcribed mRNA catabolic process, nonsense-mediated decay IEA","GO:0000184, GO:0001825, GO:0000289"," Hydrolase,  Reference proteome,  Magnesium,  Exonuclease, Endoplasmic reticulum, Metal-binding, RNA-binding,  Transmembrane,  Membrane,  Transmembrane helix,  Nonsense-mediated mRNA decay,  Nuclease","3'-5'-exoribonuclease activity IBA, metal ion binding IEA, RNA binding IBA, poly(A)-specific ribonuclease activity IDA","GO:0004535, GO:0003723, GO:0000175, GO:0046872","GO:0032502, GO:0065007, GO:0009987, GO:0008152","GO:0005488, GO:0003824","GO:0031224, GO:0043229, GO:0031090, GO:0043227"
19,B5TVM2,FT,Immunoglobulin-like domain-containing receptor 2,Mus musculus (Mouse),"endoplasmic reticulum membrane IEA, integral component of membrane IEA","GO:0005789, GO:0016021","pancreas development IMP, insulin secretion IMP, homeostasis of number of cells within a tissue IMP, cell differentiation IMP, response to glucose IMP","GO:0030073, GO:0048873, GO:0031016, GO:0009749, GO:0030154","Methylation,  Immunoglobulin domain,  Reference proteome,  Transmembrane,  Membrane,  Endoplasmic reticulum, Disulfide bond,  Signal,  Phosphoprotein, Transmembrane helix",,,"GO:0009987, GO:0051179, GO:0032502, GO:0050896, GO:0065007",,"GO:0031090, GO:0031224"
20,C8YR32,LOXH1_MOUSE,Lipoxygenase homology domain-containing protein 1,Mus musculus (Mouse),stereocilium IDA,GO:0032420,sensory perception of sound IMP,GO:0007605," Reference proteome,  Hearing,  Repeat, Cell projection,  Polymorphism","catalase activity IEA, heme binding IEA","GO:0004096, GO:0020037",GO:0032501,"GO:0005488, GO:0003824, GO:0016209",GO:0042995
21,E9PVB3,CC175_MOUSE,Coiled-coil domain-containing protein 175,Mus musculus (Mouse),,,,,"Coiled coil,  Reference proteome",,,,,
22,E9PY46,IF140_MOUSE,Intraflagellar transport protein 140 homolog {ECO:0000305},Mus musculus (Mouse),"intraciliary transport particle A IDA, cilium IDA, axoneme IDA, centriole IDA, non-motile cilium IDA, photoreceptor connecting cilium IDA, centrosome ISO, ciliary basal body IDA, photoreceptor outer segment IDA","GO:0005813, GO:0030991, GO:0005930, GO:0036064, GO:0032391, GO:0001750, GO:0005814, GO:0005929, GO:0097730","neural tube patterning IMP, embryonic brain development IMP, cilium assembly IMP, intraciliary retrograde transport IMP, non-motile cilium assembly IMP, heart development IMP, regulation of smoothened signaling pathway IMP, intraciliary transport IMP, regulation of cilium assembly ISO, limb morphogenesis IMP, embryonic cranial skeleton morphogenesis IMP, photoreceptor cell outer segment organization IMP, protein localization to cilium ISO, embryonic camera-type eye development IMP, embryonic digit morphogenesis IMP, determination of left/right symmetry IMP","GO:0008589, GO:0007368, GO:1905515, GO:0042733, GO:0035845, GO:0048701, GO:0035721, GO:0035108, GO:0060271, GO:0042073, GO:0021532, GO:0031076, GO:0007507, GO:0061512, GO:1902017, GO:1990403"," Reference proteome,  Cytoplasm,  Repeat, Cytoskeleton,  WD repeat,  Cilium biogenesis/degradation,  Cilium,  Disease mutation, TPR repeat,  Phosphoprotein, Cell projection",,,"GO:0009987, GO:0051179, GO:0032502, GO:0032501, GO:0065007",,"GO:0043228, GO:0005929, GO:0042995, GO:0035869, GO:0005815, GO:0043229"
23,E9Q414,FT,Apolipoprotein B-100,Mus musculus (Mouse),"low-density lipoprotein particle ISO, vesicle lumen ISO, endoplasmic reticulum exit site ISO, endoplasmic reticulum IDA, mature chylomicron ISO, vesicle membrane ISO, extracellular region TAS, extracellular space ISO, intracellular membrane-bounded organelle ISO, cytosol ISO, lipid droplet IEA, cytoplasm ISO, very-low-density lipoprotein particle ISO, chylomicron ISO, intermediate-density lipoprotein particle ISO, high-density lipoprotein particle ISO, neuronal cell body ISO","GO:0005615, GO:0043231, GO:0034361, GO:0005576, GO:0034364, GO:0034363, GO:0005829, GO:0005737, GO:0012506, GO:0042627, GO:0005811, GO:0034362, GO:0070971, GO:0031983, GO:0005783, GO:0043025, GO:0034359","triglyceride catabolic process IMP, response to virus IEA, lipoprotein catabolic process IGI, positive regulation of macrophage derived foam cell differentiation ISO, low-density lipoprotein particle remodeling ISO, in utero embryonic development IMP, positive regulation of lipid storage ISO, positive regulation of cholesterol storage ISO, response to selenium ion IEA, triglyceride mobilization IMP, cholesterol homeostasis IMP, lipoprotein transport IMP, artery morphogenesis IGI, cholesterol efflux IGI, cellular response to prostaglandin stimulus IEA, post-embryonic development IMP, lipid metabolic process IDA, lipoprotein metabolic process IMP, fertilization IMP, low-density lipoprotein particle clearance ISO, cholesterol metabolic process ISO, lipoprotein biosynthetic process IGI, flagellated sperm motility IMP, regulation of cholesterol biosynthetic process IMP, nervous system development IMP, lipid catabolic process IMP, response to carbohydrate ISO, response to estradiol IEA, cholesterol transport IMP, spermatogenesis IMP, response to lipopolysaccharide IEA, positive regulation of gene expression IMP, cellular response to tumor necrosis factor IEA","GO:0006642, GO:0034374, GO:0042158, GO:0009743, GO:0019433, GO:0006629, GO:0010886, GO:0071356, GO:0034383, GO:0009791, GO:0071379, GO:0042953, GO:0033344, GO:0042159, GO:0042632, GO:0010884, GO:0032496, GO:0009615, GO:0010269, GO:0008203, GO:0030301, GO:0048844, GO:0045540, GO:0016042, GO:0042157, GO:0010744, GO:0009566, GO:0001701, GO:0030317, GO:0010628, GO:0007283, GO:0007399, GO:0032355"," Coiled coil, Acetylation,  Cholesterol metabolism,  Palmitate, Steroid metabolism,  Repeat,  Secreted,  Chylomicron,  LDL, Reference proteome,  Glycoprotein,  Lipid droplet,  Signal,  RNA editing,  Heparin-binding,  Transport,  Phosphoprotein, Lipid metabolism,  Sterol metabolism,  Cytoplasm,  VLDL,  Lipid transport, Disulfide bond,  Lipoprotein","phospholipid binding ISO, low-density lipoprotein particle receptor binding ISO, heparin binding ISO, lipase binding ISO, cholesterol transfer activity ISO","GO:0005543, GO:0008201, GO:0035473, GO:0050750, GO:0120020","GO:0009987, GO:0008152, GO:0044419, GO:0051179, GO:0032502, GO:0040011, GO:0050896, GO:0032501, GO:0065007, GO:0022414","GO:0005215, GO:0005488","GO:0043228, GO:0044297, GO:0031090, GO:0043227, GO:0032994, GO:0031974, GO:0043229"
24,E9Q555,RN213_MOUSE,E3 ubiquitin-protein ligase RNF213,Mus musculus (Mouse),"cytosol ISO, nucleolus ISO, cytoplasm ISS","GO:0005737, GO:0005730, GO:0005829","angiogenesis IMP, protein ubiquitination ISS, negative regulation of non-canonical Wnt signaling pathway ISS, sprouting angiogenesis ISS, protein homooligomerization ISS, ubiquitin-dependent protein catabolic process ISS, protein autoubiquitination ISS","GO:0016567, GO:0051260, GO:0002040, GO:2000051, GO:0006511, GO:0051865, GO:0001525"," Hydrolase, 3D-structure, Isopeptide bond,  Reference proteome,  Cytoplasm,  Zinc-finger,  Coiled coil,  Angiogenesis,  Zinc,  Metal-binding,  Ubl conjugation, Transferase,  Phosphoprotein,  Ubl conjugation pathway","ATPase activity ISS, metal ion binding IEA, ubiquitin-protein transferase activity ISS","GO:0016887, GO:0004842, GO:0046872","GO:0032502, GO:0065007, GO:0009987, GO:0008152","GO:0005488, GO:0003824","GO:0043228, GO:0043229"
25,G3UZ78,ADGB_MOUSE,Androglobin,Mus musculus (Mouse),,,,," Reference proteome, Alternative splicing,  Coiled coil","calcium-dependent cysteine-type endopeptidase activity IEA, heme binding IEA, oxygen binding IEA","GO:0019825, GO:0004198, GO:0020037",,"GO:0003824, GO:0005488",
26,H3BJG9,FT,Lymphocyte antigen 6L,Mus musculus (Mouse),"anchored component of membrane IEA, plasma membrane IBA","GO:0005886, GO:0031225",,," Reference proteome, Cell membrane,  Disulfide bond,  GPI-anchor, Membrane,  Glycoprotein,  Signal,  Lipoprotein",,,,,GO:0031224
27,J3QMY9,TO6BL_MOUSE,Type 2 DNA topoisomerase 6 subunit B-like {ECO:0000303|PubMed:26917764},Mus musculus (Mouse),chromosome IEA,GO:0005694,"meiotic DNA double-strand break formation IMP, reciprocal meiotic recombination IMP","GO:0042138, GO:0007131"," Reference proteome,  Meiosis, Alternative splicing,  Chromosome","DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity TAS",GO:0003918,"GO:0008152, GO:0009987, GO:0022414",GO:0003824,"GO:0043228, GO:0043229"
28,O08545,FT,Ephrin-A3,Mus musculus (Mouse),"anchored component of membrane IEA, plasma membrane IBA","GO:0005886, GO:0031225","regulation of neuron differentiation ISO, positive regulation of aspartic-type endopeptidase activity involved in amyloid precursor protein catabolic process ISO, ephrin receptor signaling pathway IDA, axon guidance IBA, negative regulation of angiogenesis ISO","GO:0016525, GO:1902961, GO:0045664, GO:0007411, GO:0048013"," Reference proteome, Cell membrane,  Disulfide bond,  GPI-anchor, Membrane,  Glycoprotein,  Signal,  Lipoprotein",ephrin receptor binding IPI,GO:0046875,"GO:0065007, GO:0009987",GO:0005488,GO:0031224
29,O08601,FT,Microsomal triglyceride transfer protein large subunit,Mus musculus (Mouse),"microvillus membrane ISO, vesicle ISO, endoplasmic reticulum IDA, receptor complex ISO, basolateral plasma membrane ISO, brush border membrane ISO, rough endoplasmic reticulum ISO, Golgi apparatus IDA","GO:0016323, GO:0031526, GO:0005794, GO:0031982, GO:0031528, GO:0005791, GO:0005783, GO:0043235","cholesterol homeostasis IMP, lipid transport ISO, protein secretion ISO, cholesterol metabolic process IEA, protein lipidation IDA, triglyceride transport ISS, low-density lipoprotein particle remodeling IDA, response to calcium ion IEA, circadian rhythm IEP, triglyceride metabolic process IDA, plasma lipoprotein particle assembly ISS, phospholipid transport ISS, lipid metabolic process IDA, lipoprotein metabolic process IMP, lipoprotein transport IDA","GO:0034374, GO:0042157, GO:0034377, GO:0006497, GO:0007623, GO:0006629, GO:0042953, GO:0051592, GO:0008203, GO:0015914, GO:0042632, GO:0006869, GO:0009306, GO:0034197, GO:0006641","Lipid-binding,  Reference proteome, Endoplasmic reticulum,  Lipid transport,  Disulfide bond,  Golgi apparatus,  Transport,  Lipid metabolism, Sterol metabolism,  Signal, Alternative promoter usage,  Cholesterol metabolism,  Steroid metabolism","phospholipid transfer activity ISO, lipid transporter activity IDA, lipid binding IEA, protein heterodimerization activity ISS, apolipoprotein binding ISO, protein-containing complex binding ISO, triglyceride transfer activity ISO, phospholipid transporter activity IBA, ceramide 1-phosphate transfer activity ISS","GO:0008289, GO:0044877, GO:0005548, GO:0046982, GO:0140344, GO:0120014, GO:0005319, GO:0034185, GO:1902388","GO:0048511, GO:0009987, GO:0008152, GO:0051179, GO:0050896, GO:0032501, GO:0065007","GO:0005215, GO:0005488","GO:0043229, GO:0098590, GO:0043227"
30,O08644,EPHB6_MOUSE,Ephrin type-B receptor 6,Mus musculus (Mouse),"neuron projection IBA, cell surface IDA, receptor complex IBA, integral component of plasma membrane IBA, extracellular region IEA","GO:0005576, GO:0043005, GO:0005887, GO:0009986, GO:0043235","central nervous system projection neuron axonogenesis IBA, cytokine secretion IMP, positive regulation of T cell costimulation IGI, type IV hypersensitivity IMP, axon guidance IBA, multicellular organism development IBA, positive regulation of kinase activity IBA, T cell mediated immunity IMP, transmembrane receptor protein tyrosine kinase signaling pathway IBA, activated T cell proliferation IMP, positive regulation of protein binding IMP","GO:0007275, GO:0050663, GO:0001806, GO:0007411, GO:0007169, GO:0002456, GO:0033674, GO:0050798, GO:2000525, GO:0021952, GO:0032092"," Reference proteome, Nucleotide-binding,  Repeat,  Secreted,  Transmembrane helix, Alternative splicing,  Membrane,  Receptor, Transmembrane,  Glycoprotein,  Cell membrane,  Signal,  ATP-binding","transmembrane-ephrin receptor activity IBA, transmembrane receptor protein tyrosine kinase activity IBA, ATP binding IEA","GO:0005524, GO:0004714, GO:0005005","GO:0002376, GO:0009987, GO:0008152, GO:0032502, GO:0050896, GO:0032501, GO:0065007","GO:0003824, GO:0005488, GO:0060089","GO:0042995, GO:0031224"
31,O08665,FT,Semaphorin-3A,Mus musculus (Mouse),"extracellular space HDA, extracellular region TAS, dendrite ISO, axon ISO, integral component of plasma membrane IBA","GO:0005576, GO:0005887, GO:0030424, GO:0030425, GO:0005615","regulation of heart rate IMP, axonal fasciculation IMP, basal dendrite arborization IGI, positive regulation of cell migration IBA, regulation of axon extension involved in axon guidance IDA, axon extension involved in axon guidance IMP, ventral trunk neural crest cell migration IMP, positive regulation of male gonad development IMP, apoptotic process ISO, sympathetic neuron projection guidance IMP, semaphorin-plexin signaling pathway IGI, negative regulation of neuron projection development ISO, negative chemotaxis IGI, nerve development IMP, neuron migration IMP, semaphorin-plexin signaling pathway involved in neuron projection guidance IMP, semaphorin-plexin signaling pathway involved in axon guidance IMP, negative regulation of axon extension involved in axon guidance IDA, positive regulation of neuron migration IGI, trigeminal ganglion development IMP, motor neuron axon guidance IMP, negative regulation of axon extension IDA, axonogenesis involved in innervation IMP, axon guidance IDA, gonadotrophin-releasing hormone neuronal migration to the hypothalamus IMP, dendrite morphogenesis IMP, negative regulation of epithelial cell migration IDA, olfactory bulb development ISS, sympathetic neuron projection extension IMP, dichotomous subdivision of terminal units involved in salivary gland branching IDA, facioacoustic ganglion development IMP, neural crest cell migration involved in sympathetic nervous system development IMP, sympathetic ganglion development IMP, trigeminal nerve structural organization IMP, neural crest cell migration involved in autonomic nervous system development IMP, neural crest cell migration IBA, branchiomotor neuron axon guidance IMP, facial nerve structural organization IMP","GO:0048813, GO:0021612, GO:0097490, GO:0010633, GO:0002027, GO:0048841, GO:0030517, GO:0060385, GO:0007413, GO:0060666, GO:2001224, GO:0050919, GO:0048846, GO:1903045, GO:0001755, GO:2000020, GO:0021772, GO:0071526, GO:0036486, GO:0030335, GO:0007411, GO:0061549, GO:0021637, GO:0021828, GO:1902285, GO:0061551, GO:0150020, GO:1901166, GO:0006915, GO:0048843, GO:1903375, GO:0021785, GO:0001764, GO:0097491, GO:0008045, GO:1902287, GO:0010977, GO:0021675","3D-structure,  Immunoglobulin domain,  Reference proteome,  Neurogenesis,  Disulfide bond, Glycoprotein, Secreted,  Developmental protein,  Signal,  Differentiation","neuropilin binding IPI, chemorepellent activity IDA, semaphorin receptor binding IPI","GO:0038191, GO:0045499, GO:0030215","GO:0009987, GO:0040007, GO:0032502, GO:0040011, GO:0065007","GO:0098772, GO:0005488","GO:0042995, GO:0031224"
32,O08859,FT,Tumor necrosis factor-inducible gene 6 protein,Mus musculus (Mouse),extracellular space ISO,GO:0005615,"negative regulation of inflammatory response ISO, ovulation IEA, positive regulation of cell migration ISO, cell adhesion IEA","GO:0007155, GO:0030335, GO:0030728, GO:0050728"," Reference proteome,  Disulfide bond, Cell adhesion,  Glycoprotein,  Signal",hyaluronic acid binding IEA,GO:0005540,"GO:0022610, GO:0065007, GO:0009987, GO:0022414",GO:0005488,
33,O08983,HPS1_MOUSE,Hermansky-Pudlak syndrome 1 protein homolog,Mus musculus (Mouse),"cytoplasmic vesicle ISO, BLOC-3 complex ISS","GO:0031085, GO:0031410","gene expression IMP, melanocyte differentiation IMP, retina development in camera-type eye IMP, lung morphogenesis IGI, secretion of lysosomal enzymes IMP, pigmentation IMP, eye pigmentation IMP, lung development IGI, spermatogenesis IMP, lysosome organization IMP, positive regulation of natural killer cell activation IMP, vesicle-mediated transport IEA, blood coagulation IMP, melanosome assembly ISS, respiratory system process IGI, single fertilization IMP, organelle organization IMP, inflammatory response IGI, cellular zinc ion homeostasis IMP, cell morphogenesis IGI","GO:0010467, GO:0016192, GO:0003016, GO:0006882, GO:1903232, GO:0033299, GO:0060425, GO:0030318, GO:0000902, GO:0060041, GO:0030324, GO:0007596, GO:0006996, GO:0007338, GO:0032816, GO:0007040, GO:0007283, GO:0043473, GO:0006954, GO:0048069"," Repeat,  Guanine-nucleotide releasing factor, Reference proteome, Albinism,  Polymorphism","protein dimerization activity ISO, guanyl-nucleotide exchange factor activity IEA","GO:0005085, GO:0046983","GO:0009987, GO:0008152, GO:0051179, GO:0032502, GO:0050896, GO:0032501, GO:0065007, GO:0043473, GO:0022414","GO:0098772, GO:0005488","GO:0031082, GO:0043227"
